#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:58:47 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:58:47	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=V/28/adjarea&-order=I&-out=ID&-out=X&-out=Y&-out=V&-out=B-V&-out=U-B&-out=pmX&-out=pmY&-out=Cl_mem&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5028
#Name: V/28
#Title: Proper Motions, UBV Photometry, Four Open Clusters (Frolov 1980)
#INFO	ivoid=ivo://cds.vizier/v/28	    IVOID of underlying data collection
#INFO	creator=Frolov V.N.	    First author or institution
#INFO	cites=bibcode:1977IzPul.195...80F	    Article or Data origin sources
#INFO	original_date=1977	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/28	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	V_28_adjarea:
#Name: V/28/adjarea
#Title: Photometry and Proper Motions Data
#Column	ID	(I4)	Star Number	[ucd=meta.id;meta.main]
#Column	X	(F6.2)	X-Coordinate	[ucd=pos.cartesian.x;instr.det]
#Column	Y	(F6.2)	Y-Coordinate	[ucd=pos.cartesian.y;instr.det]
#Column	V	(F5.2)	*? V Magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	? U-B color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	pmX	(I4)	X-annual proper motion	[ucd=pos.pm]
#Column	pmY	(I5)	Y-annual proper motion	[ucd=pos.pm]
#Column	Cl_mem	(I4)	*Cluster Membership	[ucd=meta.code.member]
ID;X;Y;V;B-V;U-B;pmX;pmY;Cl_mem
 330; 28.24;-15.40;15.34; 0.75;     ; -91;   39;  58
 331; 28.54;-14.97; 9.44; 1.57;     ;-194; -126;   0
 332; 28.69;-14.92;13.68; 0.48;     ; -54;  -76;   0
 333; 28.86;-14.46;12.41; 1.51; 1.06;-106;  -25;   0
 334; 29.92;-14.81;     ;     ;     ;-126;    0;   0
 335; 31.34;-15.13;     ;     ;     ;-124;  -87;   0
 336; 31.54;-15.20;     ;     ;     ;-176;  -52;   0
 337; 30.96;-13.87;     ;     ;     ;-179;  -80;   0
 338; 31.03;-13.82;     ;     ;     ; -60;  -87;   0
 339;-27.66;-13.69;14.54; 1.16;     ;  93;   14;   0
 340;-26.16;-13.40;14.47; 0.91;-0.28; 108;   89;   0
 341;-24.36;-14.02;15.14; 0.74;     ; -34;  102;   0
 342;-26.01;-12.85;13.32; 1.81;     ; 165;    0;   0
 343;-25.66;-12.87;15.25; 0.73;     ; 362;   68;   0
 344; 25.10;-12.79;14.00; 0.81;-0.32; 132;  134;   0
 345;-24.56;-13.09;14.50; 0.84;     ; 148;  -96;   0
 346;-24.50;-12.97;12.10; 1.03;     ; 233;   47;   0
 347;-23.75;-11.98;11.79; 0.48; 0.02;  94;  -30;   0
 348;-26.77;-12.10;13.70; 1.06;     ;  50;  -34;   0
 349;-26.41;-11.46;14.11; 0.91;     ;  28;  -14;   0
 350;-23.31;-11.68;15.33; 0.55;     ;  42;   -9;   0
 351;-23.25;-11.49;14.00; 0.66;     ;  88;  -57;   0
 352;-28.00;-10.76;13.39; 0.59;     ; 114;  -36;   0
 353;-28.08;-10.63;11.93; 0.70;     ; 219;  -20;   0
 354;-26.06;-10.38;10.48; 0.84; 0.37; -25;  135;   0
 355;-24.75;-10.74;15.53; 0.65;     ; -26;  -90;   0
 356;-24.83;-10.56;15.31; 0.85;     ;  94;  -74;   0
 357;-24.67; -9.43;12.30; 0.72; 0.36; 145;  -25;   0
 358;-24.51; -9.96;14.94; 0.94;-0.16;  72;  -33;   0
 359;-24.19; -9.93;14.09; 0.89;     ; 123;  -20;   0
 360;-23.54; -9.60;15.25; 1.03;     ;  48;  -12;   0
 361;-20.55;-14.11;14.09; 0.69; 0.01;  17;   -7;   0
 362;-19.33;-13.28;13.40; 0.77;     ;  21;   25;   0
 363;-19.18;-13.29;13.49; 1.15;     ;  34;  -63;   0
 364;-22.31;-12.65;14.72; 0.90;-0.04; -19;    4;   0
 365;-22.30;-12.14;15.29; 0.56;-0.17;  75;  -82;   0
 366;-21.78;-12.27;15.01; 1.11;     ;  39;   58;   0
 367;-20.05;-12.03;14.38; 1.22;     ; -42; -168;   0
 368;-21.66;-10.64;15.03; 0.32;-0.23; 108;  -74;   0
 369;-21.47; -9.57;10.56; 0.77; 0.15;-125;  -86;   0
 370;-20.74; -9.63;14.47; 0.82;-0.32;  28;  -82;   0
 371;-18.36; -9.40;14.80; 0.82;-0.06;  33;   66;   0
 372;-16.61;-14.21;14.08; 1.05; 0.06; -45;   50;   0
 373;-15.38;-13.91;14.10; 0.90; 0.29;  34;   60;   0
 374;-15.40;-13.62;14.66; 1.05;     ; -12;   42;   0
 375;-15.05;-13.97;11.22; 0.53; 0.27; -92;  -82;   0
 376;-14.95;-12.62;15.02; 0.74;     ;  -4;  -56;   0
 377;-14.53;-12.48;13.11; 0.92; 0.25; 100;   52;   0
 378;-14.30;-12.33;12.72; 1.67;     ; -91;   48;   0
 379;-13.65;-12.73;13.62; 1.68; 0.42; -30;   33;   0
 380;-13.29;-13.20;14.80; 0.52;     ;  -3;   98;   0
 381;-17.71;-11.72;13.78; 2.11;     ;  20;   36;   0
 382;-17.10;-11.90;13.92; 0.70; 0.41;  -4;  -32;   0
 383;-17.12;-11.80;14.22; 1.75;     ; 712; -142;   0
 384;-16.56;-11.75;13.10; 2.01;     ; -57;    8;   0
 385;-15.69;-10.97;15.21; 0.94;     ;  29;   48;   0
 386;-15.22;-10.92;10.66; 0.47;-0.29; -35;  -18;   0
 387;-17.37; -9.62;14.31; 0.59; 0.18;   1;   20;   0
 388;-15.03; -9.79;12.82; 0.81; 0.32; -47;   35;   0
 389;-14.86; -9.49;15.11; 0.80;-0.18; -48;   60;   0
 390;-14.61; -9.58;14.90; 1.16;     ;  50;  108;   0
 391;-14.26; -9.87;14.68; 0.72;-0.06;  61;  -54;   0
 392;-14.17; -9.61;13.93; 0.76;     ;  18;    1;   0
 393;-12.82;-13.63;12.84; 1.50; 0.86; -57;   12;   0
 394;-12.46;-13.36;14.88; 0.67;-0.14; -66;    4;   0
 395; -9.61;-13.28;15.20; 0.83;     ;  14;   -2;   0
 396;-10.99;-12.60;13.06; 0.71; 0.38; -42;   -2;   0
 397; -8.70;-11.79;14.95; 0.69;     ; -13;    3;   0
 398;-10.80;-10.52;14.48; 0.87;-0.11;  15;  -58;   0
 399;-10.40;-10.81;14.22; 0.76; 0.23;   0;  -12;   0
 400;-10.03;-11.09;15.00; 0.45;-0.14; -32;   14;   0
 401; -9.21;-10.33;14.41; 0.57; 0.02; -33;  -20;   0
 402; -9.82; -9.89;15.28; 0.53;     ; -16;  -33;   0
 403;-12.31; -9.57;13.34; 0.36;-0.17; -46;  -43;   0
 404;-12.43; -9.30;15.30; 0.75;     ;  18;  -28;   0
 405; -4.09;-13.27;13.64; 1.26; 0.14;  96;   85;   0
 406; -8.02;-12.81;13.16; 0.66; 0.22;  28;  -57;   0
 407; -6.62;-12.90;13.94; 1.00;     ;  63;   96;   0
 408; -6.53;-12.91;14.50; 0.82;     ;-265; -147;   0
 409; -6.21;-13.06;15.20; 0.75;     ; -30;  -16;   0
 410; -7.80;-11.70;13.30; 0.39; 0.01; -26;  -28;   0
 411; -6.92;-12.09;14.80; 0.79; 0.04;  15;  -28;   0
 412; -6.61;-12.10;14.78; 0.58; 0.10;  11;  -19;   0
 413; -7.00;-11.59;13.62; 0.76; 0.35;-163; -145;   0
 414; -6.55;-11.49;11.71; 1.30; 1.47;-222;   -1;   0
 415; -7.21;-11.17;13.28; 1.83;     ; -31;   45;   0
 416; -7.11;-10.14;15.01; 0.89;     ; -77;  -96;   0
 417; -5.89; -9.11;13.61; 0.44;-0.12; -53;  -81;   0
 418; -5.35;-10.01;13.67; 0.59; 0.31; -86;  -31;   0
 419; -5.28; -9.20;14.98; 0.62;     ; -70;  -76;   0
 420; -4.54; -9.70;14.40; 1.56;     ; -14;  -20;   0
 421; -4.41;-10.11;14.31; 1.06;-0.13;  68;  -52;   0
 422; -1.94;-13.84;13.24; 0.52; 0.45;  -2;  -26;   0
 423; -0.30;-12.94;14.64; 1.45;     ;  18;    0;   0
 424;  0.10;-12.50;15.20; 0.62;     ;  -6;   50;   0
 425;  1.53;-13.14;12.60; 0.93; 0.43;-153;  -59;   0
 426; -2.80;-11.84;14.39; 0.55; 0.29; -38;   12;   0
 427;  1.52;-12.04;14.80; 0.81; 0.05;  28;  -10;   0
 428; -2.86; -9.35;14.75; 1.54;     ;-146;   24;   0
 429; -1.41; -9.25;13.17; 0.78; 0.17; -14;  -12;   0
 430; -1.05;-10.02;14.64; 0.84;-0.02;  87;   14;   0
 431; -1.00; -9.38;14.80; 0.74;     ;  42;   -8;   0
 432; -0.11; -9.83;13.18; 0.75; 0.17; 223;   -2;   0
 433;  0.30; -9.26;14.52; 0.91;     ;-148;   22;   0
 434;  0.69; -9.20;15.11; 0.45;     ;  58;  -40;   0
 435;  1.31;-10.28;14.57; 0.43; 0.03;  13;  -10;   0
 436;  1.98;-13.31;11.88; 1.42; 1.21; -53;    2;   0
 437;  4.43;-13.54;14.71; 0.56;-0.18; -11;   -8;   0
 438;  4.92;-13.05;15.10; 0.87;     ; 106;  -20;   0
 439;  4.48;-12.63;14.13; 0.38;     ;  -6;   15;   0
 440;  6.16;-12.78;14.07; 0.79;     ; -61;  -45;   0
 441;  3.22;-12.31;     ;     ;     ;-126; -105;   0
 442;  5.32;-11.94;15.38; 0.62;     ; -20;  -20;   0
 443;  4.82;-11.35;15.65; 0.62;     ;  -1;  -20;   0
 444;  4.01;-10.58;13.58; 0.68; 0.35;-117;  -12;   0
 445;  4.71;-10.97;12.62; 0.46; 0.17;  32;   -3;   0
 446;  4.71;-10.47;14.31; 0.92; 0.12; -77;  -49;   0
 447;  5.72;-10.69;11.07; 0.83; 0.73; 195;   40;   0
 448;  4.71;-10.11;14.45; 1.70;     ;   2;  -19;   0
 449;  6.47; -9.40;15.10; 0.80;     ; -38;  104;   0
 450;  8.25;-11.84;14.18; 0.81; 0.22;  52;  -61;   0
 451;  8.98;-12.32;14.08; 0.85;     ;  31;  -44;   0
 452;  9.30;-11.59; 9.12; 0.51;     ; 305;  -46;   0
 453;  9.71;-11.59;12.36; 0.42;-0.39;   0;  -33;   0
 454; 10.05;-12.36;14.71; 0.60;     ; -39;  -22;   0
 455; 11.51;-11.71;12.40; 1.41; 1.06;  27;   -5;   0
 456; 10.53;-11.06;13.26; 1.74;     ;  44;  -44;   0
 457; 10.70;-11.07;13.62; 0.44; 0.02;  14;  -66;   0
 458; 10.66;-10.47;13.62; 0.80; 0.26;  -5;  -25;   0
 459;  8.61;-10.45;14.16; 0.67; 0.27; -54;  -14;   0
 460;  7.85; -9.05;15.39; 0.68;     ; -38;   -6;   0
 461; 11.93;-13.17;12.66; 0.38;     ;  16;  -22;   0
 462; 12.94;-13.47;14.42; 0.91;     ;  16;  -25;   0
 463; 12.77;-12.88;14.52; 1.05;-0.17;  71;  -18;   0
 464; 12.61;-12.61;15.19; 0.59;     ;   2;  -16;   0
 465; 13.48;-12.42;15.07; 0.99;     ;-120;  -22;   0
 466; 13.81;-12.03;14.19; 0.50;     ;  51;  -30;   0
 467; 15.96;-12.01;14.56; 0.53;     ;  30;   20;   0
 468; 16.04;-12.10;14.54; 0.65;     ;  52;   44;   0
 469; 16.22;-12.12;14.49; 0.65;-0.12;  63;   42;   0
 470; 11.92; -9.96;13.88; 0.74;     ;   6;  -15;   0
 471; 13.22; -9.84;13.42; 0.78;     ;  17;    7;   0
 472; 13.58; -9.20;14.42; 1.03;-0.14;  36;  -50;   0
 473; 15.13;-10.31;13.76; 0.58;-0.04;   5;   12;   0
 474; 16.48; -9.15;13.55; 0.57; 0.15;  34;  -34;   0
 475; 17.95;-13.42;15.12; 0.72;     ;  23;    7;   0
 476; 16.91;-11.79;14.11; 0.78;     ;  56;  -94;   0
 477; 16.93;-11.75;     ;     ;     ; 126;  -96;   0
 478; 18.06;-11.46;13.79; 1.17; 0.10; -73;  -54;   0
 479; 20.09;-12.02;14.15; 0.78;     ;  10;  -75;  58
 480; 21.22;-12.26;15.29; 0.85;     ;  18;   22;  58
 481; 20.75;-11.31;14.34; 0.74;-0.03;   0;  -38;  58
 482; 20.77;-10.50;12.57; 0.52; 0.36;   9;  -33;  58
 483; 21.25;-10.33;14.11; 0.78; 0.23;  30;   11;  58
 484; 20.53; -8.91;13.80; 0.60; 0.10; -25;  -57;   0
 485; 21.47; -9.34;13.79; 1.86;     ;  38;    2;   0
 486; 21.63;-13.16;15.55; 0.81;     ; 111;  -39;   0
 487; 23.00;-12.34;14.55; 1.07;     ;-100;   47;   0
 488; 23.42;-13.04;15.16; 0.79;     ; -60;  -44;   0
 489; 23.79;-13.38;13.46; 0.77;     ; -37;  -68;  58
 490; 24.54;-12.69;13.83; 1.33; 0.13;  70;  -39;   0
 491; 25.97;-13.26;12.92; 1.96; 0.91; -72; -106;   0
 492; 24.20;-11.87;11.89; 0.75; 0.31;   4;    5;  58
 493; 23.88;-11.11;15.34; 0.89;     ;-167;  -61;   0
 494; 23.08;-10.70;15.31; 1.03;     ;  26;  -50;   0
 495; 22.79; -9.60;13.22; 1.57; 0.90;  28;  -34;   0
 496; 23.63; -9.42;15.30; 0.77;     ; -62;  -62;  58
 497; 24.51; -8.94; 9.56; 0.32;     ;  36;  -59;   0
 498; 24.75; -8.55;13.41; 2.04;     ;-113;  -26;   0
 499; 25.43; -9.03;14.54; 0.56;     ;  11;  -67;   0
 500; 25.97; -9.35;15.17; 0.76;     ; -94;   12;   0
 501; 26.45; -9.26;15.21; 0.85;     ;-126;   54;   0
 502; 26.55; -8.92;15.43; 0.71;     ;  12;   83;   0
 503; 26.74; -8.99;15.52; 0.80;     ;-100;    2;   0
 504; 29.81;-12.50;     ;     ;     ;-154; -133;   0
 505; 31.86;-12.12;     ;     ;     ;-203;  -64;   0
 506; 27.36;-10.79;13.25; 0.87; 0.36; -66;  -94;  58
 507; 27.75;-10.34;12.23; 0.58;     ;-107;  -66;   0
 508; 27.96;-10.30; 9.73; 1.34;-0.34; 873;  121;   0
 509; 28.78;-10.87;10.92; 1.01;-0.15;-113;  -92;   0
 510; 28.90; -9.93;13.73; 1.57;     ; -99;  -92;   0
 511; 29.70;-10.64;     ;     ;     ;-173;  -33;   0
 512; 29.93; -9.63;     ;     ;     ;-133;  -73;   0
 513; 31.42; -9.82;     ;     ;     ;-110;  -82;   0
 514; 28.21; -8.61;15.01; 0.60;-0.06; -63;   10;   0
 515; 31.26; -9.05;     ;     ;     ;-206; -102;   0
 516; 32.16;-10.88;     ;     ;     ;-114; -118;   0
 517;-25.90; -8.90;13.70; 1.18; 0.08; 196;   -5;   0
 518;-23.64; -8.91;14.48; 1.08;     ;  60;   16;   0
 519;-27.56; -7.12;     ;     ;     ; 126;  -53;   0
 520;-27.20; -6.23;14.94; 0.68;-0.23; 119;  -93;   0
 521;-26.08; -6.60;13.80; 2.20;     ;  68; -162;   0
 522;-25.81; -6.03;12.65; 1.79; 0.77; 150;  -26;   0
 523;-25.39; -7.00;14.63; 1.43;     ;  98; -120;   0
 524;-25.20; -6.20;13.85; 2.19;     ; 111;   30;   0
 525;-24.65; -7.28;13.06; 2.53;     ; 171;  -74;   0
 526;-24.01; -7.61;14.91; 1.37;     ;  50;  -60;   0
 527;-23.67; -7.19;15.34; 0.84;     ;  87;  -71;   0
 528;-23.31; -6.59;14.75; 0.86;     ;  84;  -77;   0
 529;-23.62; -5.84;11.36; 1.08; 0.77; 184; -359;   0
 530;-27.21; -4.93;14.24; 1.05; 0.21;  62;   14;   0
 531;-23.29; -5.22;14.16; 1.25; 0.02;  35;  -62;   0
 532;-20.80; -9.25;14.82; 1.03;     ;   3;  -12;   0
 533;-22.55; -8.48;14.04; 1.75;     ;  60;  -74;   0
 534;-22.06; -7.72;14.81; 0.16; 0.16;  22;  -27;   0
 535;-20.74; -8.17;15.21; 0.41; 0.04;  14;  -62;   0
 536;-22.58; -6.71;15.01; 1.05;     ; 179;  -92;   0
 537;-20.68; -7.08;15.27; 0.93;     ; 136;  -96;   0
 538;-23.04; -5.85;14.94; 0.94;     ; -90;  -17;   0
 539;-22.40; -6.14;15.35; 0.69;     ;  42;  -44;   0
 540;-22.78; -4.80;13.70; 0.79; 0.26; 101;    7;   0
 541;-22.21; -5.38;15.32; 0.84;     ; 118; -252;   0
 542;-21.88; -5.40;14.72; 1.45;     ;  14;  -50;   0
 543;-20.02; -5.74;14.63; 1.53;     ; 141;   -3;   0
 544;-19.55; -5.31;15.07; 1.01;     ;  22;   48;   0
 545;-19.52; -5.41;14.45; 1.66;     ; -24;   30;   0
 546;-19.27; -5.22;14.86; 1.06;     ;  19; -124;   0
 547;-18.33; -5.47;13.99; 0.70; 0.09;  92;  -31;   0
 548;-17.74; -9.00;12.91; 0.59; 0.37; -28;  -55;   0
 549;-16.62; -8.87;13.98; 1.98;     ; -70;  -48;   0
 550;-16.22; -8.62;13.48; 1.09;     ;  53; -107;   0
 551;-14.90; -8.82;15.26; 0.62;     ; -26;  -58;   0
 552;-13.31; -8.76;14.14; 0.89; 0.12;  20;  -95;   0
 553;-17.22; -7.70;15.53; 0.57;     ;  -4;  -62;   0
 554;-16.41; -8.06;14.28; 1.76;     ; -26;  -72;   0
 555;-18.10; -6.56;13.20; 0.79; 0.62; -94;  -53;   0
 556;-16.05; -6.31;13.65; 1.08;     ;  22;    0;   0
 557;-15.51; -5.87;15.78; 0.59;     ;  12;  -82;   0
 558;-13.62; -5.78;13.86; 1.28;     ;-140;  -30;   0
 559;-17.18; -4.47;13.27; 0.81; 0.62;  -6;  -61;   0
 560;-16.53; -5.41;15.37; 0.66;     ; -48;   -8;   0
 561;-15.92; -4.96;11.90; 0.86; 0.31; 122;  -55;   0
 562;-14.72; -5.39;15.11; 0.72;     ; -33;  -62;   0
 563;-14.37; -4.59;12.02; 1.56;     ;  12;   24;   0
 564;-11.88; -8.80;13.97; 1.93;     ;-128;  -86;   0
 565;-11.50; -8.59;11.22; 1.35;     ;  70;  -27;   0
 566; -8.55; -8.98;14.71; 0.67;     ; -48;  -46;   0
 567; -8.37; -8.76;15.00; 0.90;     ; -17; -127;   0
 568;-12.11; -7.80;13.40; 0.54; 0.03; -12;  -20;   0
 569;-10.57; -7.87;13.48; 0.74; 0.18; -47; -115;   0
 570; -9.90; -7.42;14.76; 0.65; 0.08; -62; -124;   0
 571; -9.52; -7.20;13.96; 0.94;     ; -52; -127;   0
 572;-13.03; -6.52;15.34; 0.71;     ; -12;    2;   0
 573;-12.59; -6.94;14.50; 0.77;     ; -26;  -82;   0
 574;-12.16; -6.68;15.44; 0.88;     ;-116;  -53;   0
 575;-11.88; -6.74;15.47; 0.92;     ; 142; -122;   0
 576; -9.62; -6.55;14.56; 0.73;     ; -46;  -78;   0
 577; -9.36; -5.49;15.23; 1.11;     ;-250;  -94;   0
 578; -9.45; -5.82;15.40; 0.52;     ; -32; -116;   0
 579; -8.88; -6.20;14.02; 1.63;     ; -71;   44;   0
 580; -8.46; -6.43;14.61; 0.86;-0.02; -76; -144;   0
 581;-13.04; -5.24;14.88; 0.88;     ;  55;  -59;   0
 582;-13.00; -4.65;12.88; 0.97; 0.18; -30; -128;   0
 583;-12.53; -4.33;14.06; 1.15; 0.28; -22;  -76;   0
 584;-12.50; -5.65;13.24; 1.07; 0.53;  40;  -45;   0
 585;-12.36; -5.41;14.16; 0.83; 0.40; -38;  -89;   0
 586;-12.11; -5.10;12.59; 1.09; 0.41;  55;    3;   0
 587;-11.63; -4.69;13.90; 0.96; 0.19;   0;  -39;   0
 588;-11.40; -4.34;13.58; 0.94;     ; -14;    3;   0
 589;-10.86; -4.36;13.42; 0.54;-0.08; -26;   -8;   0
 590; -9.91; -4.59;12.20; 1.69; 0.39; -29;   -5;   0
 591; -6.93; -8.86;11.91; 0.47; 0.34; -45;  -61;   0
 592; -5.01; -9.01;13.02; 1.84;     ;-198;  -24;   0
 593; -4.58; -8.91;13.31; 0.70; 0.10;   6;  -79;   0
 594; -7.49; -8.24;11.60; 1.42; 1.27; 222; -183;   0
 595; -6.84; -8.05;14.69; 0.70; 0.17; -56; -101;   0
 596; -6.88; -7.92;14.11; 1.71;     ; -89; -104;   0
 597; -5.90; -7.80;10.13; 1.37; 1.78;  -7; -110;   0
 598; -7.81; -6.88;15.22; 0.54;-0.08;  -5;  -54;   0
 599; -7.61; -6.40;15.14; 1.11;     ; -22;  -12;   0
 600; -6.40; -6.28;15.46; 0.76;     ;  16;   89;   0
 601; -6.10; -6.97;15.13; 0.83;     ; -58;  -80;   0
 602; -5.85; -6.42;15.60; 0.85;     ; -23;  -39;   0
 603; -5.11; -6.32;15.18; 0.94;     ; -74;  -40;   0
 604; -4.44; -6.10;14.35; 0.97; 0.00;-136;  -32;   0
 605; -3.46; -7.38;14.16; 1.78;     ; 431; -267;   0
 606; -3.63; -6.92;14.83; 0.97;-0.27; -52; -123;   0
 607; -3.33; -6.32;14.63; 0.48; 0.00;  -2;  -27;   0
 608; -7.66; -5.85;15.34; 0.90;     ; -34;   80;   0
 609; -8.03; -5.26;15.06; 0.64;     ;  -2;  -32;   0
 610; -7.24; -5.25;14.99; 0.85;     ; -80;  -60;   0
 611; -7.09; -5.42;12.95; 0.44; 0.35; -41;  -82;   0
 612; -6.19; -4.63;13.66; 0.51;-0.07; -37;  -74;   0
 613; -5.65; -5.22;13.90; 0.63;     ; -94;  -39;   0
 614; -4.22; -4.80;14.61; 0.79;     ;   4;  -12;   0
 615; -2.15; -8.85;15.52; 0.68;     ; -41; -165;   0
 616; -1.43; -8.33;14.79; 0.92;     ; -55; -162;   0
 617; -1.29; -8.64;14.10; 0.96; 0.07;  -2;  -34;   0
 618; -0.35; -8.08;15.39; 0.45;     ; -16; -100;   0
 619; -0.29; -7.49;14.95; 1.17;     ; -26;  -82;   0
 620;  1.76; -7.49;12.26; 0.57;     ;  -8;  -64;   0
 621; -3.00; -6.70;15.29; 0.82;     ; -29;  -66;   0
 622; -3.05; -6.18;14.88; 1.03;     ; -20; -124;   0
 653; -1.23; -6.29;15.23; 0.55;     ; -97;   30;   0
 624;  0.90; -6.72;14.23; 0.74;     ; -19;  -58;   0
 625; -1.33; -5.11;14.17; 0.97; 0.17; -15;   -4;   0
 626; -0.90; -5.45;15.47; 0.59;     ;  23;   22;   0
 627; -0.59; -4.33;13.01; 0.62; 0.12; -87; -129;   0
 628;  0.12; -5.04;13.38; 0.45; 0.18;  -3;  -15;   0
 629;  0.10; -4.13;     ;     ;     ;  70;  -42;   0
 630;  0.74; -4.56;14.73; 0.86;     ; -82;   22;   0
 631;  1.66; -4.35;12.80; 1.47; 0.93;-107;   -5;   0
 632;  3.22; -8.47;14.42; 1.61;     ; -86;  -30;   0
 633;  5.62; -8.73;15.11; 0.59;     ;   8;  -86;   0
 634;  6.71; -8.47;14.28; 0.44;     ; -10;  -93;   0
 635;  4.22; -8.11;14.25; 0.77;     ; -52;  -59;   0
 636;  1.84; -7.48;13.55; 0.95;     ;  36;  -18;   0
 637;  3.01; -7.69;14.06; 1.77;     ; -10;  -98;   0
 638;  4.21; -7.43;11.95; 0.43; 0.34;  47; -124;   0
 639;  6.46; -7.35;15.14; 0.44;-0.24;  32;  -46;   0
 640;  2.91; -6.72;13.87; 2.05;     ; -94;   14;   0
 641;  2.99; -5.84;13.84; 0.59;     ; -71;  -63;   0
 642;  3.79; -6.11;13.62; 1.71; 0.37; -11;  -73;   0
 643;  4.23; -6.65;13.78; 0.89;     ;  67;  -11;   0
 644;  4.70; -6.70;14.92; 0.65; 0.02; -50;  -62;   0
 645;  4.64; -6.06;14.74; 0.81;     ;   2; -114;   0
 646;  5.02; -6.31;14.09; 1.55;     ;  33;   16;   0
 647;  6.04; -6.75;14.16; 0.41; 0.25; -37; -111;   0
 648;  6.37; -6.84;14.55; 0.53; 0.25; -21;  -75;   0
 649;  6.53; -6.66;15.72; 0.34;     ; -22;   22;   0
 650;  6.49; -6.55;12.58; 0.74; 0.06;  91; -128;   0
 651;  6.22; -5.88;13.36; 0.42;-0.16; -31;  -32;7790
 652;  5.62; -5.47;13.75; 0.44; 0.13; -12;  -48;7790
 653;  2.10; -4.75;12.82; 1.60; 1.01; -59;  -54;   0
 654;  5.96; -4.58;14.44; 0.69; 0.21;  88;  -48;   0
 655;  7.29; -7.73;15.03; 0.42;     ;  52;  -13;   0
 656;  9.11; -7.87;13.82; 0.77; 0.46;  -1;  -63;   0
 657;  9.72; -7.91;13.30; 0.93;     ; 120;  -64;   0
 658;  9.77; -7.91;13.72; 1.36;     ; 162;   -1;   0
 659;  7.47; -6.89;13.48; 0.64;     ; -12;  -40;7790
 660;  8.20; -6.92;13.53; 1.93;     ;  35;  -72;   0
 661;  9.53; -6.63;13.38; 0.63; 0.20; -15;   23;7790
 662; 11.43; -7.00;13.16; 0.32;-0.01;   4;  -30;7790
 663; 10.23; -6.09;13.98; 0.35; 0.09; -14;   12;7790
 664;  8.53; -5.59;12.46; 0.64; 0.40; -57;   -6;7790
 665;  7.32; -4.30;15.22; 0.68;-0.19;  32;  -10;7790
 666;  7.95; -4.69;14.43; 0.88;-0.01; -46;  -29;   0
 667;  8.37; -4.83;14.38; 1.04; 0.09; 123;  -48;   0
 668;  8.42; -4.68;15.05; 0.53;     ;  16;   23;7790
 669;  9.18; -5.44;15.72; 0.40;     ; -56; -149;   0
 670; 10.22; -4.11;14.44; 1.28;     ; 131;   90;   0
 671; 10.66; -4.53;14.65; 1.01;     ; 146; -106;   0
 672; 10.72; -4.85;14.77; 0.56; 0.09; -52;  -26;7790
 673; 11.27; -5.49;14.13; 1.41;     ;  95;  -24;   0
 674; 13.02; -8.35;13.58; 1.00; 0.20; -33;  -89;   0
 675; 13.72; -8.47;14.48; 0.55; 0.20;  -2;  -99;   0
 676; 13.82; -7.90;14.58; 0.50;     ; -28;  -47;   0
 677; 14.09; -8.39;14.22; 1.09; 0.19; 179;  -66;   0
 678; 14.44; -8.46;13.10; 0.95; 0.35;  66;  -74;   0
 679; 11.89; -7.28;15.16; 0.63;     ;  54;  -18;   0
 680; 16.54; -7.55;14.00; 1.81;     ; -37;  -79;   0
 681; 11.91; -5.90;13.36; 1.70;     ; -24;  -26;   0
 682; 12.65; -6.59;13.28; 0.42; 0.26;  -4;  -42;7790
 683; 12.67; -5.38;15.48; 0.50;-0.42; -15;   68;   0
 684; 13.50; -6.03;14.84; 0.84;-0.08;   8;  -15;7790
 685; 14.54; -6.29;14.44; 0.40; 0.33; -24;  -35;7790
 686; 15.05; -6.26;12.76; 0.40; 0.35;   0;  -30;7790
 687; 15.64; -5.81;11.68; 1.37; 1.25; 228;  -17;   0
 688; 15.80; -6.73;14.94; 0.63;     ; -38;  -84;   0
 689; 16.30; -6.20;15.32; 0.46;-0.04;  44;  -39;   0
 690; 12.64; -4.13;15.75; 0.50;     ; -16;  -22;7790
 691; 12.83; -3.89;15.93; 0.53;     ; 159;   -6;   0
