#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:22:03 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:22:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/542/A68/table3&-order=I&-out=Seq&-out=Xpos&-out=Ypos&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Rcmag&-out=e_Rcmag&-out=Icmag&-out=e_Icmag&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35420068
#Name: J/A+A/542/A68
#Title: NGC 3231, 7055 and 7127 BVRI photometry (Paunzen+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/542/a68	    IVOID of underlying data collection
#INFO	creator=Paunzen E.	    First author or institution
#INFO	cites=bibcode:2012A&A...542A..68P	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/542/A68	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35420068	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_542_A68_table3:
#Name: J/A+A/542/A68/table3
#Title: Observed program stars of NGC 7127
#Column	Seq	(I3)	Stars number sorted after X and Y, within the cluster	[ucd=meta.id;meta.main]
#Column	Xpos	(F6.2)	X coordinate (scale 0.9"/pix)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F6.2)	Y coordinate (scale 0.9"/pix)	[ucd=pos.cartesian.y;instr.det]
#Column	Bmag	(F6.3)	? Johnson-Cousins B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.3)	? Error in B magnitude	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	? Johnson-Cousins V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Error in V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Rcmag	(F6.3)	? Johnson-Cousins R magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rcmag	(F6.3)	? Error in R magnitude	[ucd=stat.error;phot.mag;em.opt.R]
#Column	Icmag	(F6.3)	? Johnson-Cousins I magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Icmag	(F6.3)	? Error in I magnitude	[ucd=stat.error;phot.mag;em.opt.I]
#Column	_RA	(F10.6)	Position computed from a comparison with 2MASS (Cat. II/246) ({sigma}=0.3'') (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Position computed from a comparison with 2MASS (Cat. II/246) ({sigma}=0.3'') (declination part)	[ucd=pos.eq.dec;meta.main]
Seq;Xpos;Ypos;Bmag;e_Bmag;Vmag;e_Vmag;Rcmag;e_Rcmag;Icmag;e_Icmag;_RA;_DE
189;529.34; 18.51;15.360; 0.020;14.803; 0.007;14.388; 0.004;14.144; 0.006;325.883598;+54.691698
190;531.32;313.73;      ;      ;16.939; 0.046;16.406; 0.030;16.041; 0.040;325.880630;+54.614079
191;531.91;331.63;      ;      ;16.696; 0.036;16.224; 0.023;15.896; 0.035;325.880237;+54.609374
192;532.24;383.90;15.537; 0.025;15.288; 0.011;15.033; 0.008;14.943; 0.013;325.879722;+54.595631
193;537.04;364.68;      ;      ;16.355; 0.029;15.444; 0.013;14.737; 0.012;325.877677;+54.600704
194;537.63;146.63;13.854; 0.006;12.972; 0.003;12.454; 0.002;12.140; 0.002;325.878931;+54.658042
195;537.81; 64.07;      ;      ;      ;      ;16.752; 0.050;15.903; 0.040;325.879426;+54.679752
196;540.78;100.83;14.358; 0.009;13.978; 0.004;13.700; 0.004;13.637; 0.004;325.877818;+54.670098
197;540.87;236.28;13.103; 0.005;12.577; 0.002;12.213; 0.001;12.072; 0.002;325.876832;+54.634482
198;544.20;304.04;15.379; 0.021;15.003; 0.009;14.672; 0.006;14.452; 0.010;325.874848;+54.616678
199;544.28;365.89;      ;      ;15.912; 0.020;15.145; 0.010;14.489; 0.011;325.874381;+54.600415
200;544.82;473.73;15.009; 0.015;14.702; 0.006;14.459; 0.005;14.404; 0.009;325.873388;+54.572061
201;546.05;241.44;13.506; 0.005;12.600; 0.002;12.225; 0.001;12.096; 0.002;325.874443;+54.633146
202;549.81;359.27;      ;      ;16.376; 0.028;15.797; 0.018;15.234; 0.020;325.871917;+54.602177
203;550.87;140.00;      ;      ;      ;      ;16.128; 0.025;15.451; 0.022;325.872957;+54.659838
204;552.85;288.51;16.082; 0.043;15.554; 0.013;15.076; 0.008;14.772; 0.012;325.871027;+54.620795
205;553.40;315.27;      ;      ;17.489; 0.075;16.752; 0.042;      ;      ;325.870592;+54.613761
206;556.38;385.90;14.137; 0.007;13.145; 0.003;12.525; 0.002;12.041; 0.002;325.868750;+54.595201
207;558.13;263.95;      ;      ;16.896; 0.044;16.289; 0.026;15.950; 0.037;325.868798;+54.627274
208;559.35; 44.04;12.969; 0.004;11.681; 0.001;10.979; 0.001;10.117; 0.001;325.869766;+54.685104
209;561.29;149.60;      ;      ;      ;      ;16.812; 0.050;16.479; 0.075;325.868153;+54.657355
210;562.54;367.31;      ;      ;16.103; 0.023;15.620; 0.016;15.268; 0.023;325.866082;+54.600113
211;563.29;199.66;      ;      ;17.414; 0.071;16.722; 0.039;16.295; 0.054;325.866898;+54.644199
212;563.70;291.98;      ;      ;      ;      ;16.464; 0.032;15.971; 0.038;325.866074;+54.619926
213;566.49; 24.08;      ;      ;15.736; 0.017;15.319; 0.012;15.123; 0.018;325.866656;+54.690380
214;576.93;135.50;      ;      ;17.516; 0.082;16.202; 0.024;15.061; 0.015;325.861140;+54.661123
215;580.47;206.12;      ;      ;16.128; 0.022;15.660; 0.014;15.451; 0.022;325.859046;+54.642567
216;581.26;217.10;      ;      ;16.717; 0.037;16.206; 0.023;15.869; 0.035;325.858611;+54.639684
217;581.43;282.83;      ;      ;17.241; 0.062;16.701; 0.038;16.287; 0.054;325.858084;+54.622401
218;582.51;321.99;      ;      ;17.290; 0.059;16.682; 0.037;16.399; 0.058;325.857326;+54.612108
219;582.90;186.38;      ;      ;17.771; 0.107;16.916; 0.051;      ;      ;325.858077;+54.647768
220;582.98;103.57;13.562; 0.005;12.532; 0.002;11.944; 0.001;11.495; 0.002;325.858608;+54.669543
221;583.96;470.43;14.457; 0.010;14.058; 0.004;13.753; 0.004;13.685; 0.004;325.855653;+54.573081
222;584.47;455.38;      ;      ;16.189; 0.024;15.568; 0.012;15.120; 0.014;325.855525;+54.577041
223;587.60;155.56;      ;      ;16.802; 0.038;16.213; 0.023;15.886; 0.032;325.856151;+54.655890
224;592.31;339.12;      ;      ;16.819; 0.039;16.199; 0.022;15.834; 0.033;325.852758;+54.607641
225;592.32;391.14;      ;      ;15.688; 0.014;15.111; 0.008;      ;      ;325.852400;+54.593963
226;592.35;120.43;      ;      ;16.888; 0.044;16.366; 0.029;15.935; 0.040;325.854231;+54.665146
227;594.07;387.48;      ;      ;15.702; 0.014;15.110; 0.008;14.593; 0.009;325.851630;+54.594932
228;596.19;102.09;      ;      ;      ;      ;15.290; 0.012;14.807; 0.014;325.852611;+54.669983
229;596.23;284.93;15.177; 0.019;14.119; 0.004;13.397; 0.003;12.793; 0.003;325.851347;+54.621906
230;599.10;435.16;      ;      ;16.280; 0.026;15.814; 0.016;15.614; 0.025;325.849024;+54.582414
231;606.23;412.58;      ;      ;16.524; 0.033;16.145; 0.022;15.894; 0.033;325.845941;+54.588379
232;615.31;281.62;14.646; 0.011;14.158; 0.004;13.776; 0.004;13.548; 0.004;325.842702;+54.622849
233;615.37;353.34;16.405; 0.057;15.840; 0.016;15.434; 0.010;15.174; 0.015;325.842192;+54.603991
234;615.40;419.44;15.704; 0.030;15.350; 0.012;14.997; 0.008;14.862; 0.014;325.841732;+54.586610
235;616.30;193.72;11.258; 0.001;10.994; 0.001;10.845; 0.001;10.696; 0.001;325.842846;+54.645966
236;622.04;430.47;      ;      ;16.824; 0.045;16.185; 0.027;15.862; 0.035;325.838645;+54.583735
237;623.31;224.55;      ;      ;      ;      ;12.622; 0.002;12.710; 0.003;325.839452;+54.637886
238;624.51;443.55;      ;      ;17.144; 0.060;16.412; 0.036;16.031; 0.044;325.837436;+54.580305
239;624.72;264.97;      ;      ;16.731; 0.036;16.225; 0.023;15.802; 0.028;325.838540;+54.627263
240;624.79;229.51;13.007; 0.004;12.771; 0.002;12.611; 0.002;12.694; 0.003;325.838746;+54.636588
241;625.63;455.22;      ;      ;16.563; 0.032;16.011; 0.020;15.770; 0.030;325.836850;+54.577241
242;626.28;323.73;      ;      ;      ;      ;16.489; 0.031;16.132; 0.045;325.837437;+54.611818
243;629.55; 13.77;      ;      ;16.977; 0.044;15.996; 0.018;15.159; 0.016;325.838033;+54.693334
244;633.17;310.36;16.210; 0.048;15.805; 0.015;15.415; 0.010;15.088; 0.014;325.834397;+54.615360
245;643.38;225.00;      ;      ;16.039; 0.024;15.535; 0.015;15.110; 0.017;325.830329;+54.637844
246;644.06;206.29;      ;      ;      ;      ;16.553; 0.037;16.125; 0.046;325.830145;+54.642766
247;644.15;233.24;      ;      ;15.941; 0.021;15.451; 0.013;15.087; 0.016;325.829924;+54.635680
248;651.18;118.95;16.421; 0.061;16.013; 0.022;15.510; 0.011;15.161; 0.017;325.827490;+54.665759
249;651.52;229.78;      ;      ;16.279; 0.028;15.821; 0.018;15.428; 0.023;325.826599;+54.636618
250;654.94;379.93;      ;      ;16.029; 0.019;15.571; 0.012;15.262; 0.017;325.824049;+54.597149
251;655.48;375.16;      ;      ;15.808; 0.015;15.333; 0.009;15.012; 0.013;325.823836;+54.598405
252;658.20;160.41;16.027; 0.038;15.537; 0.013;15.136; 0.008;14.836; 0.012;325.824023;+54.654884
253;659.90;128.10;      ;      ;16.206; 0.023;15.680; 0.014;15.364; 0.020;325.823464;+54.663386
254;660.76; 37.98;15.944; 0.036;15.524; 0.012;15.120; 0.008;14.887; 0.012;325.823671;+54.687086
255;661.89;326.15;14.225; 0.008;13.880; 0.004;13.621; 0.004;13.629; 0.004;325.821249;+54.611316
256;661.97;166.70;      ;      ;      ;      ;15.359; 0.010;14.952; 0.014;325.822267;+54.653244
257;668.10;129.40;      ;      ;      ;      ;16.084; 0.022;15.519; 0.024;325.819727;+54.663075
258;669.66;158.31;      ;      ;16.334; 0.026;15.833; 0.018;15.543; 0.025;325.818827;+54.655479
259;670.69;352.39;      ;      ;16.175; 0.024;15.681; 0.014;15.387; 0.021;325.817081;+54.604449
260;672.21;343.19;16.331; 0.055;15.801; 0.016;15.309; 0.010;14.942; 0.014;325.816451;+54.606874
261;672.90;306.76;      ;      ;16.627; 0.035;15.682; 0.014;14.892; 0.013;325.816377;+54.616456
262;681.64;451.98;      ;      ;17.398; 0.082;16.173; 0.025;15.297; 0.022;325.811457;+54.578303
263;682.78;286.46;      ;      ;17.158; 0.052;16.599; 0.033;16.227; 0.049;325.812022;+54.621831
264;688.10; 82.75;      ;      ;16.640; 0.030;16.121; 0.020;15.792; 0.026;325.810939;+54.675416
265;688.25; 64.29;      ;      ;16.193; 0.021;15.769; 0.013;15.533; 0.021;325.810991;+54.680271
266;692.22;109.78;      ;      ;16.613; 0.031;16.027; 0.018;15.758; 0.027;325.808888;+54.668324
267;692.36;368.03;15.876; 0.036;15.325; 0.011;14.833; 0.007;14.489; 0.009;325.807139;+54.600417
268;692.95;322.62;15.331; 0.021;15.100; 0.009;14.806; 0.007;14.702; 0.011;325.807167;+54.612360
269;696.44;330.71;      ;      ;15.736; 0.017;15.395; 0.012;15.230; 0.020;325.805530;+54.610246
270;696.99;352.55;      ;      ;15.766; 0.020;15.448; 0.014;15.090; 0.019;325.805138;+54.604505
271;700.67;  3.57;      ;      ;16.835; 0.040;16.160; 0.020;15.643; 0.025;325.805737;+54.696283
272;701.52;447.28;14.199; 0.008;13.133; 0.003;12.473; 0.002;11.921; 0.002;325.802467;+54.579612
273;704.12;142.36;      ;      ;15.519; 0.012;14.217; 0.004;12.756; 0.003;325.803265;+54.659801
274;706.18;326.75;      ;      ;15.908; 0.019;15.296; 0.010;14.850; 0.013;325.801132;+54.611322
275;706.79;180.14;      ;      ;17.531; 0.074;16.811; 0.037;16.495; 0.060;325.801806;+54.649876
276;707.19;351.98;15.099; 0.016;14.625; 0.007;14.306; 0.005;14.152; 0.007;325.800511;+54.604692
277;708.12;  7.34;      ;      ;      ;      ;16.362; 0.025;15.674; 0.026;325.802322;+54.695319
278;715.29;215.86;      ;      ;15.289; 0.010;14.437; 0.005;13.640; 0.004;325.797711;+54.640515
279;717.61;158.94;      ;      ;      ;      ;16.059; 0.019;15.693; 0.026;325.797024;+54.655490
280;717.75; 72.74;15.381; 0.022;14.884; 0.007;14.461; 0.005;14.141; 0.006;325.797517;+54.678157
281;718.45;110.68;      ;      ;17.086; 0.052;16.407; 0.028;16.097; 0.040;325.796954;+54.668183
282;718.66;381.34;14.651; 0.011;13.504; 0.004;12.829; 0.002;12.285; 0.002;325.795114;+54.597014
283;720.82;151.24;16.388; 0.060;16.006; 0.020;15.510; 0.012;15.234; 0.017;325.795614;+54.657527
284;721.19; 85.41;      ;      ;16.298; 0.023;15.839; 0.016;15.597; 0.026;325.795871;+54.674838
285;722.87;348.63;      ;      ;      ;      ;16.855; 0.049;16.125; 0.047;325.793412;+54.605630
286;728.07;302.54;      ;      ;16.778; 0.037;16.198; 0.022;15.835; 0.031;325.791347;+54.617768
287;731.69;310.25;      ;      ;16.864; 0.041;16.292; 0.024;16.007; 0.036;325.789653;+54.615754
288;733.95;483.76;      ;      ;15.788; 0.017;14.967; 0.008;14.226; 0.007;325.787518;+54.570137

