#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T04:32:53 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T04:32:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/203/catalog&-order=I&-out=SeqNo&-out=IDs&-out=pmX&-out=pmY&-out=e_pm&-out=Pr&-out=V&-out=B-V&-out=U-B&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1203
#Name: I/203
#Title: Proper Motions, UBV-Phot. & Spectral Class Region 7092 (Platais 1994)
#INFO	ivoid=ivo://cds.vizier/i/203	    IVOID of underlying data collection
#INFO	creator=Platais I.	    First author or institution
#INFO	cites=bibcode:1994BICDS..44....9P	    Article or Data origin sources
#INFO	original_date=1994	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/203	    Dataset landing page
#INFO	publication_date=2017-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_203_catalog:
#Name: I/203/catalog
#Title: The Catalogue in the region of NGC 7092
#Column	SeqNo	(I4)	[1/7931]+ Sequential number of the star.	[ucd=meta.id;meta.main]
#Column	IDs	(A1)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	pmX	(F6.1)	Relative proper motions in X (2)	[ucd=pos.pm]
#Column	pmY	(F6.1)	Relative proper motions in Y (2)	[ucd=pos.pm]
#Column	e_pm	(F4.1)	Mean standard error of proper motions (6)	[ucd=stat.error]
#Column	Pr	(I3)	Calculated membership probabilities (7)	[ucd=stat.fit.goodness]
#Column	V	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	RAJ2000	(A11)	Right Ascension (hours), Equinox=J2000 and Epoch=J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (degrees)	[ucd=pos.eq.dec;meta.main]
SeqNo;IDs;pmX;pmY;e_pm;Pr;V;B-V;U-B;RAJ2000;DEJ2000
2139; ;   5.7;   3.9; 3.3;  0;15.34; 0.55;-0.22;21 29 58.92;+49 02 35.7
2140; ;   4.6;  -6.4; 3.0;  0;15.83; 0.82; 0.26;21 30 01.32;+48 27 44.4
2141; ; -12.3; -15.9; 1.6;  0;13.87; 0.71; 0.14;21 30 03.61;+47 50 50.5
2142; ;   2.3;  -0.5; 1.6;  0;12.99; 0.36; 0.35;21 30 03.88;+47 49 14.7
2143; ;  -1.3;  -1.3; 1.7;  0;13.55; 0.41; 0.19;21 29 59.42;+48 58 17.9
2144; ;   0.8;   0.4; 1.8;  0;14.60; 0.67; 0.40;21 30 01.60;+48 25 54.4
2145; ;   9.3;  -1.2; 3.1;  0;13.87; 1.46; 1.19;21 29 58.88;+49 09 18.5
2146; ;  -0.9;   2.8; 1.6;  0;12.58; 1.77; 1.77;21 29 59.79;+48 54 57.0
2147; ;  -0.2;   1.8; 1.8;  0;14.41; 0.45; 0.31;21 30 04.59;+47 41 18.5
2148; ;  -4.1;  -0.3; 1.7;  0;12.01; 1.39; 1.23;21 30 04.42;+47 43 36.9
2149; ;   4.0;   3.1; 1.6;  0;12.30; 1.57; 1.61;21 30 04.02;+47 51 04.9
2150;*;  -2.1;  -3.8; 1.8;  0;12.62; 0.50; 0.39;21 29 59.27;+49 03 27.8
2151; ;   2.5;   5.8; 1.5;  0;13.63; 0.69; 0.20;21 30 03.50;+48 00 31.0
2152; ;  -1.0;   0.6; 2.2;  0;14.01; 1.44; 1.14;21 30 02.68;+48 13 24.1
2153; ;  -4.6;   8.4; 2.8;  0;14.99; 0.69; 0.23;21 29 59.46;+49 02 30.2
2154; ;   1.4;   1.6; 1.4;  0;12.99; 1.18; 0.84;21 30 03.06;+48 08 48.0
2155; ;   2.0;   0.5; 1.5;  0;11.86; 0.31; 0.34;21 30 00.33;+48 52 13.4
2156; ;  10.7; -12.7; 1.6;  0;14.19; 0.70; 0.24;21 30 01.71;+48 34 03.7
2157; ;  -3.0;   4.8; 2.2;  0;14.78; 0.66; 0.39;21 30 03.38;+48 07 15.1
2158; ;  -0.4;  -2.3; 1.6;  0;13.86; 0.51; 0.51;21 30 04.70;+47 47 48.5
2159; ;   2.1;   3.0; 2.5;  0;14.93; 0.90; 0.32;21 30 02.42;+48 24 58.6
2160; ;  -0.8; -10.4; 1.7;  0;13.87; 0.81; 0.28;21 30 05.39;+47 38 57.7
2161; ;  -6.8;  -1.0; 2.3;  0;14.54; 0.71; 0.11;21 30 05.02;+47 44 36.4
2162; ;   0.6;   0.6; 2.3;  0;12.70; 0.57; 0.55;21 29 59.13;+49 16 57.9
2163; ;  -0.7;   3.6; 2.1;  0;13.51; 0.78; 0.54;21 29 59.09;+49 17 54.1
2164; ;  -4.4;  -4.2; 1.6;  0;13.43; 0.80; 0.22;21 30 05.63;+47 36 15.2
2165; ;  -4.3;   9.3; 2.7;  0;14.07; 1.57; 1.12;21 30 05.00;+47 47 01.5
2166; ;  -3.6;  -5.3; 3.0;  0;14.29; 1.53; 1.12;21 30 02.20;+48 35 49.7
2167; ;  -8.8; -23.7; 3.0;  0;14.66; 0.83; 0.09;21 30 06.25;+47 31 54.6
2168; ;   1.5;  -0.9; 2.3;  0;14.86; 0.76; 0.10;21 30 05.11;+47 51 31.6
2169; ;  -5.3; -25.5; 2.4;  0;14.56; 0.82; 0.20;21 30 00.32;+49 05 49.5
2170; ;   2.0;   6.9; 3.3;  0;15.03; 0.58; 0.35;21 30 00.65;+49 02 28.4
2171; ;  -4.0;  -1.2; 3.0;  0;14.73; 0.39; 0.30;21 30 06.63;+47 29 26.8
2172; ;   1.7;  -0.3; 1.5;  0;13.46; 0.62; 0.52;21 30 01.86;+48 45 48.4
2173; ;   2.6;  -1.1; 1.8;  0;13.91; 1.18; 0.75;21 30 01.87;+48 46 34.9
2174; ;  -4.1;   0.4; 2.5;  0;14.82; 0.76; 0.13;21 30 00.57;+49 05 32.8
2175; ;  -2.1;   1.6; 3.2;  0;15.52; 0.76; 0.34;21 30 03.89;+48 15 11.4
2176; ;  -2.3;  -2.5; 2.6;  0;14.18; 1.23; 0.70;21 30 06.05;+47 41 15.7
2177; ;  -2.3;   1.8; 2.0;  0;13.04; 1.91; 1.99;21 30 05.38;+47 52 47.9
2178; ;   2.5;   6.3; 2.6;  0;14.57; 0.89; 0.17;21 30 06.66;+47 33 54.8
2179; ;   7.7;   4.3; 3.0;  0;15.09; 0.68; 0.49;21 30 05.06;+48 00 47.6
2180; ;   0.7;   1.8; 1.7;-99;14.21; 0.20; 0.45;21 30 01.18;+49 00 19.4
2181; ;   2.6;   1.2; 1.6;  0;13.31; 0.84; 0.31;21 30 00.99;+49 03 38.7
2182; ;  -3.8;   2.3; 2.8;  0;15.13; 0.58; 0.44;21 30 02.35;+48 43 06.9
2183; ;  -3.8;  -3.2; 2.7;  0;14.23; 1.29; 0.91;21 30 06.27;+47 41 43.9
2184; ;  -3.9;   4.0; 2.2;  0;14.97; 0.52; 0.39;21 30 03.20;+48 30 36.4
2185; ;  -2.1;   0.0; 1.6;  0;13.12; 1.62; 1.50;21 30 03.94;+48 19 45.5
2186; ;  -1.5;   1.4; 1.6;  0;13.63; 0.26; 0.00;21 30 05.95;+47 48 53.0
2187; ;   0.2;  -0.4; 1.4;  0;13.27; 0.36; 0.44;21 30 03.86;+48 23 23.9
2188; ;  13.7;  13.8; 1.4;  0;11.50; 0.15; 0.83;21 30 02.47;+48 47 33.6
2189; ;  27.8;  30.6; 1.6;  0;11.00; 0.52;-0.10;21 30 06.84;+47 40 58.1
2190; ;  -3.5;  -0.5; 3.0;  0;15.57; 0.93; 0.31;21 30 05.09;+48 04 57.9
2191; ;   1.4;  -5.9; 1.4;  0;11.72;-0.20; 0.76;21 30 02.40;+48 47 36.4
2192; ;  -3.8;  -0.8; 2.6;-99;15.20; 0.54; 0.27;21 30 01.64;+48 59 15.5
2193; ;   0.9;   2.6; 3.0;  0;14.56; 1.50; 0.96;21 30 03.62;+48 30 50.5
2194; ;   6.1;   1.7; 1.8;  0;13.22; 0.69; 0.15;21 30 01.72;+49 01 17.1
2195; ;  -5.7;   1.3; 2.2;  0;14.43; 0.66; 0.21;21 30 06.48;+47 46 04.3
2196; ;   2.6;   1.4; 3.0;  0;15.17; 0.72; 0.29;21 30 03.64;+48 32 09.0
2197; ;  -0.1;   1.0; 1.7;-99;12.33; 0.15; 0.04;21 30 01.89;+49 00 27.0
2198; ;  -4.1;   0.8; 1.9;  0;12.82; 0.39; 0.27;21 30 06.38;+47 50 09.9
2199; ;  -1.4;   0.1; 2.9;  0;15.14; 0.55; 0.29;21 30 01.88;+49 01 39.3
2200; ;  -3.4;   3.1; 1.5;  0;13.26; 1.17; 0.70;21 30 05.18;+48 12 54.7
2201; ;  -2.7;   2.3; 1.7;  0;14.22; 0.52; 0.21;21 30 02.74;+48 51 10.3
2202; ;  -5.0;  -2.8; 2.4;  0;15.01; 0.64; 0.24;21 30 02.80;+48 50 41.2
2203; ;  -4.7;  -1.9; 2.6;  0;14.81; 0.40; 0.47;21 30 03.08;+48 47 00.2
2204; ;  -2.7;   0.0; 1.6;  0;14.35; 0.40; 0.39;21 30 04.99;+48 17 40.9
2205; ;   0.2;   9.8; 3.0;  0;15.22; 1.03; 0.31;21 30 04.91;+48 19 43.4
2206; ;  -2.1;   0.5; 1.8;  0;12.38; 1.10; 0.89;21 30 02.41;+48 59 48.9
2207; ;  -3.1;  -1.3; 2.5;  0;14.96; 0.65; 0.14;21 30 07.38;+47 41 51.1
2208; ;  -3.1;  -2.3; 3.0;  0;14.09; 1.57; 1.54;21 30 05.79;+48 08 43.8
2209; ;  -1.7;   6.5; 2.7;  0;14.67; 0.66; 0.27;21 30 08.03;+47 34 34.6
2210; ;   8.3;  -3.6; 2.2;  0;14.54; 0.65; 0.08;21 30 07.65;+47 42 41.0
2211; ;  -3.8;  -3.3; 1.4;  0;11.79; 0.37; 0.28;21 30 06.77;+47 55 04.6
2212; ;  18.2;  27.5; 1.9;  0;13.13; 0.87; 0.62;21 30 01.84;+49 15 41.0
2213; ;  -3.1;  28.1; 1.6;  0;13.53; 0.62; 0.04;21 30 07.63;+47 44 03.5
2214; ;   3.3;  -4.1; 2.3;  0;13.44; 2.09; 1.72;21 30 05.21;+48 23 40.5
2215; ;  -0.4;   3.8; 2.5;  0;15.53; 0.49;-0.09;21 30 04.58;+48 34 51.0
2216; ;  -1.8;   6.3; 2.6;  0;15.03; 0.91; 0.46;21 30 03.90;+48 45 46.0
2217; ;   4.3;   2.3; 1.7;  0;13.21; 0.54; 0.33;21 30 03.29;+48 56 07.6
2218; ;   0.0;   3.4; 2.5;  0;14.97; 0.55; 0.35;21 30 07.53;+47 49 36.3
2219; ;   0.3;  -1.4; 2.7;  0;15.47; 0.57;-0.09;21 30 07.59;+47 49 06.3
2220; ;   0.7;   2.8; 1.5;  0;13.91; 0.42; 0.44;21 30 05.91;+48 16 08.1
2221;*;   3.0;  -1.4; 1.5;  0;11.65; 1.59; 1.64;21 30 04.62;+48 37 19.3
2222; ;   2.9;   5.3; 1.9;  0;12.97; 0.61; 0.59;21 30 02.34;+49 12 30.7
2223; ;   0.0;   1.1; 2.3;  0;14.99; 0.88; 0.36;21 30 04.31;+48 42 20.0
2224; ;  -0.2;   0.3; 2.4;  0;14.85; 0.71; 0.28;21 30 03.31;+48 58 10.7
2225; ;   2.8;   5.7; 2.7;  0;14.77; 0.91; 0.37;21 30 06.76;+48 06 53.0
2226; ;  -4.1;   1.3; 2.8;  0;14.98; 0.74; 0.26;21 30 04.47;+48 44 08.2
2227; ;  -2.9;  -2.9; 1.7;  0;13.09; 0.76; 0.38;21 30 03.63;+48 58 35.5
2228; ;  -5.7;  -7.5; 3.0;  0;14.56; 1.40; 0.98;21 30 06.21;+48 18 41.6
2229; ;  -8.9;  -0.4; 2.7;  0;14.33; 0.92; 0.50;21 30 02.94;+49 10 41.1
2230; ;   1.2;   1.9; 1.6;  0;13.89; 0.42;-0.18;21 30 04.56;+48 47 37.7
2231; ;   5.9;  -3.1; 3.0;  0;14.95; 0.88; 0.35;21 30 05.19;+48 38 28.6
2232; ;   2.3;   0.5; 1.8;  0;14.79; 0.52; 0.34;21 30 07.51;+48 03 44.7
2233; ;   0.0;   1.3; 3.3;  0;14.00; 1.78; 1.76;21 30 03.91;+49 00 03.6
2234; ;  -4.8;  -4.2; 2.6;  0;15.34; 0.65; 0.15;21 30 04.28;+48 54 11.3
2235; ;   0.9;   0.3; 1.7;  0;14.53; 0.40; 0.41;21 30 06.63;+48 19 47.9
2236; ;  -2.6;   2.6; 2.6;  0;14.96; 0.78; 0.09;21 30 09.23;+47 40 31.2
2237; ;  -0.2;  -5.5; 2.9;  0;13.73; 1.84; 1.96;21 30 04.40;+48 59 06.7
2238; ;  -6.0;   6.5; 2.3;  0;15.08; 0.52; 0.31;21 30 05.37;+48 44 24.1
2239; ;   1.4;   1.3; 3.1;  0;15.41; 0.67; 0.05;21 30 05.31;+48 47 26.4
2240; ;   2.9;   4.5; 2.8;  0;14.86; 0.85; 0.35;21 30 04.10;+49 06 56.1
2241; ;  -3.3;   4.9; 3.0;  0;14.24; 1.41; 0.95;21 30 06.06;+48 36 35.2
2242; ;  -2.4;   3.0; 2.5;  0;14.82; 0.74; 0.24;21 30 09.27;+47 46 22.4
2243; ;   6.3;   4.0; 2.8;  0;14.92; 1.02; 0.46;21 30 04.31;+49 06 15.9
2244; ;   3.7;   3.0; 2.3;  0;15.13; 0.70; 0.43;21 30 07.09;+48 23 12.1
2245; ;  -1.1;  -1.7; 1.5;  0;13.35; 0.34; 0.04;21 30 08.67;+47 58 08.8
2246; ;   8.4;  -1.7; 3.3;  0;15.24; 0.82; 0.27;21 30 04.92;+48 59 42.7
2247; ;   0.8;  -1.2; 1.8;  0;12.39; 1.50; 1.51;21 30 04.85;+49 01 48.9
2248; ;   2.6;  14.5; 2.4;  0;14.35; 0.87; 0.15;21 30 04.24;+49 11 29.7
2249; ;  -1.6;   3.8; 1.6;  0;13.30; 1.26; 0.84;21 30 08.85;+48 00 57.7
2250; ;  -7.3;   0.4; 2.0;  0;13.58; 1.62; 1.40;21 30 07.78;+48 18 22.1
2251; ;  -2.0;  -0.3; 1.7;-99;14.30; 0.36; 0.42;21 30 04.98;+49 05 04.7
2252; ;   0.8;   2.5; 2.6;  0;13.91; 0.62; 0.37;21 30 04.09;+49 19 56.1
2253; ;  -0.5;  -3.6; 1.7;  0;14.18; 0.72; 0.24;21 30 06.20;+48 47 34.0
2254; ;   0.6;  -0.2; 1.6;  0;13.96; 0.63; 0.26;21 30 09.05;+48 02 21.7
2255; ;  -4.4;  -2.5; 2.0;  0;13.52; 1.25; 0.78;21 30 10.05;+47 46 23.1
2256; ;  -4.6;  -1.9; 2.9;  0;15.18; 0.62; 0.12;21 30 09.25;+47 59 32.9
2257; ;  -9.6;  11.3; 3.0;  0;15.56; 0.87; 0.25;21 30 08.24;+48 17 14.3
2258; ;   0.4;  -1.2; 1.6;  0;12.21; 0.37; 0.27;21 30 10.11;+47 48 55.2
2259;*;  18.9;   3.0; 1.5;  0;12.21; 1.06; 0.92;21 30 07.68;+48 33 39.8
2260; ;  -2.5;   0.4; 1.7;  0;13.62; 1.30; 1.10;21 30 09.09;+48 11 07.8
2261; ;  -1.9;   1.9; 1.7;  0;13.46; 0.41; 0.33;21 30 06.31;+48 55 23.0
2262; ;  -0.3;  -4.6; 2.2;  0;14.68; 0.84; 0.31;21 30 07.06;+48 44 02.4
2263; ;   3.1; -12.3; 2.8;  0;14.95; 0.82; 0.23;21 30 10.85;+47 43 46.2
2264; ;  -2.0;   0.2; 2.9;  0;15.05; 0.78; 0.29;21 30 08.51;+48 21 30.4
2265; ;  -3.7;  -1.3; 2.2;  0;14.62; 0.83; 0.27;21 30 08.04;+48 29 20.1
2266; ;   4.9;  -1.4; 2.5;  0;15.12; 0.59; 0.20;21 30 06.79;+48 51 03.7
2267; ;   4.3;  -8.8; 1.7;  0;13.62; 0.75; 0.24;21 30 06.21;+49 01 08.8
2268; ;   1.7;   8.3; 2.3;  0;15.01; 1.01; 0.07;21 30 08.02;+48 32 39.9
2269; ; -13.8;  -9.3; 1.6;  0;14.14; 0.75; 0.30;21 30 08.81;+48 19 02.8
2270; ;   8.5;  -1.2; 2.7;  0;15.13; 0.84; 0.24;21 30 09.01;+48 20 41.5
2271; ;   4.6;   1.1; 3.2;  0;14.79; 1.31; 0.78;21 30 08.39;+48 31 14.0
2272; ;  -0.4;  -1.2; 2.2;  0;14.71; 0.79; 0.17;21 30 10.59;+47 55 36.8
2273; ;  -0.5;  -5.6; 2.7;  0;14.82; 0.78; 0.37;21 30 08.98;+48 22 24.4
2274; ;  -0.5;  -2.1; 1.7;  0;12.96; 0.35; 0.45;21 30 06.91;+48 57 51.4
2275; ;  -1.6;  -2.4; 3.4;  0;14.66; 0.95; 0.26;21 30 06.05;+49 11 17.0
2276; ;  -3.6;   1.2; 1.6;  0;13.43; 1.38; 0.88;21 30 09.16;+48 23 04.6
2277; ;  -7.3;   4.9; 1.7;  0;14.40; 0.67; 0.25;21 30 10.35;+48 03 34.6
2278; ;  -0.2;   5.0; 2.1;  0;13.37; 1.67; 1.61;21 30 07.58;+48 48 57.6
2279; ;  -1.9;   1.5; 3.0;  0;15.20; 0.70; 0.42;21 30 08.10;+48 41 19.1
2280;*;   0.5;   0.1; 1.6;  0; 9.53; 0.72; 0.49;21 30 07.61;+48 49 54.2
2281; ;   1.9;   3.7; 1.7;  0;14.30; 0.63; 0.10;21 30 10.83;+47 59 39.5
2282; ;  -1.7;  -0.2; 1.7;  0;13.40; 1.15; 1.00;21 30 07.56;+48 52 06.7
2283; ;  -5.3; -14.8; 2.5;  8;14.35; 1.39; 1.16;21 30 08.78;+48 32 40.8
2284; ;   0.2;   1.0; 1.7;  0;13.70; 1.37; 1.09;21 30 09.61;+48 20 18.2
2285; ;  -0.8;  -1.4; 3.2;  0;15.23; 0.88; 0.29;21 30 08.99;+48 31 15.8
2286; ;  -2.9;   1.8; 1.5;  0;11.44; 0.27; 0.12;21 30 07.42;+48 55 59.7
2287; ; -10.2;  -0.5; 1.8;  0;13.80; 0.98; 0.26;21 30 07.28;+49 00 26.7
2288; ;  -2.2;   1.8; 1.6;  0;13.73; 0.41; 0.42;21 30 12.12;+47 44 52.7
2289; ;  -4.1;  -2.6; 1.5;  0;13.06; 0.45; 0.32;21 30 11.24;+47 59 04.1
2290; ;  -1.7;   0.3; 2.5;  0;14.91; 0.94; 0.52;21 30 08.78;+48 39 23.7
2291; ;  -5.4;  -9.5; 2.1;  0;14.59; 0.81; 0.17;21 30 10.75;+48 07 41.1
2292; ;   8.0;   0.6; 2.9;  0;14.78; 0.67; 0.24;21 30 07.32;+49 04 28.2
2293; ;   5.4; -19.9; 3.2;  0;15.51; 1.07; 0.11;21 30 09.05;+48 36 55.7
2294; ;   6.9;   0.3; 2.2;  0;13.91; 1.21; 0.72;21 30 07.43;+49 04 09.2
2295; ;  -1.7;   0.6; 1.7;-99;14.24; 0.41; 0.40;21 30 07.66;+48 59 38.9
2296; ;  -1.3;   1.9; 1.7;  0;14.46; 0.65; 0.52;21 30 10.44;+48 15 31.3
2297; ;  -0.3;   1.9; 2.6;  0;15.17; 0.77; 0.17;21 30 11.79;+47 53 48.9
2298; ;   7.8;   9.1; 2.8;  0;14.97; 0.99; 0.46;21 30 08.23;+48 55 10.9
2299; ;   1.5;   1.9; 1.6;  0;13.53; 1.25; 0.97;21 30 11.96;+47 56 30.0
2300; ;  -0.5;   5.2; 2.9;  0;14.53; 0.62; 0.23;21 30 12.71;+47 44 55.4
2301; ;   5.9;   7.6; 2.3;  0;14.96; 0.79; 0.14;21 30 11.85;+48 00 51.8
2302; ;   6.6;   0.9; 4.3;  0;15.04; 0.60; 0.29;21 30 07.90;+49 04 34.3
2303; ;   1.1;   1.4; 2.3;  0;13.94; 1.35; 0.91;21 30 07.98;+49 03 22.1
2304; ;   3.3;  -4.3; 2.8;  0;14.24; 0.74; 0.35;21 30 07.23;+49 16 14.7
2305; ;  -0.1;   2.2; 1.7;  0;14.33; 0.20; 0.28;21 30 12.88;+47 45 06.2
2306; ;  -3.3;  -1.1; 2.6;  0;14.39; 0.88; 0.15;21 30 13.54;+47 33 50.1
2307; ;   1.3;  -1.8; 3.0;  0;15.32; 1.00; 0.32;21 30 11.68;+48 05 34.4
2308; ;   2.5;  -0.2; 2.4;  0;15.19; 0.70; 0.25;21 30 11.59;+48 07 18.3
2309; ;  -6.7;   8.9; 2.5;  0;15.52; 0.82;-0.03;21 30 11.92;+48 03 29.8
2310; ;  -4.2;   5.1; 2.8;  0;14.83; 0.89; 0.42;21 30 10.09;+48 34 38.0
2311; ;   3.0;   3.2; 1.4;  0;12.77; 0.77; 0.53;21 30 10.89;+48 23 19.4
2312; ;  -1.1;  -2.0; 1.6;  0;11.48; 1.98; 2.23;21 30 09.56;+48 46 34.8
2313; ;  -9.4;  -6.0; 3.0;  0;14.26; 0.87; 0.30;21 30 14.29;+47 28 56.8
2314; ;  -1.3;  -5.3; 2.2;  0;14.75; 0.73; 0.42;21 30 13.22;+47 52 20.2
2315; ;   4.1;   0.2; 2.1;-99;14.57; 0.45; 0.40;21 30 09.21;+49 00 16.9
2316; ;  -4.7;   2.1; 1.8;  0;13.89; 0.90; 0.29;21 30 09.08;+49 02 04.4
2317; ;  -3.8;  -1.4; 2.2;  0;13.92; 1.52; 1.32;21 30 12.23;+48 12 26.1
2318; ;  -1.7;  -1.0; 1.6;  0;12.43; 0.53; 0.44;21 30 13.53;+47 52 07.9
2319; ;  -4.8;   2.1; 3.1;  0;13.71; 0.60; 0.27;21 30 15.18;+47 28 10.5
2320; ;   5.5;   0.6; 3.0;  0;15.04; 1.09; 0.40;21 30 12.57;+48 13 33.5
2321; ;   1.2;  -0.9; 2.2;  0;14.66; 0.73; 0.21;21 30 13.79;+47 54 03.7
2322; ;  30.9;   4.2; 1.5;  0;11.17; 0.43;-0.03;21 30 10.23;+48 57 55.7
2323; ;   2.0;   6.0; 2.5;  0;15.23; 0.82; 0.40;21 30 12.61;+48 16 47.0
2324; ;  -2.3;   0.7; 2.3;  0;15.14; 0.99; 0.39;21 30 12.49;+48 18 52.3
2325; ;  -0.8;   2.8; 1.8;  0;14.58; 0.65; 0.42;21 30 11.92;+48 28 52.9
2326; ;  -1.9;   5.6; 3.0;  0;13.34; 2.23; 2.05;21 30 12.60;+48 18 06.4
2327; ;  -4.3;  -1.2; 1.6;  0;13.64; 0.33; 0.36;21 30 11.03;+48 44 28.0
2328; ;   2.5;  -0.9; 1.5;  0;11.85; 0.32; 0.08;21 30 14.42;+47 51 27.8
2329; ;  -0.7;   4.5; 3.3;  0;15.24; 0.89; 0.28;21 30 10.55;+48 55 12.9
2330; ;  -0.1;   9.5; 3.2;  0;15.16; 0.91; 0.26;21 30 14.83;+47 45 52.2
2331; ;  -4.7;  -3.6; 2.9;  0;14.80; 0.78; 0.15;21 30 15.01;+47 42 50.9
2332; ;  -0.7;  -2.3; 1.9;  0;13.59; 1.42; 1.18;21 30 12.86;+48 19 49.2
2333; ;   1.0;  -0.6; 1.7;-99;13.08; 0.28; 0.30;21 30 10.45;+48 59 43.3
2334; ;  -2.9;  -1.0; 1.4;  0;13.78; 0.30; 0.33;21 30 13.50;+48 09 57.2
2335; ;  -3.1;  -2.4; 2.8;  0;14.55; 0.55; 0.39;21 30 15.64;+47 34 29.4
2336; ; -16.7;   7.8; 3.8;  0;14.23; 1.33; 0.74;21 30 11.85;+48 35 41.4
2337; ;   0.5;   3.9; 2.7;  0;15.34; 0.74; 0.09;21 30 11.01;+48 51 54.3
2338; ;  -1.7;   3.0; 2.2;  0;15.05; 0.48; 0.34;21 30 14.03;+48 02 39.1
2339; ;   0.7;  -1.3; 3.0;  0;15.25; 0.74; 0.42;21 30 12.34;+48 30 49.7
2340; ;   1.0;   2.5; 2.5;  0;15.18; 0.64; 0.42;21 30 12.55;+48 27 50.8
2341; ;   4.9;  -0.3; 1.7;  0;14.17; 0.77; 0.27;21 30 12.99;+48 21 19.6
2342; ;  -9.7;  -9.4; 2.5;  0;14.63; 0.93; 0.26;21 30 10.02;+49 07 13.2
2343; ;  -4.4;  -0.9; 2.2;  0;13.85; 1.29; 0.98;21 30 10.59;+48 59 08.4
2344; ;  -7.2;  -1.7; 3.3;  0;15.29; 0.43;-0.10;21 30 10.44;+49 01 51.0
2345; ;  -6.8;  -0.4; 2.5;  0;15.28; 0.70; 0.33;21 30 12.40;+48 33 14.7
2346; ;  -0.6;  -0.1; 1.7;  0;13.04; 0.64; 0.34;21 30 15.79;+47 38 36.6
2347; ;  -9.1;   6.6; 2.1;  0;14.41; 0.89; 0.43;21 30 11.87;+48 43 38.8
2348;*;  -1.1;  -9.5; 1.7;  0;10.30; 0.37;-0.07;21 30 15.85;+47 39 12.6
2349; ;  10.8;   1.2; 3.0;  0;14.81; 1.11; 0.65;21 30 13.90;+48 13 48.3
2350; ;  -4.8;  -0.7; 2.4;  0;15.05; 0.57; 0.46;21 30 11.63;+48 50 41.2
2351; ;   1.0;  -3.2; 1.7;  0;13.18; 1.30; 1.10;21 30 10.62;+49 09 21.1
2352; ;   2.2;   7.9; 2.4;  0;14.52; 0.83; 0.44;21 30 10.60;+49 10 05.7
2353; ;   2.3;  -6.4; 2.3;  0;14.75; 0.92; 0.20;21 30 15.08;+47 57 04.9
2354; ;   3.3;   5.5; 2.6;  0;14.83; 0.89; 0.51;21 30 11.50;+48 56 13.2
2355; ;   4.5;  -2.0; 2.5;  0;15.47; 0.84; 0.28;21 30 14.86;+48 01 56.2
2356; ;   4.7;  -1.0; 1.8;  0;14.25; 0.67; 0.43;21 30 11.67;+48 56 45.6
2357; ;   4.2;  -4.4; 1.9;-99;14.79; 0.41; 0.30;21 30 11.21;+49 04 04.9
2358; ;   1.4;   4.2; 2.8;  0;14.50; 0.51; 0.53;21 30 10.48;+49 15 48.8
2359; ;   1.5;   2.1; 1.6;  0;13.88; 0.64; 0.25;21 30 12.35;+48 47 27.4
2360; ;  25.3;   9.7; 1.5;  0;13.66; 0.80; 0.29;21 30 14.67;+48 13 02.4
2361; ;  -2.4;   0.1; 1.8;-99;14.61; 0.28; 0.35;21 30 12.00;+48 52 36.5
2362; ; -10.6; -27.0; 2.4;  0;14.53; 0.98; 0.32;21 30 15.49;+47 54 09.9
2363; ;   0.3;   0.8; 2.4;  0;15.05; 0.68; 0.18;21 30 12.26;+48 49 39.3
2364; ;   3.1;  -1.2; 4.2;  0;15.48; 0.48; 0.16;21 30 15.87;+47 55 05.3
2365; ;  -4.2;  -5.0; 2.2;  0;14.93; 0.55; 0.49;21 30 13.41;+48 34 45.5
2366; ;  -4.3;  -1.6; 2.2;  0;15.05; 0.40; 0.41;21 30 15.02;+48 08 49.2
