#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:48:18 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:48:18	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/PAZh/36/16/stars&-order=I&-out=Cluster&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=B-V&-out=e_B-V&-out=V-Rc&-out=e_V-Rc&-out=V-Ic&-out=e_V-Ic&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_90360016
#Name: J/PAZh/36/16
#Title: Photometry in 6 galactic open star clusters (Glushkova+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pazh/36/16	    IVOID of underlying data collection
#INFO	creator=Glushkova E.V.	    First author or institution
#INFO	cites=bibcode:2010PAZh...36...16G	    Article or Data origin sources
#INFO	editor=Pis'ma v Astronomicheskii Zhurnal	    Editor name (article)
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PAZh/36/16	    Dataset landing page
#INFO	publication_date=2017-07-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PAZh_36_16_stars:
#Name: J/PAZh/36/16/stars
#Title: Combined table from original tables
#Column	Cluster	(a7)	Cluster name	[ucd=meta.id.parent]
#Column	RAJ2000	(F10.6)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Error on V	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson color index B-V	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? Error on B-V (1)	[ucd=stat.error;phot.color;em.opt.B]
#Column	V-Rc	(F6.3)	? Johnson-Cousins color index V-Rc (1)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-Rc	(F6.3)	? Error on V-Rc (1)	[ucd=stat.error;phot.color;em.opt.V]
#Column	V-Ic	(F6.3)	? Johnson-Cousins color index V-Ic (1)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-Ic	(F6.3)	? Error on V-Ic (1)	[ucd=stat.error;phot.color;em.opt.V]
Cluster;RAJ2000;DEJ2000;Vmag;e_Vmag;B-V;e_B-V;V-Rc;e_V-Rc;V-Ic;e_V-Ic
NGC136 ;007.855500;+61.500801;18.516; 0.010; 1.004; 0.033; 0.648; 0.011; 1.274; 0.010
NGC136 ;007.859097;+61.499740;19.709; 0.020; 1.097; 0.054; 0.670; 0.028; 1.392; 0.022
NGC136 ;007.933432;+61.471119;15.437; 0.004; 0.600; 0.031; 0.381; 0.006; 0.747; 0.004
NGC136 ;007.818049;+61.516581;14.424; 0.005; 0.383; 0.018; 0.272; 0.004; 0.568; 0.003
NGC136 ;007.792658;+61.526557;18.059; 0.007; 0.926; 0.016; 0.624; 0.009; 1.215; 0.008
NGC136 ;007.882371;+61.491903;18.600; 0.010; 0.914; 0.023; 0.639; 0.011; 1.254; 0.011
NGC136 ;007.837185;+61.510135;18.303; 0.013; 0.972; 0.039; 0.605; 0.010; 1.229; 0.030
NGC136 ;007.887588;+61.490591;18.607; 0.010; 1.059; 0.024; 0.704; 0.011; 1.420; 0.015
NGC136 ;007.794608;+61.528166;16.855; 0.010; 0.954; 0.011; 0.596; 0.007; 1.136; 0.011
NGC136 ;007.856722;+61.504089;15.738; 0.009; 0.775; 0.039; 0.494; 0.011; 1.000; 0.005
NGC136 ;007.942069;+61.471405;17.647; 0.024; 0.870; 0.049; 0.609; 0.024; 1.206; 0.022
NGC136 ;007.950353;+61.468712;18.021; 0.008; 1.180; 0.028; 0.740; 0.010; 1.459; 0.010
NGC136 ;007.877577;+61.497312;19.053; 0.012; 0.970; 0.050; 0.664; 0.013; 1.331; 0.014
NGC136 ;007.858492;+61.504907;18.344; 0.021; 0.880; 0.023; 0.574; 0.032; 1.165; 0.022
NGC136 ;007.891877;+61.492348;16.750; 0.005; 0.803; 0.027; 0.532; 0.006; 1.042; 0.005
NGC136 ;007.871313;+61.500404;17.305; 0.005; 0.876; 0.031; 0.561; 0.011; 1.103; 0.006
NGC136 ;007.806701;+61.525481;15.281; 0.008; 0.576; 0.010; 0.376; 0.005; 0.745; 0.008
NGC136 ;007.880456;+61.497201;16.925; 0.006; 0.616; 0.024; 0.410; 0.006; 0.869; 0.005
NGC136 ;007.804353;+61.526792;15.506; 0.004; 0.998; 0.016; 0.611; 0.007; 1.134; 0.009
NGC136 ;007.943619;+61.472913;19.223; 0.021; 0.934; 0.036; 0.688; 0.016; 1.344; 0.015
NGC136 ;007.811218;+61.524640;17.083; 0.007; 1.559; 0.021; 1.030; 0.011; 1.940; 0.009
NGC136 ;007.887042;+61.495369;18.403; 0.031; 0.863; 0.036; 0.572; 0.034; 1.145; 0.029
NGC136 ;007.935796;+61.476455;17.767; 0.012; 0.948; 0.042; 0.591; 0.012; 1.213; 0.010
NGC136 ;007.913692;+61.485131;19.041; 0.013; 1.033; 0.032; 0.694; 0.014; 1.376; 0.015
NGC136 ;007.876690;+61.499572;16.588; 0.006; 1.520; 0.035; 0.925; 0.010; 1.804; 0.007
NGC136 ;007.917779;+61.483810;18.000; 0.008; 1.101; 0.018; 0.671; 0.009; 1.267; 0.018
NGC136 ;007.854227;+61.508837;17.818; 0.011; 0.821; 0.014; 0.531; 0.008; 1.106; 0.032
NGC136 ;007.896745;+61.492426;18.144; 0.007; 0.926; 0.016; 0.601; 0.009; 1.166; 0.009
NGC136 ;007.885624;+61.497179;18.905; 0.012; 0.965; 0.028; 0.651; 0.012; 1.293; 0.013
NGC136 ;007.889192;+61.496187;18.018; 0.009; 0.782; 0.021; 0.531; 0.008; 1.076; 0.008
NGC136 ;007.856137;+61.510276;17.205; 0.014; 0.702; 0.010; 0.434; 0.006; 0.927; 0.017
NGC136 ;007.825670;+61.522174;18.990; 0.055; 1.212; 0.056; 0.769; 0.060; 1.450; 0.035
NGC136 ;007.799050;+61.532582;18.636; 0.027; 0.924; 0.024; 0.636; 0.019; 1.238; 0.052
NGC136 ;007.899236;+61.494514;16.933; 0.006; 0.619; 0.021; 0.420; 0.006; 0.892; 0.018
NGC136 ;007.876444;+61.504159;14.887; 0.008; 0.621; 0.022; 0.416; 0.009; 0.833; 0.008
NGC136 ;007.956405;+61.473777;15.680; 0.004; 0.798; 0.020; 0.510; 0.006; 0.990; 0.004
NGC136 ;007.871388;+61.506920;17.887; 0.023; 0.950; 0.060; 0.652; 0.021; 1.295; 0.033
NGC136 ;007.873687;+61.506600;15.037; 0.004; 0.624; 0.025; 0.440; 0.005; 0.935; 0.003
NGC136 ;007.914586;+61.490218;17.535; 0.013; 0.879; 0.024; 0.555; 0.008; 1.080; 0.022
NGC136 ;007.883540;+61.502877;18.607; 0.010; 0.893; 0.041; 0.615; 0.020; 1.237; 0.022
NGC136 ;007.883280;+61.503597;17.184; 0.005; 0.668; 0.033; 0.452; 0.008; 0.953; 0.018
NGC136 ;007.911089;+61.492449;17.395; 0.028; 0.701; 0.027;      ;      ;      ;
NGC136 ;007.813802;+61.530466;18.240; 0.016; 0.679; 0.017; 0.475; 0.009; 0.924; 0.010
NGC136 ;007.918904;+61.490316;19.135; 0.014; 1.003; 0.054; 0.648; 0.017; 1.261; 0.020
NGC136 ;007.809646;+61.532747;16.572; 0.013; 1.088; 0.027; 0.687; 0.008; 1.319; 0.014
NGC136 ;007.957646;+61.475316;18.559; 0.012; 0.878; 0.030; 0.587; 0.011; 1.171; 0.011
NGC136 ;007.957836;+61.476115;17.706; 0.007; 1.039; 0.042; 0.653; 0.008; 1.291; 0.007
NGC136 ;007.872840;+61.509848;14.322; 0.004; 0.993; 0.026; 0.622; 0.007; 1.202; 0.004
NGC136 ;007.798874;+61.537669;18.349; 0.010; 1.030; 0.029; 0.645; 0.010; 1.238; 0.035
NGC136 ;007.837566;+61.523138;17.210; 0.006; 1.119; 0.036; 0.680; 0.008; 1.301; 0.006
NGC136 ;007.949893;+61.480277;16.077; 0.004; 0.759; 0.035; 0.464; 0.006; 0.949; 0.004
NGC136 ;007.965332;+61.474363;18.845; 0.018; 1.334; 0.033; 0.848; 0.018; 1.654; 0.012
NGC136 ;007.887310;+61.504874;14.995; 0.003; 0.518; 0.017; 0.380; 0.005; 0.798; 0.003
NGC136 ;007.800614;+61.538648;18.958; 0.017; 1.174; 0.035; 0.708; 0.013; 1.319; 0.028
NGC136 ;007.836268;+61.525358;17.804; 0.007; 0.879; 0.021; 0.563; 0.008; 1.096; 0.007
NGC136 ;007.919407;+61.493245;14.415; 0.003; 0.468; 0.034; 0.304; 0.005; 0.626; 0.006
NGC136 ;007.843393;+61.523256;19.503; 0.018; 1.176; 0.069; 0.676; 0.018; 1.341; 0.036
NGC136 ;007.880406;+61.508915;17.445; 0.007; 0.854; 0.048; 0.557; 0.010; 1.145; 0.023
NGC136 ;007.910783;+61.497117;18.309; 0.014; 1.329; 0.024; 0.802; 0.012; 1.564; 0.014
NGC136 ;007.834280;+61.526858;15.748; 0.005; 0.835; 0.025; 0.518; 0.006; 1.011; 0.004
NGC136 ;007.799756;+61.540747;16.879; 0.005; 1.037; 0.011; 0.674; 0.008; 1.257; 0.008
NGC136 ;007.909135;+61.498137;16.704; 0.004; 0.570; 0.043; 0.390; 0.007; 0.806; 0.004
NGC136 ;007.892048;+61.505462;17.453; 0.006; 0.934; 0.013; 0.593; 0.008; 1.143; 0.006
NGC136 ;007.873173;+61.513327;17.222; 0.005; 0.727; 0.038; 0.470; 0.009; 0.983; 0.015
NGC136 ;007.887692;+61.507712;16.500; 0.006; 0.642; 0.022; 0.429; 0.006; 0.905; 0.006
NGC136 ;007.879538;+61.510885;17.604; 0.031; 1.569; 0.019; 1.064; 0.013; 2.019; 0.020
NGC136 ;007.881447;+61.510504;15.381; 0.003; 0.564; 0.042; 0.390; 0.005; 0.833; 0.009
NGC136 ;007.866997;+61.515978;16.940; 0.005; 0.936; 0.032; 0.622; 0.007; 1.223; 0.005
NGC136 ;007.979365;+61.473446;18.112; 0.030; 0.974; 0.050; 0.651; 0.031; 1.268; 0.027
NGC136 ;007.896487;+61.505779;17.619; 0.021; 0.728; 0.060; 0.451; 0.007; 0.940; 0.007
NGC136 ;007.972210;+61.476278;19.147; 0.019; 1.119; 0.037; 0.655; 0.015; 1.316; 0.049
NGC136 ;007.816866;+61.536771;14.242; 0.005; 0.535; 0.008; 0.372; 0.026; 0.717; 0.008
NGC136 ;007.926784;+61.494501;19.808; 0.020; 0.998; 0.054; 0.716; 0.020; 1.407; 0.023
NGC136 ;007.885116;+61.510742;15.000; 0.003; 0.570; 0.017; 0.399; 0.005; 0.840; 0.004
NGC136 ;007.891361;+61.508890;15.836; 0.004; 0.510; 0.025; 0.376; 0.006; 0.791; 0.003
NGC136 ;007.808313;+61.541173;16.647; 0.007; 1.270; 0.012; 0.817; 0.009; 1.466; 0.006
NGC136 ;007.972301;+61.477768;17.528; 0.006; 0.709; 0.013; 0.439; 0.010; 0.907; 0.006
NGC136 ;007.837402;+61.530595;15.129; 0.004; 0.795; 0.009; 0.509; 0.006; 0.987; 0.009
NGC136 ;007.917083;+61.500023;18.580; 0.009; 0.967; 0.025; 0.654; 0.011; 1.268; 0.029
NGC136 ;007.871677;+61.517745;18.741; 0.018; 1.079; 0.027; 0.722; 0.014; 1.378; 0.017
NGC136 ;007.912357;+61.501984;18.299; 0.008; 0.880; 0.055; 0.570; 0.009; 1.142; 0.022
NGC136 ;007.950269;+61.487473;18.587; 0.020; 0.882; 0.021;      ;      ;      ;
NGC136 ;007.909340;+61.504404;17.105; 0.011; 0.845; 0.027; 0.548; 0.007; 1.070; 0.019
NGC136 ;007.836634;+61.532664;18.016; 0.008; 1.118; 0.019; 0.663; 0.009; 1.265; 0.009
NGC136 ;007.945384;+61.490814;20.099; 0.048; 1.216; 0.080; 0.714; 0.055; 1.378; 0.034
NGC136 ;007.921551;+61.500200;15.443; 0.008; 1.423; 0.036; 0.945; 0.009; 1.798; 0.007
NGC136 ;007.869301;+61.520945;18.492; 0.017; 1.224; 0.025; 0.734; 0.011; 1.413; 0.010
NGC136 ;007.980798;+61.477604;18.857; 0.034; 0.990; 0.039; 0.617; 0.030; 1.240; 0.016
NGC136 ;007.853453;+61.528208;19.126; 0.020; 1.155; 0.037; 0.712; 0.016; 1.313; 0.017
NGC136 ;007.984586;+61.477222;16.771; 0.005; 0.876; 0.029; 0.553; 0.011; 1.074; 0.005
NGC136 ;007.924980;+61.500539;18.286; 0.008; 0.948; 0.057; 0.615; 0.010; 1.150; 0.010
NGC136 ;007.875837;+61.520222;19.391; 0.016; 1.016; 0.050; 0.692; 0.016; 1.377; 0.033
NGC136 ;007.878087;+61.520461;16.485; 0.005; 0.694; 0.027; 0.456; 0.006; 0.948; 0.007
NGC136 ;007.879155;+61.519131;17.251; 0.005; 0.688; 0.010; 0.444; 0.006; 0.923; 0.005
NGC136 ;007.833410;+61.537503;17.883; 0.007; 0.939; 0.044; 0.601; 0.009; 1.201; 0.008
NGC136 ;007.870872;+61.523073;17.823; 0.007; 0.936; 0.019; 0.578; 0.008; 1.143; 0.014
NGC136 ;007.986476;+61.478641;19.650; 0.019; 1.282; 0.063; 0.747; 0.019; 1.469; 0.040
NGC136 ;007.919146;+61.505019;19.559; 0.034; 1.005; 0.048; 0.674; 0.020; 1.304; 0.049
NGC136 ;007.896234;+61.514075;16.556; 0.007; 0.648; 0.027; 0.417; 0.006; 0.884; 0.007
NGC136 ;007.898492;+61.513235;18.825; 0.011; 1.198; 0.031; 0.765; 0.012; 1.490; 0.019
NGC136 ;007.916798;+61.506270;17.894; 0.007; 0.756; 0.024; 0.501; 0.014; 1.019; 0.010
NGC136 ;007.956739;+61.490919;16.998; 0.005; 0.775; 0.040; 0.504; 0.007; 0.999; 0.005
NGC136 ;007.889789;+61.517117;16.437; 0.019; 0.709; 0.011;      ;      ;      ;
NGC136 ;007.965793;+61.487836;19.438; 0.030; 0.988; 0.057; 0.657; 0.020; 1.306; 0.045
NGC136 ;007.924894;+61.504417;18.415; 0.009; 0.887; 0.049; 0.577; 0.010; 1.160; 0.028
NGC136 ;007.894697;+61.516835;17.801; 0.016; 1.135; 0.016; 0.706; 0.009; 1.402; 0.010
NGC136 ;007.867637;+61.527822;19.330; 0.020; 1.039; 0.040; 0.678; 0.015; 1.320; 0.017
NGC136 ;007.890850;+61.519026;13.962; 0.005; 1.503; 0.029;      ;      ;      ;
NGC136 ;007.981113;+61.484100;17.669; 0.010; 0.963; 0.026; 0.610; 0.008; 1.159; 0.009
NGC136 ;007.916651;+61.509298;16.273; 0.004; 0.559; 0.030; 0.371; 0.008; 0.770; 0.008
NGC136 ;007.931550;+61.503554;17.475; 0.005; 0.685; 0.011; 0.441; 0.007; 0.886; 0.010
NGC136 ;007.933589;+61.503103;18.077; 0.007; 0.966; 0.018; 0.612; 0.009; 1.192; 0.008
NGC136 ;007.862322;+61.530763;19.009; 0.013; 1.107; 0.033; 0.681; 0.022; 1.349; 0.025
NGC136 ;007.958960;+61.493326;16.041; 0.009; 0.620; 0.049; 0.417; 0.012; 0.805; 0.007
NGC136 ;007.923447;+61.507566;18.574; 0.010; 1.068; 0.031; 0.714; 0.029; 1.400; 0.025
NGC136 ;007.834943;+61.542110;18.218; 0.009; 1.045; 0.020; 0.680; 0.012; 1.324; 0.015
NGC136 ;007.907809;+61.514060;17.598; 0.017; 0.906; 0.013; 0.574; 0.008; 1.134; 0.033
NGC136 ;007.914564;+61.511608;17.174; 0.010; 0.815; 0.043; 0.533; 0.007; 1.081; 0.006
NGC136 ;007.970083;+61.490083;18.625; 0.011; 1.125; 0.036; 0.707; 0.011; 1.339; 0.011
NGC136 ;007.900694;+61.517262;19.105; 0.016; 0.947; 0.033; 0.668; 0.014; 1.345; 0.053
NGC136 ;007.922329;+61.509246;18.177; 0.012; 0.890; 0.056; 0.560; 0.009; 1.107; 0.009
NGC136 ;007.820335;+61.549044;15.982; 0.005; 0.592; 0.016; 0.401; 0.007; 0.805; 0.014
NGC136 ;007.975200;+61.489001;17.502; 0.010; 0.984; 0.034; 0.603; 0.008; 1.134; 0.007
NGC136 ;007.901995;+61.518311;18.039; 0.009; 0.888; 0.027; 0.571; 0.009; 1.144; 0.008
NGC136 ;007.860976;+61.535092;19.313; 0.019; 0.938; 0.038; 0.662; 0.016; 1.277; 0.018
NGC136 ;007.974931;+61.490900;16.385; 0.006; 0.822; 0.032; 0.530; 0.007; 1.011; 0.004
NGC136 ;007.944634;+61.502728;16.486; 0.006; 0.723; 0.028; 0.476; 0.006; 0.949; 0.009
NGC136 ;007.870120;+61.532219;17.291; 0.005; 0.670; 0.034; 0.418; 0.006; 0.861; 0.009
NGC136 ;007.926638;+61.510303;18.995; 0.027; 1.164; 0.045; 0.789; 0.040; 1.535; 0.060
NGC136 ;007.854931;+61.538263;18.820; 0.019; 1.078; 0.030; 0.648; 0.015; 1.254; 0.022
NGC136 ;007.961812;+61.496963;16.887; 0.007; 0.619; 0.034; 0.390; 0.006; 0.804; 0.010
NGC136 ;007.919993;+61.513375;16.768; 0.005; 0.617; 0.029; 0.393; 0.005; 0.834; 0.013
NGC136 ;007.873359;+61.532387;16.844; 0.006; 1.523; 0.029; 0.915; 0.010; 1.766; 0.010
NGC136 ;007.857471;+61.538851;17.335; 0.038; 1.305; 0.052; 0.829; 0.029; 1.536; 0.055
NGC136 ;007.957346;+61.500134;17.320; 0.005; 0.678; 0.049; 0.445; 0.007; 0.882; 0.012
NGC136 ;007.915858;+61.516765;18.424; 0.016; 1.215; 0.070; 0.829; 0.027; 1.588; 0.030
NGC136 ;007.846989;+61.543644;16.437; 0.004; 0.610; 0.021; 0.400; 0.005; 0.802; 0.004
NGC136 ;007.895513;+61.525430;17.151; 0.009; 1.511; 0.035; 0.919; 0.010; 1.778; 0.008
NGC136 ;007.924302;+61.514452;17.450; 0.006; 0.923; 0.032; 0.586; 0.009; 1.180; 0.014
NGC136 ;007.979461;+61.493077;18.095; 0.010; 0.841; 0.045; 0.547; 0.013; 1.052; 0.008
NGC136 ;007.936383;+61.510109;19.511; 0.020; 1.006; 0.046; 0.662; 0.017; 1.219; 0.064
NGC136 ;007.888140;+61.529172;17.642; 0.019; 0.727; 0.050; 0.457; 0.018; 0.938; 0.009
NGC136 ;007.867785;+61.537227;15.879; 0.004; 0.940; 0.022; 0.571; 0.006; 1.078; 0.014
NGC136 ;007.857673;+61.541320;19.129; 0.016; 0.906; 0.055; 0.718; 0.016; 1.392; 0.035
NGC136 ;007.942930;+61.509246;17.605; 0.006; 0.762; 0.039; 0.458; 0.009; 0.895; 0.007
NGC136 ;007.877659;+61.535514;17.741; 0.015; 0.974; 0.015; 0.632; 0.008; 1.246; 0.007
NGC136 ;007.954972;+61.505642;20.040; 0.051; 1.200; 0.075;      ;      ; 1.457; 0.043
NGC136 ;007.949766;+61.508093;18.324; 0.009; 1.168; 0.022; 0.721; 0.010; 1.358; 0.009
NGC136 ;007.826039;+61.556497;19.564; 0.019; 1.110; 0.057; 0.733; 0.019;      ;
NGC136 ;007.939934;+61.512326;15.634; 0.005; 1.579; 0.025; 0.910; 0.009; 1.715; 0.007
NGC136 ;007.833923;+61.553815;19.051; 0.013; 1.071; 0.034; 0.660; 0.025; 1.278; 0.029
NGC136 ;007.839999;+61.551823;17.388; 0.007; 1.525; 0.021; 1.020; 0.011; 1.857; 0.008
NGC136 ;007.851271;+61.547770;16.985; 0.005; 0.943; 0.013; 0.579; 0.007; 1.091; 0.005
NGC136 ;007.875893;+61.538853;17.250; 0.006; 1.325; 0.037; 0.834; 0.009; 1.497; 0.014
NGC136 ;007.891211;+61.532949;19.269; 0.015; 1.037; 0.038; 0.684; 0.015; 1.319; 0.030
NGC136 ;007.868808;+61.541665;17.033; 0.006; 1.333; 0.013; 0.820; 0.009; 1.547; 0.006
NGC136 ;008.006646;+61.488766;17.759; 0.013; 0.943; 0.015; 0.594; 0.025; 1.160; 0.007
NGC136 ;007.849873;+61.549830;18.845; 0.011; 0.985; 0.056; 0.649; 0.012; 1.261; 0.020
NGC136 ;007.917733;+61.524211;14.690; 0.005; 1.424; 0.031; 0.820; 0.008; 1.552; 0.006
NGC136 ;007.945913;+61.513763;19.266; 0.016; 1.030; 0.040; 0.655; 0.016; 1.285; 0.050
NGC136 ;007.981716;+61.500252;16.948; 0.006; 0.904; 0.012; 0.564; 0.007; 1.078; 0.006
NGC136 ;008.000013;+61.493347;16.250; 0.009; 0.987; 0.033; 0.603; 0.010; 1.145; 0.005
NGC136 ;007.844089;+61.554000;17.160; 0.018; 0.801; 0.011; 0.542; 0.007; 1.012; 0.023
NGC136 ;007.834916;+61.557743;15.147; 0.003; 0.604; 0.019; 0.415; 0.005; 0.760; 0.013
NGC136 ;007.991900;+61.497759;17.318; 0.005; 0.683; 0.026; 0.433; 0.007; 0.883; 0.013
NGC136 ;007.989532;+61.498919;17.795; 0.006; 0.844; 0.033; 0.524; 0.008; 1.049; 0.007
NGC136 ;007.883281;+61.540359;16.269; 0.006; 1.478; 0.014; 0.889; 0.010; 1.705; 0.009
NGC136 ;007.877676;+61.543190;18.685; 0.010; 1.087; 0.035; 0.704; 0.011; 1.368; 0.021
NGC136 ;007.855153;+61.552556;17.690; 0.007; 1.631; 0.020; 1.121; 0.012; 2.168; 0.010
NGC136 ;007.935464;+61.521963;17.787; 0.012; 0.846; 0.021;      ;      ;      ;
NGC136 ;007.945367;+61.518391;15.407; 0.004; 0.459; 0.017; 0.284; 0.004; 0.573; 0.003
NGC136 ;007.835808;+61.561261;18.643; 0.014; 1.017; 0.026; 0.756; 0.012; 1.421; 0.033
NGC136 ;007.856424;+61.553865;19.697; 0.021; 0.947; 0.068; 0.718; 0.030; 1.338; 0.054
NGC136 ;007.921655;+61.528527;16.796; 0.005; 0.631; 0.042; 0.409; 0.006; 0.832; 0.005
NGC136 ;007.927851;+61.526265;19.128; 0.014; 1.136; 0.038; 0.695; 0.014; 1.394; 0.038
NGC136 ;007.906767;+61.534970;18.953; 0.015; 0.986; 0.030; 0.642; 0.013; 1.270; 0.056
NGC136 ;007.943449;+61.520810;17.052; 0.006; 0.918; 0.030; 0.561; 0.007; 1.064; 0.005
NGC136 ;007.861061;+61.552813;18.360; 0.019; 0.921; 0.021; 0.675; 0.016; 1.311; 0.025
NGC136 ;007.904988;+61.536091;19.936; 0.025; 1.120; 0.076; 0.829; 0.027; 1.543; 0.037
NGC136 ;007.951264;+61.518258;19.043; 0.018; 0.994; 0.034; 0.647; 0.013; 1.244; 0.049
NGC136 ;007.889270;+61.542785;16.607; 0.013; 0.580; 0.038; 0.396; 0.016; 0.794; 0.006
NGC136 ;007.904719;+61.537300;18.745; 0.031; 1.273; 0.030; 0.784; 0.021; 1.463; 0.013
NGC136 ;007.962647;+61.515494;14.476; 0.005; 1.275; 0.036; 0.751; 0.008; 1.399; 0.005
NGC136 ;008.008763;+61.497911;16.446; 0.020; 1.417; 0.046; 0.862; 0.015; 1.628; 0.017
NGC136 ;007.878810;+61.548617;15.471; 0.004; 0.893; 0.011; 0.577; 0.006; 1.046; 0.006
NGC136 ;007.852341;+61.560503;15.478; 0.004; 0.641; 0.014; 0.446; 0.007; 0.835; 0.011
NGC136 ;007.939096;+61.525960;18.556; 0.011; 0.934; 0.024; 0.599; 0.012; 1.130; 0.030
NGC136 ;008.011901;+61.497770;19.751; 0.052; 0.929; 0.052;      ;      ; 1.430; 0.022
NGC136 ;007.844636;+61.563186;17.649; 0.007; 0.876; 0.021; 0.583; 0.008; 1.132; 0.024
NGC136 ;008.001750;+61.502642;19.242; 0.032; 1.246; 0.046; 0.807; 0.024; 1.527; 0.019
NGC136 ;007.940246;+61.527059;18.382; 0.018; 1.114; 0.044; 0.666; 0.032; 1.303; 0.009
NGC136 ;007.902954;+61.541569;18.663; 0.012; 1.063; 0.051; 0.663; 0.014; 1.293; 0.022
NGC136 ;007.964638;+61.517702;17.939; 0.014; 0.934; 0.045; 0.610; 0.009; 1.160; 0.020
NGC136 ;007.892602;+61.545982;17.343; 0.006; 0.896; 0.012; 0.585; 0.007; 1.101; 0.006
NGC136 ;007.897059;+61.544720;17.213; 0.005; 0.698; 0.034; 0.457; 0.006; 0.908; 0.005
NGC136 ;007.959063;+61.520933;18.009; 0.009; 0.796; 0.016; 0.528; 0.009; 1.018; 0.010
NGC136 ;007.863754;+61.557999;15.049; 0.008; 1.150; 0.029; 0.756; 0.008; 1.369; 0.005
NGC136 ;007.998134;+61.505912;18.761; 0.011; 1.140; 0.029; 0.711; 0.012; 1.320; 0.012
NGC136 ;007.987862;+61.510445;19.391; 0.016; 1.083; 0.057; 0.661; 0.016; 1.311; 0.027
NGC136 ;007.968617;+61.518080;14.248; 0.007; 0.666; 0.035; 0.426; 0.009; 0.801; 0.006
NGC136 ;007.895711;+61.546580;18.395; 0.009; 0.965; 0.042; 0.621; 0.011; 1.175; 0.028
NGC136 ;007.901657;+61.544778;17.337; 0.017; 0.692; 0.027; 0.479; 0.008; 0.941; 0.007
NGC136 ;007.864266;+61.560358;20.117; 0.043; 1.044; 0.076; 0.749; 0.030; 1.478; 0.049
NGC136 ;007.914788;+61.540754;19.154; 0.013; 0.970; 0.035; 0.656; 0.014; 1.260; 0.015
NGC136 ;007.880974;+61.554633;18.560; 0.034; 1.147; 0.028; 0.801; 0.049; 1.496; 0.037
NGC136 ;007.858701;+61.564169;18.760; 0.011; 1.065; 0.028; 0.703; 0.012; 1.323; 0.043
NGC136 ;007.883383;+61.554732;18.128; 0.015; 1.011; 0.019; 0.665; 0.011; 1.258; 0.015
NGC136 ;007.878457;+61.556783;15.861; 0.004; 0.965; 0.030; 0.616; 0.007; 1.115; 0.006
NGC136 ;007.880885;+61.555902;19.386; 0.016; 1.103; 0.048; 0.752; 0.016; 1.419; 0.023
NGC136 ;007.881466;+61.556912;18.381; 0.011; 0.854; 0.049; 0.637; 0.011; 1.201; 0.010
NGC136 ;007.959177;+61.525591;19.013; 0.028; 1.169; 0.035; 0.753; 0.014; 1.431; 0.038
NGC136 ;007.976874;+61.519585;16.872; 0.006; 0.812; 0.037; 0.529; 0.007; 1.018; 0.007
NGC136 ;007.888341;+61.555089;19.563; 0.018; 1.227; 0.056; 0.800; 0.018; 1.486; 0.019
NGC136 ;007.984160;+61.518163;19.295; 0.015; 1.130; 0.053; 0.667; 0.035; 1.308; 0.016
NGC136 ;007.995103;+61.514689;15.271; 0.013; 0.895; 0.036; 0.562; 0.013; 1.047; 0.005
NGC136 ;007.894967;+61.553667;18.554; 0.009; 0.867; 0.021; 0.596; 0.010; 1.142; 0.011
NGC136 ;008.001508;+61.512307;18.744; 0.024; 0.951; 0.041; 0.634; 0.016; 1.202; 0.012
NGC136 ;007.899664;+61.552285;19.411; 0.017; 0.969; 0.044; 0.638; 0.017; 1.215; 0.019
NGC136 ;007.852420;+61.571208;16.324; 0.004; 0.660; 0.035; 0.438; 0.006; 0.816; 0.014
NGC136 ;007.983262;+61.520412;17.352; 0.006; 0.682; 0.033; 0.453; 0.007; 0.910; 0.006
