#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:53:25 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:53:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/other/ASpR/58.1900/table3&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1057005801
#Name: J/other/ASpR/58.1900
#Title: NGC 225 CCD UBV photometry (Bilir+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/other/aspr/58.1900	    IVOID of underlying data collection
#INFO	creator=Bilir S.	    First author or institution
#INFO	cites=bibcode:2016AdSpR..58.1900B	    Article or Data origin sources
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/ASpR/58.1900	    Dataset landing page
#INFO	publication_date=2016-11-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_ASpR_58_1900_table3:
#Name: J/other/ASpR/58.1900/table3
#Title: Photometric and astrometric catalogue NGC 225
#Column	ID	(I4)	Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F5.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;pmRA;e_pmRA;pmDE;e_pmDE;Pmemb
 149;00 42 51.17;+61 39 22.88;18.042; 0.032; 1.180; 0.283; 1.782; 0.073; -3.2; 3.8; -1.6; 3.8; 92
 150;00 42 51.31;+61 47 08.07;17.245; 0.018; 0.448; 0.062; 1.368; 0.032; -4.4; 3.8; -0.9; 3.8; 98
 151;00 42 51.46;+61 45 49.19;17.223; 0.018; 2.143; 0.168; 1.273; 0.031;-10.8; 3.8; -5.2; 3.8; 36
 152;00 42 51.48;+61 42 17.97;17.399; 0.020; 1.027; 0.095; 1.300; 0.035; -2.4; 3.8; -1.8; 3.8; 87
 153;00 42 51.69;+61 37 51.14;16.334; 0.010; 0.403; 0.022; 0.800; 0.015;  0.6; 3.8;  0.4; 3.8; 65
 154;00 42 51.88;+61 52 40.43;18.497; 0.046;      ;      ; 1.760; 0.103;  4.8; 3.8; -0.6; 3.8; 25
 155;00 42 52.08;+61 43 08.77;17.125; 0.018;      ;      ; 2.707; 0.063; -1.7; 4.7; -3.4; 4.7; 80
 156;00 42 52.08;+61 54 29.02;18.152; 0.036; 0.608; 0.135; 1.266; 0.061;-39.2; 5.2; 64.7; 5.2;  0
 157;00 42 52.26;+61 49 44.37;18.719; 0.052; 0.732; 0.273; 1.494; 0.105; -7.4; 4.0;-19.6; 4.0;  0
 158;00 42 52.50;+61 53 14.02;18.728; 0.056;      ;      ; 1.340; 0.101;-10.8; 4.0; -1.8; 4.0; 56
 159;00 42 52.87;+61 55 31.39;14.040; 0.003; 1.761; 0.023; 2.145; 0.006; -8.1; 4.7;-10.0; 4.7; 31
 160;00 42 52.93;+61 44 02.55;18.135; 0.033; 0.860; 0.136; 1.144; 0.055; -3.6; 3.8; -0.9; 3.8; 96
 161;00 42 53.05;+61 43 09.53;17.772; 0.026; 0.824; 0.144; 1.603; 0.053;  7.5; 3.9; -4.8; 3.9;  8
 162;00 42 53.20;+61 53 17.22;19.085; 0.076;      ;      ; 1.386; 0.141;  1.7; 4.0; 12.9; 4.0;  6
 163;00 42 53.42;+61 44 36.01;13.817; 0.003; 0.878; 0.007; 0.937; 0.004;-28.5; 3.8; -6.5; 3.8;  0
 164;00 42 53.59;+61 52 40.71;18.502; 0.047;      ;      ; 1.630; 0.097; -9.0; 3.9;  0.6; 3.9; 76
 165;00 42 53.61;+61 38 48.49;18.180; 0.035; 0.751; 0.133; 1.115; 0.058;  1.0; 3.9; -1.5; 3.9; 60
 166;00 42 53.72;+61 52 49.67;17.062; 0.016; 0.444; 0.055; 1.374; 0.029; -4.2; 3.8; 10.4; 3.8; 20
 167;00 42 53.75;+61 39 18.84;18.562; 0.048;      ;      ; 1.342; 0.088; -1.6; 3.9; 52.2; 3.9;  0
 168;00 42 53.77;+61 45 42.70;12.789; 0.002; 1.461; 0.009; 2.109; 0.003; -6.7; 4.7; -7.0; 4.7; 57
 169;00 42 53.83;+61 45 23.33;18.681; 0.050;      ;      ; 1.639; 0.108; -2.2; 6.7;  0.3; 6.7; 97
 170;00 42 53.98;+61 50 47.81;18.240; 0.038;      ;      ; 2.414; 0.129; -2.3; 3.8; -1.0; 3.8; 90
 171;00 42 54.18;+61 41 36.86;17.520; 0.022; 1.477; 0.146; 1.310; 0.038; -2.0; 3.8;  2.3; 3.8; 84
 172;00 42 54.32;+61 51 29.42;17.157; 0.018; 0.877; 0.105; 1.844; 0.038; -3.0; 3.8; -1.0; 3.8; 94
 173;00 42 54.46;+61 48 11.58;15.023; 0.005; 0.226; 0.011; 0.997; 0.008; -4.3; 3.8; -2.0; 3.8; 93
 174;00 42 54.57;+61 54 47.12;18.728; 0.058; 0.581; 0.230; 1.299; 0.103;  4.7; 4.0; -2.4; 4.0; 27
 175;00 42 54.62;+61 46 49.21;18.480; 0.042; 0.501; 0.202; 1.591; 0.090; -6.8; 3.9; -0.4; 3.9; 93
 176;00 42 54.73;+61 52 21.19;17.688; 0.025; 1.209; 0.191; 1.696; 0.053; -2.8; 3.8; -0.2; 3.8; 94
 177;00 42 54.74;+61 43 15.50;14.084; 0.003; 0.203; 0.006; 0.875; 0.004; -7.8; 3.8;-10.4; 3.8; 15
 178;00 42 54.84;+61 42 19.88;18.495; 0.043; 0.900; 0.234; 1.408; 0.083; -2.2; 3.9;  5.6; 3.9; 60
 179;00 42 54.90;+61 39 59.98;18.188; 0.035; 1.063; 0.167; 1.124; 0.058; -1.6; 3.9; -5.8; 3.9; 51
 180;00 42 54.99;+61 40 45.51;17.070; 0.016; 0.538; 0.049; 1.122; 0.026;  1.2; 3.8; -0.3; 3.8; 58
 181;00 42 55.04;+61 46 21.72;18.433; 0.042; 0.302; 0.199; 1.764; 0.097; -8.1; 3.9; -1.6; 3.9; 81
 182;00 42 55.33;+61 47 04.42;18.684; 0.051;      ;      ; 1.641; 0.111;  1.1; 4.0; -2.9; 4.0; 55
 183;00 42 55.33;+61 55 06.64;16.423; 0.011; 0.740; 0.037; 1.250; 0.018;  5.7; 3.8; -3.9; 3.8; 15
 184;00 42 55.42;+61 46 48.71;18.655; 0.050;-0.448; 0.140; 1.577; 0.103;  9.8; 4.1; -2.3; 4.1;  6
 185;00 42 55.42;+61 47 15.67;18.415; 0.042;      ;      ; 2.490; 0.152; -4.0; 5.1;  1.1; 5.1; 99
 186;00 42 55.52;+61 48 13.48;18.205; 0.036;      ;      ; 2.362; 0.117;  9.4; 3.9;  0.1; 3.9;  5
 187;00 42 55.55;+61 47 46.17;17.308; 0.019; 0.884; 0.092; 1.510; 0.036; -5.9; 3.8;  1.2; 3.8; 96
 188;00 42 56.08;+61 38 14.98;17.388; 0.020; 0.528; 0.061; 1.091; 0.032; -6.8; 3.8;  0.2; 3.8; 93
 189;00 42 56.19;+61 42 52.20;19.021; 0.066; 0.569; 0.253; 1.223; 0.115;  0.4; 4.0; -4.0; 4.0; 55
 190;00 42 56.58;+61 55 42.58;17.359; 0.020; 0.774; 0.081; 1.312; 0.035;  5.1; 3.8;  0.5; 3.8; 23
 191;00 42 56.84;+61 50 09.39;18.553; 0.046;      ;      ; 1.309; 0.083;  5.8; 3.9; -4.8; 3.9; 14
 192;00 42 56.84;+61 42 03.78;17.739; 0.026;      ;      ; 2.033; 0.066; -6.7; 3.8; -7.0; 3.8; 42
 193;00 42 56.86;+61 56 13.77;16.881; 0.015; 1.464; 0.102; 1.498; 0.027; 13.7; 3.8; -3.5; 3.8;  0
 194;00 42 56.96;+61 54 56.89;17.622; 0.024; 1.189; 0.168; 1.579; 0.048; -5.0; 3.8; -1.4; 3.8; 96
 195;00 42 57.01;+61 51 54.99;16.451; 0.011; 0.920; 0.041; 1.245; 0.019; -3.0; 3.8;  2.7; 3.8; 87
 196;00 42 57.02;+61 41 54.27;16.398; 0.011; 0.666; 0.037; 1.323; 0.018; -8.5; 3.8;  4.2; 3.8; 63
 197;00 42 57.05;+61 49 51.75;18.441; 0.042;      ;      ; 1.816; 0.099; -0.7; 3.8; -0.2; 3.8; 78
 198;00 42 57.06;+61 54 07.46;17.283; 0.019; 1.403; 0.188; 1.906; 0.044; -2.4; 3.8; -0.3; 3.8; 92
 199;00 42 57.60;+61 46 43.27;18.676; 0.049; 1.057; 0.285; 1.347; 0.091;-13.2; 5.2;-27.3; 5.2;  0
 200;00 42 57.97;+61 40 57.60;17.809; 0.027; 0.470; 0.086; 1.176; 0.045;  1.1; 3.9;  0.9; 3.9; 61
 201;00 42 58.17;+61 50 54.55;19.678; 0.114;      ;      ; 0.782; 0.164;  3.0; 5.2;  1.3; 5.2; 61
 202;00 42 58.28;+61 41 22.80;18.083; 0.033; 1.430; 0.284; 1.565; 0.067;  0.7; 3.9;  2.3; 3.9; 61
 203;00 42 58.48;+61 46 45.90;16.916; 0.015;      ;      ; 1.923; 0.033;  6.1; 3.8; -9.9; 3.8;  3
 204;00 42 58.69;+61 55 28.71;17.376; 0.021; 1.118; 0.118; 1.492; 0.038;  3.4; 3.8;  1.6; 3.8; 35
 205;00 42 58.72;+61 49 08.60;17.250; 0.018; 0.772; 0.069; 1.279; 0.031; -3.6; 3.8; -2.4; 3.8; 88
 206;00 42 58.75;+61 50 34.85;16.429; 0.011; 0.224; 0.024; 0.969; 0.017; -3.9; 3.8; -0.5; 3.8; 98
 207;00 42 58.79;+61 52 49.41;16.428; 0.011; 1.180; 0.066; 1.686; 0.022;  6.4; 3.8; -1.0; 3.8; 15
 208;00 42 58.84;+61 44 58.89;19.119; 0.071;      ;      ; 1.535; 0.146;  6.1; 4.0;-14.0; 4.0;  1
 209;00 42 58.84;+61 53 30.36;18.968; 0.067;      ;      ; 0.817; 0.097; -1.2; 4.5;  4.4; 4.5; 72
 210;00 42 58.85;+61 40 27.29;17.389; 0.020; 0.778; 0.079; 1.265; 0.034; -1.6; 5.1;  6.2; 5.1; 68
 211;00 42 59.03;+61 45 16.31;16.997; 0.016; 0.910; 0.201; 2.764; 0.057; -1.4; 6.1; -2.9; 6.1; 88
 212;00 42 59.06;+61 44 45.24;18.813; 0.056;      ;      ; 1.598; 0.120; 13.9; 3.9; -5.1; 3.9;  0
 213;00 42 59.12;+61 42 36.34;17.947; 0.029; 0.861; 0.120; 1.199; 0.049;  2.4; 3.9;  0.6; 3.9; 48
 214;00 42 59.13;+61 53 47.64;15.118; 0.005; 0.464; 0.012; 0.942; 0.008; -5.1; 3.8;  4.9; 3.8; 71
 215;00 42 59.31;+61 55 01.89;15.854; 0.008;-0.018; 0.014; 0.821; 0.011; -0.4; 3.8;  1.6; 3.8; 73
 216;00 42 59.75;+61 39 36.42;18.124; 0.034; 0.470; 0.111; 1.189; 0.057; -9.4; 3.9; -4.0; 3.9; 56
 217;00 42 59.97;+61 53 07.16;18.743; 0.056; 0.107; 0.216; 1.582; 0.118; -5.4; 7.4;  2.1; 7.4; 30
 218;00 43 00.23;+61 48 05.31;18.017; 0.031; 0.553; 0.090; 1.029; 0.048; -2.2; 4.0; -0.1; 4.0; 92
 219;00 43 00.36;+61 48 43.52;18.886; 0.060;-0.367; 0.210; 1.801; 0.146; -2.7; 3.9; -3.4; 3.9; 78
 220;00 43 00.75;+61 42 22.60;17.700; 0.025;      ;      ; 2.204; 0.070;  3.2; 5.1; -8.0; 5.1; 33
 221;00 43 00.77;+61 53 44.62;18.902; 0.065;      ;      ; 1.574; 0.134;  1.6; 4.0; -6.5; 4.0; 31
 222;00 43 00.93;+61 53 12.55;12.239; 0.001; 0.528; 0.003; 1.256; 0.002; -6.1; 2.8; -2.8; 2.8; 73
 223;00 43 00.96;+61 50 17.24;18.729; 0.053; 0.918; 0.356; 1.647; 0.116;-10.9; 3.9; -3.2; 3.9; 48
 224;00 43 01.09;+61 40 32.65;19.192; 0.077;      ;      ; 1.213; 0.135;  1.0; 4.5;  0.0; 4.5; 70
 225;00 43 01.26;+61 46 54.77;18.395; 0.040; 0.783; 0.151; 1.142; 0.066; -3.1; 4.0; -0.6; 4.0; 96
 226;00 43 01.70;+61 47 23.80;16.194; 0.010; 0.353; 0.022; 0.949; 0.014; -3.4; 3.8; -2.2; 3.8; 89
 227;00 43 01.91;+61 41 13.79;19.079; 0.072;      ;      ; 1.867; 0.183;  2.0; 3.9; -1.8; 3.9; 49
 228;00 43 01.95;+61 49 37.65;18.739; 0.052;      ;      ; 1.402; 0.099; -6.4; 4.0;  0.7; 4.0; 96
 229;00 43 02.24;+61 43 11.67;18.282; 0.037; 1.050; 0.174; 1.163; 0.062;  0.8; 3.9; -4.4; 3.9; 47
 230;00 43 02.50;+61 38 50.06;16.763; 0.014; 1.381; 0.139; 2.089; 0.033; -1.2; 3.8; -2.6; 3.8; 73
 231;00 43 02.57;+61 55 14.69;18.980; 0.070; 0.261; 0.257; 1.419; 0.133; -1.8; 4.5; -1.0; 4.5; 90
 232;00 43 02.70;+61 41 26.54;18.223; 0.036;      ;      ; 1.476; 0.069;  2.6; 3.9; -1.1; 3.9; 45
 233;00 43 02.71;+61 53 16.22;18.724; 0.055; 0.857; 0.314; 1.492; 0.108; 13.4; 4.0;  5.4; 4.0;  1
 234;00 43 02.75;+61 40 39.99;16.863; 0.015; 1.112; 0.107; 1.929; 0.033;  0.3; 3.8;  1.4; 3.8; 67
 235;00 43 02.76;+61 40 30.99;16.758; 0.014; 0.623; 0.052; 1.473; 0.024;  1.8; 3.8; -2.0; 3.8; 48
 236;00 43 02.96;+61 52 08.73;18.681; 0.054;      ;      ; 2.078; 0.146; 13.8; 5.1; -1.1; 5.1;  5
 237;00 43 02.98;+61 49 23.27;17.878; 0.028; 0.494; 0.091; 1.240; 0.047;-10.0; 5.2;-15.5; 5.2; 10
 238;00 43 03.23;+61 56 20.77;13.769; 0.003; 0.562; 0.006; 0.978; 0.004;  1.2; 3.8; -2.2; 3.8; 54
 239;00 43 03.49;+61 49 29.00;15.290; 0.006; 1.273; 0.022; 1.226; 0.009; 23.8; 5.2; 24.4; 5.2;  0
 240;00 43 03.82;+61 56 59.96;18.727; 0.061;      ;      ; 1.406; 0.112; -2.5; 3.9;  3.4; 3.9; 80
 241;00 43 03.86;+61 45 32.51;18.345; 0.038; 0.844; 0.188; 1.421; 0.072; -4.3; 3.8; -0.2; 3.8;100
 242;00 43 03.98;+61 48 00.37;18.521; 0.043; 1.075; 0.236; 1.288; 0.076; -1.2; 3.9; -7.7; 3.9; 34
 243;00 43 04.16;+61 52 13.40;16.674; 0.013; 0.231; 0.029; 0.974; 0.019; -1.5; 3.8;  0.8; 3.8; 85
 244;00 43 04.17;+61 48 14.89;19.289; 0.079;      ;      ; 1.041; 0.127; -0.6; 4.2; -0.8; 4.2; 80
 245;00 43 04.40;+61 50 13.63;18.019; 0.031; 0.512; 0.115; 1.411; 0.056; -3.9; 3.8; -1.9; 3.8; 93
 246;00 43 04.59;+61 46 34.99;17.795; 0.026; 0.574; 0.077; 1.072; 0.041; -3.6; 3.9; -1.8; 3.9; 93
 247;00 43 04.60;+61 48 54.26;16.759; 0.014; 0.441; 0.039; 1.254; 0.023; -2.6; 3.8;  0.5; 3.8; 93
 248;00 43 04.86;+61 42 26.94;14.383; 0.004; 0.875; 0.010; 0.972; 0.005; -7.0; 3.8; -2.9; 3.8; 80
 249;00 43 04.94;+61 46 51.15;18.238; 0.035; 1.128; 0.207; 1.394; 0.065; -1.0; 3.9;  0.0; 3.9; 82
 250;00 43 05.19;+61 39 38.38;18.541; 0.047;      ;      ; 2.012; 0.126; -1.2; 3.8;  0.7; 3.8; 83
 251;00 43 05.56;+61 53 43.83;13.484; 0.002; 0.085; 0.004; 0.713; 0.003; -5.7; 2.8; -1.4; 2.8; 90
 252;00 43 05.73;+61 39 49.68;18.063; 0.032; 1.133; 0.208; 1.494; 0.062; -2.2; 3.9; -0.5; 3.9; 91
 253;00 43 05.90;+61 41 52.56;18.026; 0.031; 1.263; 0.191; 1.369; 0.057;  0.7; 3.8; -4.9; 3.8; 43
 254;00 43 06.13;+61 39 02.10;18.463; 0.045; 0.066; 0.193; 1.781; 0.105;-14.3; 3.9; -2.0; 3.9; 24
 255;00 43 06.40;+61 46 02.03;17.557; 0.022; 0.823; 0.069; 0.963; 0.034;  0.7; 3.9;  2.1; 3.9; 62
 256;00 43 06.73;+61 51 27.63;18.945; 0.063; 0.591; 0.215; 1.100; 0.103;  3.8; 4.0; -3.1; 4.0; 32
 257;00 43 06.77;+61 55 29.40;17.554; 0.023; 1.210; 0.163; 1.642; 0.047;  5.8; 3.8; -4.8; 3.8; 12
 258;00 43 06.86;+61 47 11.58;17.398; 0.020; 0.678; 0.079; 1.417; 0.036; -6.0; 3.8; -2.1; 3.8; 90
 259;00 43 07.14;+61 42 08.47;18.097; 0.033; 0.723; 0.150; 1.443; 0.061; -3.8; 3.9;  3.8; 3.9; 82
 260;00 43 07.14;+61 56 33.56;18.427; 0.046; 1.619; 0.423; 1.262; 0.079; -1.8; 4.0;  5.8; 4.0; 58
 261;00 43 07.21;+61 36 38.87;17.973; 0.031; 0.931; 0.228; 1.797; 0.071;  5.8; 3.8;  1.8; 3.8; 18
 262;00 43 07.29;+61 46 27.50;13.600; 0.002;-0.003; 0.004; 0.877; 0.004; -3.4; 3.8;  1.4; 3.8; 95
 263;00 43 07.35;+61 43 22.82;19.168; 0.073;      ;      ; 1.712; 0.169; -2.0; 4.2;  0.4; 4.2; 91
 264;00 43 07.58;+61 44 50.68;17.069; 0.016; 0.865; 0.075; 1.536; 0.031; -1.5; 3.8; -2.6; 3.8; 76
 265;00 43 07.72;+61 37 59.68;18.298; 0.039; 0.597; 0.176; 1.462; 0.075; -0.9; 3.8; -1.7; 3.8; 76
 266;00 43 08.07;+61 48 28.89;19.219; 0.076;      ;      ; 1.851; 0.192;  6.6; 5.2;-11.5; 5.2; 11
 267;00 43 08.08;+61 43 57.04;18.683; 0.050;      ;      ; 1.636; 0.108;  7.6; 3.9;  3.3; 3.9; 10
 268;00 43 08.62;+61 47 34.25;17.978; 0.030; 0.682; 0.129; 1.401; 0.055; -6.1; 3.8;  1.6; 3.8; 94
 269;00 43 09.06;+61 48 57.60;19.064; 0.068; 0.834; 0.358; 1.378; 0.127; -0.8; 5.2; -0.5; 5.2; 88
 270;00 43 09.34;+61 48 24.14;14.168; 0.003; 0.148; 0.007; 0.938; 0.005; -4.3; 3.8;  3.5; 3.8; 84
 271;00 43 09.56;+61 41 04.15;15.316; 0.006; 0.484; 0.015; 1.147; 0.009; -2.6; 3.8; -1.6; 3.8; 89
 272;00 43 09.75;+61 45 13.31;18.156; 0.033; 1.412; 0.255; 1.502; 0.064; 17.5; 3.8;-17.3; 3.8;  0
 273;00 43 09.80;+61 48 09.64;18.843; 0.056;      ;      ; 1.483; 0.110; -6.7; 5.1; -1.3; 5.1; 95
 274;00 43 09.84;+61 52 11.45;17.203; 0.018; 0.698; 0.067; 1.352; 0.031;  4.8; 3.8; -1.7; 3.8; 24
 275;00 43 09.95;+61 55 36.39;18.486; 0.047;      ;      ; 1.514; 0.091;-19.0; 3.9;  5.2; 3.9;  3
 276;00 43 09.99;+61 41 22.45;19.417; 0.090;      ;      ; 1.048; 0.146;  1.2; 4.0;  0.4; 4.0; 62
 277;00 43 10.05;+61 54 55.63;18.820; 0.062;      ;      ; 1.978; 0.161;-14.7; 3.8;  5.3; 3.8; 14
 278;00 43 10.09;+61 39 24.50;15.616; 0.007; 1.423; 0.049; 1.914; 0.014; -0.1; 3.8;  1.4; 3.8; 71
 279;00 43 10.20;+61 42 33.87;17.709; 0.025; 0.618; 0.097; 1.408; 0.045; -7.9; 3.8; -1.6; 3.8; 81
 280;00 43 10.40;+61 55 24.79;14.636; 0.004; 0.452; 0.009; 1.013; 0.006; 26.5; 5.1;  4.1; 5.1;  0
 281;00 43 10.49;+61 54 51.41;17.368; 0.020; 0.633; 0.084; 1.477; 0.038;  1.9; 3.8;-11.7; 3.9;  6
 282;00 43 10.78;+61 45 11.02;18.693; 0.053;      ;      ; 2.867; 0.249; -3.1; 5.1; -2.6; 5.1; 91
 283;00 43 10.83;+61 51 14.16;18.510; 0.045;      ;      ; 1.621; 0.095; -1.5; 3.7;-21.2; 3.9;  0
 284;00 43 10.88;+61 47 19.05;10.130; 0.002; 0.210; 0.001; 0.570; 0.002; -2.7; 2.0; -1.8; 2.0; 64
 285;00 43 11.04;+61 45 58.16;17.890; 0.028; 0.587; 0.095; 1.247; 0.048; -3.7; 5.3;  1.8; 5.3; 97
 286;00 43 11.28;+61 50 39.40;17.276; 0.019; 1.128; 0.141; 1.908; 0.042; -8.4; 3.8;  3.5; 3.8; 69
 287;00 43 11.32;+61 56 57.09;17.733; 0.026; 0.734; 0.107; 1.299; 0.045; -4.3; 3.8;  1.0; 3.8; 99
 288;00 43 11.65;+61 48 35.56;19.088; 0.070;      ;      ; 2.201; 0.227;  0.1; 5.1; -0.1; 5.1; 82
 289;00 43 11.90;+61 38 10.95;18.871; 0.062; 0.475; 0.395; 1.694; 0.139; -5.8; 3.8;-10.7; 3.8; 16
 290;00 43 11.93;+61 45 11.79;18.211; 0.035; 1.626; 0.303; 1.452; 0.066; 24.1; 3.9; 20.2; 3.8;  0
 291;00 43 12.17;+61 52 48.14;18.741; 0.054;      ;      ; 1.745; 0.125; -9.2; 4.0; -2.8; 4.0; 67
 292;00 43 12.23;+61 39 31.10;16.456; 0.011; 0.356; 0.028; 1.059; 0.018; -5.7; 3.8;  7.4; 3.8; 44
 293;00 43 12.37;+61 43 30.56;19.140; 0.071;      ;      ; 1.559; 0.146; -8.8; 3.8;  0.3; 3.8; 77
 294;00 43 12.39;+61 45 14.18;17.709; 0.025; 0.668; 0.087; 1.236; 0.042; 24.1; 3.9; 20.2; 3.8;  0
 295;00 43 12.40;+61 50 56.02;17.186; 0.018; 0.552; 0.048; 0.999; 0.027; -7.6; 5.2;-29.5; 5.2;  0
 296;00 43 12.48;+61 51 00.50;17.036; 0.016; 0.675; 0.055; 1.288; 0.027; -0.7; 3.8; 33.6; 3.9;  0
 297;00 43 13.33;+61 47 37.19;18.673; 0.050;      ;      ; 1.782; 0.116; -1.6; 4.0; -0.3; 4.0; 87
 298;00 43 13.37;+61 39 16.81;18.188; 0.036; 1.181; 0.245; 1.531; 0.070; -1.7; 3.8; -4.6; 3.8; 61
 299;00 43 13.44;+61 54 56.25;16.503; 0.012; 1.342; 0.105; 2.067; 0.027;-16.5; 3.8; -4.6; 3.8;  8
 300;00 43 13.78;+61 41 35.92;14.218; 0.003; 0.320; 0.007; 0.781; 0.005;-13.0; 3.8;-14.7; 3.8;  1
 301;00 43 13.94;+61 45 16.11;16.489; 0.012; 0.773; 0.040; 1.347; 0.020;  3.0; 3.8; -1.1; 3.8; 39
 302;00 43 13.95;+61 37 39.31;16.608; 0.012; 0.880; 0.058; 1.585; 0.023;  2.0; 3.8;  4.7; 3.8; 37
 303;00 43 13.99;+61 41 58.52;18.764; 0.057;      ;      ; 2.929; 0.294; -3.2; 3.9;  4.9; 3.9; 70
 304;00 43 14.28;+61 45 25.95;18.114; 0.033; 0.676; 0.119; 1.215; 0.056; -7.8; 3.9;  5.1; 3.9; 61
 305;00 43 14.32;+61 38 42.08;18.463; 0.044;      ;      ; 1.592; 0.092;  1.8; 3.8; -1.0; 3.8; 51
 306;00 43 14.38;+61 46 48.35;18.129; 0.033; 0.401; 0.136; 1.628; 0.068; -2.8; 3.9;  0.7; 3.9; 95
 307;00 43 14.40;+61 36 42.33;16.782; 0.014; 0.408; 0.037; 1.118; 0.022; -3.4; 3.8; -3.3; 3.8; 81
 308;00 43 16.03;+61 52 42.53;19.407; 0.094; 0.969; 0.403; 0.944; 0.140; -1.9; 5.2; -5.0; 5.2; 75
 309;00 43 16.28;+61 41 38.15;15.860; 0.008; 1.477; 0.060; 1.959; 0.017; -2.4; 3.8;  4.1; 3.8; 73
 310;00 43 16.39;+61 43 03.06;17.559; 0.022; 1.482; 0.145; 1.365; 0.040;  0.7; 3.8; -3.8; 3.8; 50
 311;00 43 16.54;+61 48 04.03;18.587; 0.045; 0.220; 0.157; 1.431; 0.087;  0.0; 5.3;  6.5; 5.3; 61
 312;00 43 16.67;+61 40 10.92;17.669; 0.025; 0.285; 0.091; 1.588; 0.049;  1.6; 3.8; -1.6; 3.8; 52
 313;00 43 16.69;+61 49 09.40;18.367; 0.039;      ;      ; 1.369; 0.071; -2.9; 3.8; -2.8; 3.8; 83
 314;00 43 16.78;+61 39 47.37;17.621; 0.024; 0.580; 0.112; 1.674; 0.049; -1.9; 3.8; -0.8; 3.8; 87
 315;00 43 16.79;+61 50 15.24;16.639; 0.013; 0.742; 0.044; 1.330; 0.022; -3.3; 3.8;  0.9; 3.8; 96
 316;00 43 16.87;+61 42 44.65;19.458; 0.093;      ;      ; 1.540; 0.194; -1.0; 4.0; -0.3; 4.0; 82
 317;00 43 16.91;+61 41 55.28;17.902; 0.028; 0.564; 0.099; 1.288; 0.049; -1.2; 3.9; -4.0; 3.9; 65
 318;00 43 16.98;+61 43 51.65;18.291; 0.037; 0.855; 0.195; 1.525; 0.072; -3.5; 3.9; -0.5; 3.9; 97
 319;00 43 17.17;+61 44 28.89;14.667; 0.004; 0.024; 0.007; 0.747; 0.006; -7.3; 3.8; -2.4; 3.8; 81
 320;00 43 17.65;+61 38 22.32;18.005; 0.032; 0.577; 0.139; 1.486; 0.061; -7.8; 3.8;  4.7; 3.8; 63
 321;00 43 18.01;+61 53 34.48;18.083; 0.034;      ;      ; 2.420; 0.112; -4.0; 5.1; -1.4; 5.1; 97
 322;00 43 18.02;+61 38 15.79;18.199; 0.036; 0.607; 0.159; 1.385; 0.068;-42.6; 5.3;-13.6; 5.3;  0
