#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:22:37 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:22:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/401/531/table8&-order=I&-out=Seq&-out=NL&-out=RA2000&-out=DE2000&-out=Np&-out=pmX&-out=e_pmX&-out=pmY&-out=e_pmY&-out=Vmag&-out=B-V&-out=Prob&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34010531
#Name: J/A+A/401/531
#Title: Proper motions in NGC 7243 (Jilinski+, 2003)
#INFO	ivoid=ivo://cds.vizier/j/a+a/401/531	    IVOID of underlying data collection
#INFO	creator=Jilinski E.G.	    First author or institution
#INFO	cites=bibcode:2003A&A...401..531J	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/401/531	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34010531	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-09-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_1949.830:	eq_FK5 J2000
#Table	J_A_A_401_531_table8:
#Name: J/A+A/401/531/table8
#Title: Star positions, proper motions, BV photometry, and membership probabilities
#Column	Seq	(I4)	[1/2623] Sequence number of the star	[ucd=meta.id]
#Column	NL	(I3)	[]? Identification from Lengauer (1)	[ucd=meta.id]
#Column	RA2000	(A11)	Right Ascension Eq=2000.0, Ep=1949.83 (3)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A11)	Declination	[ucd=pos.eq.dec;meta.main]
#Column	Np	(I2)	? Number of astrometric plate pairs used	[ucd=meta.id;instr.plate]
#Column	pmX	(F5.1)	? Relative proper motions in X	[ucd=pos.pm;pos.cartesian.x]
#Column	e_pmX	(F4.1)	? Standard error in pmX	[ucd=stat.error]
#Column	pmY	(F5.1)	? Relative proper motions in Y	[ucd=pos.pm;pos.cartesian.y]
#Column	e_pmY	(F4.1)	? Standard error in pmY	[ucd=stat.error]
#Column	Vmag	(F6.3)	? V magnitude of a star	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? (B-V) colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Prob	(I2)	? Membership probability	[ucd=stat]
#Column	_RA.icrs	(A11)	Right ascension (ICRS) at Epoch=J1949.83 (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A11)	Declination (ICRS) at Epoch=J1949.83 (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Seq;NL;RA2000;DE2000;Np;pmX;e_pmX;pmY;e_pmY;Vmag;B-V;Prob;_RA.icrs;_DE.icrs
 470;   ;22 12 33.13;+49 36 57.6;10; -2.0; 0.8; -4.7; 0.6;13.330; 0.820; 0;22 12 33.21;+49 36 57.6
 471;573;22 12 35.75;+49 34 52.2; 9; 54.5; 1.2;-76.5; 0.9;12.980; 0.870; 0;22 12 35.83;+49 34 52.2
 472;   ;22 12 42.47;+49 35 51.7;10; -2.3; 1.0; -0.5; 0.5;14.060; 0.460; 0;22 12 42.55;+49 35 51.7
 473;   ;22 12 39.62;+49 37 52.6;10; -0.2; 1.1;  1.5; 0.8;13.980; 0.780;50;22 12 39.70;+49 37 52.6
 474;   ;22 12 44.14;+49 39 20.6;10;  0.9; 1.2; -0.8; 1.3;13.600; 0.660;92;22 12 44.22;+49 39 20.6
 475;578;22 12 58.38;+49 39 14.2;  ;     ;    ;     ;    ;11.600; 1.440;  ;22 12 58.46;+49 39 14.2
 476;577;22 12 57.88;+49 38 59.0;10;-10.7; 0.6;  7.0; 0.7;10.130; 1.270; 0;22 12 57.96;+49 38 59.0
 477;   ;22 13 00.60;+49 36 33.5; 8; -1.3; 0.9; -0.5; 0.7;13.520; 1.230; 9;22 13 00.68;+49 36 33.5
 478;   ;22 12 53.99;+49 35 20.1;10; -1.4; 1.1; -1.9; 1.0;13.990; 0.640; 2;22 12 54.07;+49 35 20.1
 479;   ;22 12 59.46;+49 34 58.8; 9; -0.7; 1.2;  0.3; 0.7;14.220; 0.710;43;22 12 59.54;+49 34 58.8
 480;   ;22 13 13.64;+49 34 43.0;10; -1.5; 1.6; -0.2; 1.1;13.910; 0.850; 5;22 13 13.72;+49 34 43.0
 481;584;22 13 15.11;+49 35 07.7;10; -0.7; 0.8;  1.8; 0.8;11.610; 0.310;17;22 13 15.19;+49 35 07.7
 482;   ;22 13 15.29;+49 35 46.5;  ;     ;    ;     ;    ;13.880; 0.760;  ;22 13 15.37;+49 35 46.5
 483;583;22 13 14.15;+49 35 50.1;10;  2.1; 1.3;  0.2; 0.9;12.780; 0.580;98;22 13 14.23;+49 35 50.1
 484;   ;22 13 03.65;+49 37 59.5;10; -1.8; 1.7;  0.4; 0.5;14.050; 0.610; 2;22 13 03.73;+49 37 59.5
 485;   ;22 13 10.64;+49 37 53.2;10;  1.1; 0.8;  3.1; 0.6;14.100; 0.640;38;22 13 10.72;+49 37 53.2
 486;579;22 13 05.16;+49 39 31.4;10; 17.7; 0.6;  9.9; 0.3;12.710; 0.810; 0;22 13 05.24;+49 39 31.4
 487;586;22 13 22.92;+49 39 41.2;10; -1.4; 1.2;  0.5; 0.6; 9.510; 0.340; 7;22 13 23.00;+49 39 41.2
 488;585;22 13 19.39;+49 38 19.6;10; -3.9; 0.7; -2.1; 1.0;12.220; 1.260; 0;22 13 19.47;+49 38 19.6
 489;588;22 13 27.81;+49 37 54.6;10;  3.3; 0.9;  4.3; 0.9;13.320; 0.820; 3;22 13 27.89;+49 37 54.6
 490;590;22 13 36.87;+49 38 16.3;10;  3.5; 0.8;  1.0; 0.8;12.390; 0.440;96;22 13 36.95;+49 38 16.3
 491;   ;22 13 38.57;+49 38 20.7;  ;     ;    ;     ;    ;14.260; 0.700;  ;22 13 38.65;+49 38 20.7
 492;   ;22 13 43.51;+49 38 34.4; 9; -3.1; 1.5; -2.9; 1.2;13.280; 1.580; 0;22 13 43.59;+49 38 34.4
 493;592;22 13 47.70;+49 39 11.6;10; -1.0; 0.5; -2.7; 0.7;12.970; 0.770; 1;22 13 47.78;+49 39 11.6
 494;   ;22 13 49.20;+49 39 24.8;  ;     ;    ;     ;    ;13.920; 0.880;  ;22 13 49.28;+49 39 24.8
 495;   ;22 13 49.95;+49 38 28.1; 9;  2.7; 0.9;  0.8; 1.0;11.930; 1.820;98;22 13 50.03;+49 38 28.1
 496;594;22 13 56.75;+49 37 42.1;10; -1.1; 0.8; -2.3; 0.6;12.420; 0.760; 2;22 13 56.83;+49 37 42.1
 497;   ;22 14 10.07;+49 38 41.7;10;  1.8; 1.4;  7.4; 0.8;13.690; 0.830; 0;22 14 10.15;+49 38 41.7
 498;   ;22 14 17.61;+49 38 25.9;10; -4.7; 0.8; -0.4; 0.5;11.840; 1.980; 0;22 14 17.69;+49 38 25.9
 499;   ;22 14 17.49;+49 39 37.2;10;  4.4; 1.1;  4.0; 0.8;14.350; 0.630; 2;22 14 17.57;+49 39 37.2
 500;598;22 14 24.85;+49 35 29.3;10;  1.2; 1.1;  4.1; 0.7;11.790; 0.280; 4;22 14 24.93;+49 35 29.3
 501;   ;22 14 29.84;+49 35 17.3;10;  2.7; 0.8; -2.8; 1.3;13.900; 0.730;65;22 14 29.92;+49 35 17.3
 502;601;22 14 29.97;+49 35 47.6;10;  3.6; 0.6; -3.7; 1.0;12.480; 1.100; 8;22 14 30.05;+49 35 47.6
 503;   ;22 14 32.05;+49 37 07.6; 9;  2.2; 1.0;  2.7; 1.0;13.620; 0.700;76;22 14 32.13;+49 37 07.6
 504;602;22 14 34.05;+49 39 45.4;10; -6.2; 0.7; -3.4; 0.9;11.110; 0.580; 0;22 14 34.13;+49 39 45.4
 505;   ;22 14 43.00;+49 39 49.9;  ;     ;    ;     ;    ;14.010; 0.590;  ;22 14 43.08;+49 39 49.9
 506;   ;22 14 44.46;+49 39 37.6; 8;  1.0; 0.6; -0.5; 0.4;13.280; 0.610;94;22 14 44.54;+49 39 37.6
 507;606;22 14 43.59;+49 36 13.2;10;  8.5; 0.6;  6.4; 0.8;11.140; 0.570; 0;22 14 43.67;+49 36 13.2
 508;   ;22 14 45.35;+49 36 52.9;10; -1.0; 1.3;  3.3; 1.4;12.470; 1.430; 0;22 14 45.43;+49 36 52.9
 509;607;22 14 46.40;+49 37 47.5; 9; -2.1; 1.3;  1.4; 0.7;12.200; 0.320; 1;22 14 46.48;+49 37 47.5
 510;609;22 14 47.25;+49 35 18.8;10;  3.6; 0.6;  2.7; 1.0;12.580; 0.250;66;22 14 47.33;+49 35 18.8
 511;611;22 14 51.60;+49 34 47.2;10;  2.4; 0.5;  2.1; 0.8;11.940; 0.750;90;22 14 51.68;+49 34 47.2
 512;   ;22 14 49.28;+49 35 48.9;10;  1.1; 1.0;  2.0; 1.3;13.210; 1.300;84;22 14 49.36;+49 35 48.9
 513;   ;22 14 50.58;+49 36 35.0;10;-12.3; 0.9; -6.5; 0.8;13.850; 0.710; 0;22 14 50.66;+49 36 35.0
 514;   ;22 14 52.96;+49 38 08.7; 8;  1.1; 1.1;  3.6; 0.5;14.100; 0.840;12;22 14 53.04;+49 38 08.7
 515;   ;22 14 53.30;+49 38 25.6;10;  1.8; 0.7;  1.8; 0.4;13.580; 0.640;92;22 14 53.38;+49 38 25.6
 516;   ;22 14 50.37;+49 39 13.1; 9; -8.2; 0.8; -0.4; 1.4;14.330; 0.600; 0;22 14 50.45;+49 39 13.1
 517;   ;22 14 55.30;+49 39 41.7;10; -4.4; 1.0;  0.9; 1.1;14.120; 0.780; 0;22 14 55.38;+49 39 41.7
 518;613;22 15 00.10;+49 39 24.5;  ;     ;    ;     ;    ;12.280; 0.480;  ;22 15 00.18;+49 39 24.5
 519;614;22 15 00.97;+49 39 30.1;10;  4.9; 0.7;  1.3; 1.2;11.420; 0.400;73;22 15 01.05;+49 39 30.1
 520;615;22 15 02.26;+49 39 33.5;  ;     ;    ;     ;    ;13.180; 0.700;  ;22 15 02.34;+49 39 33.5
 521;   ;22 15 02.28;+49 37 42.5; 7; -3.2; 1.6;  0.0; 0.7;12.830; 1.680; 0;22 15 02.36;+49 37 42.5
 522;   ;22 15 02.91;+49 35 42.9;10;  0.2; 1.2;  2.5; 1.1;13.510; 0.730;32;22 15 02.99;+49 35 42.9
 523;   ;22 15 08.14;+49 36 24.5; 9;  9.5; 0.6;  4.1; 0.7;14.110; 0.730; 0;22 15 08.22;+49 36 24.5
 524;616;22 15 15.41;+49 36 10.3;10; 16.9; 1.4; 12.8; 1.0;11.050; 0.460; 0;22 15 15.49;+49 36 10.3
 525;619;22 15 18.68;+49 35 39.4;10;  1.2; 1.2;  0.9; 0.6;12.050; 1.040;95;22 15 18.76;+49 35 39.4
 526;   ;22 15 23.09;+49 36 58.2;10;  4.5; 1.4;  3.7; 1.3;13.440; 0.550; 5;22 15 23.17;+49 36 58.2
 527;618;22 15 18.32;+49 38 29.8;10;-16.1; 1.7;-47.4; 1.1;11.910; 0.730; 0;22 15 18.40;+49 38 29.8
 528;617;22 15 16.32;+49 39 37.8;10;  0.5; 0.9;  0.7; 0.4;11.690; 0.290;89;22 15 16.40;+49 39 37.8
 529;   ;22 15 27.66;+49 37 43.9; 9; -3.8; 1.9;  0.0; 1.2;14.320; 0.470; 0;22 15 27.74;+49 37 43.9
 530;   ;22 15 38.35;+49 35 41.0;10; -1.4; 1.0; -1.7; 0.5;13.420; 0.720; 2;22 15 38.43;+49 35 41.0
 531;   ;22 15 38.37;+49 36 21.6; 9; -1.3; 1.5;  0.2; 1.3;13.090; 1.270;10;22 15 38.45;+49 36 21.6
 532;   ;22 15 40.86;+49 36 13.5;10; -3.7; 0.5;  3.0; 0.7;13.900; 0.710; 0;22 15 40.94;+49 36 13.5
 533;   ;22 15 45.57;+49 36 03.5; 8;  2.3; 2.0; -1.5; 1.0;14.290; 0.630;95;22 15 45.65;+49 36 03.5
 534;623;22 15 47.53;+49 34 49.3;10;  6.3; 0.6; -0.2; 0.8;11.690; 0.610;14;22 15 47.61;+49 34 49.3
 535;   ;22 15 50.99;+49 36 17.0; 9;  2.0; 1.0;  1.5; 0.7;13.900; 0.570;95;22 15 51.07;+49 36 17.0
 536;   ;22 15 50.04;+49 37 37.9;10; 14.5; 0.9;-24.6; 0.9;13.130; 1.080; 0;22 15 50.12;+49 37 37.9
 537;   ;22 16 08.74;+49 36 20.5;10; -4.6; 0.9;  0.2; 1.0;13.730; 0.760; 0;22 16 08.82;+49 36 20.5
 538;628;22 16 07.62;+49 37 16.2;10;  0.4; 0.9;  2.5; 0.6;11.780; 0.140;45;22 16 07.70;+49 37 16.2
 539;   ;22 15 58.75;+49 38 25.2;10;  3.3; 1.0;  2.2; 0.7;14.030; 0.540;85;22 15 58.83;+49 38 25.2
 540;625;22 16 02.49;+49 39 28.8;10; -0.3; 1.1; -0.4; 0.9;13.240; 0.530;62;22 16 02.57;+49 39 28.8
 541;   ;22 16 26.80;+49 39 32.8;10; -2.9; 0.7;  0.4; 0.6;12.710; 1.190; 0;22 16 26.88;+49 39 32.8
 542;634;22 16 27.23;+49 38 16.4;10; -1.0; 0.7; -0.3; 0.6;12.940; 0.430;22;22 16 27.31;+49 38 16.4
 543;636;22 16 30.97;+49 35 58.7;10;  2.3; 0.6;  2.5; 0.5;12.600; 0.240;82;22 16 31.05;+49 35 58.7
 544;   ;22 16 34.15;+49 37 23.5;10;  2.7; 1.1; -0.9; 0.8;13.930; 0.770;97;22 16 34.23;+49 37 23.5
 545;   ;22 16 37.18;+49 38 20.1; 9;  3.3; 1.5;  8.8; 1.7;12.970; 1.390; 0;22 16 37.26;+49 38 20.1
 546;   ;22 16 42.55;+49 36 00.9; 8; -6.0; 1.1; -4.0; 0.9;14.080; 0.830; 0;22 16 42.63;+49 36 00.9
 547;   ;22 16 44.82;+49 34 56.8;10;  1.6; 0.8;  2.1; 0.5;12.810; 0.600;88;22 16 44.90;+49 34 56.8
 548;   ;22 16 48.71;+49 38 50.5;10; -7.9; 1.5;  0.2; 1.3;13.960; 0.860; 0;22 16 48.79;+49 38 50.5
 549;643;22 17 00.50;+49 36 47.9;10;  7.8; 0.5;  3.2; 0.7;11.000; 0.290; 0;22 17 00.58;+49 36 47.9
 550;645;22 17 27.12;+49 36 51.3;10; -2.5; 1.1;  4.3; 0.8; 8.900;-0.050; 0;22 17 27.20;+49 36 51.3
 551;644;22 17 25.52;+49 38 46.2;10; -1.8; 0.5;  3.1; 0.7;11.760; 0.060; 0;22 17 25.60;+49 38 46.2
 552;647;22 17 30.97;+49 39 38.5;10;  3.2; 0.9;  0.8; 1.2;12.130; 1.350;97;22 17 31.05;+49 39 38.5
 553;649;22 17 36.65;+49 39 06.5; 9;-32.3; 1.7;-17.4; 0.9; 9.850; 0.250; 0;22 17 36.73;+49 39 06.5
 554;650;22 17 41.67;+49 37 18.5;10; -2.6; 0.8;  1.2; 0.8;11.600; 0.280; 0;22 17 41.75;+49 37 18.5
 555;651;22 17 50.65;+49 35 40.6;10; -3.5; 1.4; -1.5; 0.8;10.880; 0.200; 0;22 17 50.73;+49 35 40.6
 556;655;22 18 00.41;+49 34 42.9;10; -6.1; 1.4; -2.3; 0.7;11.480; 0.230; 0;22 18 00.49;+49 34 42.9
 557;   ;22 18 05.66;+49 34 39.0;10; -1.0; 0.6;  0.5; 0.6;13.530; 0.730;23;22 18 05.74;+49 34 39.0
 558;   ;22 18 10.45;+49 35 44.9;10; -0.2; 1.2;  3.2; 0.9;13.760; 0.570; 4;22 18 10.53;+49 35 44.9
 559;658;22 18 08.31;+49 36 52.0;10;  1.2; 1.2;  1.2; 0.7;11.880; 0.250;94;22 18 08.39;+49 36 52.0
 560;   ;22 18 13.84;+49 38 01.5;10; -0.6; 0.7;  3.6; 0.8;12.740; 0.640; 1;22 18 13.92;+49 38 01.5
 561;661;22 18 22.12;+49 38 14.9;10; -8.1; 1.1; -4.4; 0.8;11.010; 1.360; 0;22 18 22.20;+49 38 14.9
 562;660;22 18 18.94;+49 35 06.1;10;  1.9; 1.1;  1.8; 0.8;13.240; 0.420;93;22 18 19.02;+49 35 06.1
 563;667;22 18 31.63;+49 36 03.2;10;  3.3; 1.0;  3.0; 0.9;11.860; 1.060;58;22 18 31.71;+49 36 03.2
 564;664;22 18 29.60;+49 36 33.6;10;  1.5; 1.1;-11.0; 0.9;10.900; 0.520; 0;22 18 29.68;+49 36 33.6
 565;671;22 18 40.02;+49 35 15.5;10; -1.6; 1.3;  1.0; 0.9;12.370; 0.060; 3;22 18 40.10;+49 35 15.5
 566;   ;22 18 42.02;+49 35 51.2;10; -1.1; 1.0;  3.9; 1.0;12.860; 0.450; 0;22 18 42.10;+49 35 51.2
 567;672;22 18 44.64;+49 39 38.4; 9; -2.5; 1.3;  1.9; 1.1;11.590; 0.240; 0;22 18 44.72;+49 39 38.4
 568;   ;22 18 38.74;+49 39 23.5;10; -3.4; 1.0; -0.7; 1.0;14.110; 0.390; 0;22 18 38.82;+49 39 23.5
 569;545;22 18 41.58;+49 43 59.4;10;  1.9; 0.7;  0.3; 0.7;11.770; 1.180;98;22 18 41.66;+49 43 59.4
 570;   ;22 18 29.30;+49 41 06.3; 9; -2.6; 0.6; -2.6; 1.2;12.700; 1.530; 0;22 18 29.38;+49 41 06.3
 571;666;22 18 31.57;+49 40 00.6;  ;     ;    ;     ;    ; 9.890; 0.970;  ;22 18 31.65;+49 40 00.6
 572;665;22 18 30.80;+49 40 02.2;  ;     ;    ;     ;    ; 9.820;      ;  ;22 18 30.88;+49 40 02.2
 573;662;22 18 26.11;+49 39 43.2; 9; 14.3; 1.0; 17.7; 1.3; 9.090; 1.310; 0;22 18 26.19;+49 39 43.2
 574;657;22 18 08.35;+49 40 16.8;10; -2.3; 1.3;  1.3; 0.9;11.170; 0.140; 0;22 18 08.43;+49 40 16.8
 575;656;22 18 06.95;+49 42 29.6;10;  6.1; 0.6; -4.2; 0.8;11.410; 0.920; 0;22 18 07.03;+49 42 29.6
 576;   ;22 18 02.84;+49 42 01.7;10; -0.8; 1.1;  1.2; 1.6;13.530; 0.730;26;22 18 02.92;+49 42 01.7
 577;654;22 17 58.46;+49 39 53.7;10;  0.7; 1.3;  1.0; 0.8;12.340; 0.460;90;22 17 58.54;+49 39 53.7
 578;   ;22 17 54.16;+49 41 02.6;10; -1.9; 1.3; -3.4; 1.0;13.890; 0.770; 0;22 17 54.24;+49 41 02.6
 579;   ;22 17 54.77;+49 41 48.0;  ;     ;    ;     ;    ;13.730; 0.690;  ;22 17 54.85;+49 41 48.0
 580;   ;22 17 48.27;+49 41 07.7;10;  3.3; 0.9;  0.3; 0.8;13.460; 0.650;97;22 17 48.35;+49 41 07.7
 581;   ;22 17 50.75;+49 42 37.1;10; -2.4; 1.1;  0.0; 1.1;13.650; 0.970; 0;22 17 50.83;+49 42 37.1
 582;   ;22 17 40.60;+49 44 32.3;10; -0.3; 1.3;  3.0; 1.0;13.780; 0.670; 7;22 17 40.68;+49 44 32.3
 583;   ;22 17 31.28;+49 42 12.1;10; 18.9; 1.0; 10.9; 0.7;11.150; 0.600; 0;22 17 31.36;+49 42 12.1
 584;   ;22 17 20.04;+49 40 16.9; 9;  3.6; 1.2;  4.3; 0.6;12.540; 1.230; 2;22 17 20.12;+49 40 16.9
 585;   ;22 17 11.27;+49 40 50.4; 9; -1.3; 0.7; -0.9; 1.3;13.160; 1.200; 7;22 17 11.35;+49 40 50.4
 586;524;22 16 58.75;+49 43 33.3;10;  5.4; 0.6;  5.1; 0.6;12.700; 0.600; 0;22 16 58.83;+49 43 33.3
 587;642;22 16 52.67;+49 41 26.5;10; -6.1; 0.5; -3.1; 1.0;12.620; 0.660; 0;22 16 52.75;+49 41 26.5
 588;641;22 16 50.42;+49 40 05.3;10; 22.6; 1.3; 11.6; 0.6;11.880; 0.670; 0;22 16 50.50;+49 40 05.3
 589;   ;22 16 48.68;+49 41 42.4;10; -4.3; 1.3; -3.3; 0.5;13.940; 0.510; 0;22 16 48.76;+49 41 42.4
 590;523;22 16 48.01;+49 43 52.6;10;  1.5; 0.8;  0.8; 0.8;11.710; 0.290;96;22 16 48.09;+49 43 52.6
 591;   ;22 16 46.10;+49 43 12.5; 9; -1.5; 0.7; -1.1; 0.4;13.600; 0.860; 3;22 16 46.18;+49 43 12.5
 592;   ;22 16 43.04;+49 42 20.7;10;  1.3; 0.7;  7.4; 0.6;12.870; 1.190; 0;22 16 43.12;+49 42 20.7
 593;639;22 16 40.50;+49 42 16.0;10; -1.8; 1.0; -0.2; 0.7;12.050; 0.370; 2;22 16 40.58;+49 42 16.0
 594;638;22 16 39.33;+49 42 10.6;  ;     ;    ;     ;    ;11.590; 1.080;  ;22 16 39.41;+49 42 10.6
 595;637;22 16 32.08;+49 42 23.9;10;  1.6; 0.8;  2.1; 0.7;11.900; 0.310;88;22 16 32.16;+49 42 23.9
 596;   ;22 16 28.58;+49 40 51.0;10; -3.3; 0.9;  0.6; 0.8;11.970; 1.870; 0;22 16 28.66;+49 40 51.0
 597;633;22 16 22.42;+49 41 02.3;10;  1.8; 0.7;  1.0; 0.6;12.470; 0.250;97;22 16 22.50;+49 41 02.3
 598;   ;22 16 16.52;+49 41 28.0; 9;  0.1; 0.9;  2.1; 0.6;13.530; 0.650;46;22 16 16.60;+49 41 28.0
 599;631;22 16 12.79;+49 39 50.0; 9;  3.5; 0.8;  2.7; 0.7;13.340; 0.560;68;22 16 12.87;+49 39 50.0
 600;630;22 16 09.54;+49 40 25.2;10;  1.4; 1.0; -3.8; 1.1;10.020; 0.270; 6;22 16 09.62;+49 40 25.2
 601;624;22 16 03.13;+49 39 58.2;10; -9.0; 0.6;  2.7; 1.0;11.580; 0.540; 0;22 16 03.21;+49 39 58.2
 602;   ;22 15 58.81;+49 40 43.9;10; 10.4; 1.0;  8.0; 0.4;13.310; 0.640; 0;22 15 58.89;+49 40 43.9
 603;   ;22 15 54.51;+49 40 39.6; 8; -2.8; 0.9;  2.8; 1.0;12.420; 1.820; 0;22 15 54.59;+49 40 39.6
 604;629;22 16 08.23;+49 42 17.2;10;  2.4; 0.7;  1.4; 1.0; 8.730; 0.150;96;22 16 08.31;+49 42 17.2
 605;   ;22 16 11.14;+49 42 56.5;10;  1.1; 0.6;  6.2; 1.1;12.690; 1.320; 0;22 16 11.22;+49 42 56.5
 606;   ;22 16 02.60;+49 42 42.2;10;  0.7; 0.9; -0.6; 0.6;12.930; 0.710;90;22 16 02.68;+49 42 42.2
 607;   ;22 15 59.80;+49 43 09.4; 9; -1.9; 0.8; -4.7; 0.8;13.590; 0.720; 0;22 15 59.88;+49 43 09.4
 608;514;22 16 02.27;+49 43 12.4;10; -6.7; 0.7;-13.9; 0.5;11.980; 0.760; 0;22 16 02.35;+49 43 12.4
 609;516;22 16 06.17;+49 43 43.6;10;  3.7; 1.1;  0.5; 0.5;12.530; 0.580;96;22 16 06.25;+49 43 43.6
 610;   ;22 15 52.00;+49 44 26.5;10; -4.4; 0.6;-21.0; 0.9;12.930; 1.020; 0;22 15 52.08;+49 44 26.5
 611;   ;22 15 44.79;+49 42 36.0;10; 14.6; 0.8;  1.9; 1.0;13.510; 0.880; 0;22 15 44.87;+49 42 36.0
 612;622;22 15 44.37;+49 40 22.9;10; -4.6; 0.6; -9.5; 0.5;12.070; 0.600; 0;22 15 44.45;+49 40 22.9
 613;   ;22 15 33.63;+49 40 59.3;10;-19.6; 0.7; -8.3; 0.8;12.840; 0.590; 0;22 15 33.71;+49 40 59.3
 614;620;22 15 23.69;+49 41 56.1;10;  9.6; 0.8;  3.7; 0.7;12.720; 0.780; 0;22 15 23.77;+49 41 56.1
 615;499;22 15 27.73;+49 43 34.6;  ;     ;    ;     ;    ;11.690; 0.980;  ;22 15 27.81;+49 43 34.6
 616;500;22 15 28.11;+49 43 49.2;10;  2.2; 0.9; -0.6; 0.7;11.700; 0.150;98;22 15 28.19;+49 43 49.2
 617;507;22 15 40.10;+49 44 38.5;10;  2.5; 0.6;  1.4; 0.5;13.190; 0.670;96;22 15 40.18;+49 44 38.5
 618;506;22 15 35.64;+49 44 40.0;10; -3.5; 1.0; -1.4; 0.9;12.250; 1.490; 0;22 15 35.72;+49 44 40.0
 619;   ;22 15 15.73;+49 41 01.9;10; -2.1; 1.2; -1.0; 0.6;13.360; 0.780; 0;22 15 15.81;+49 41 01.9
 620;   ;22 14 58.85;+49 42 24.3; 8;  2.5; 0.8;  1.1; 0.9;13.820; 0.890;97;22 14 58.93;+49 42 24.3
 621;612;22 14 53.08;+49 41 38.8;10;  2.8; 0.7;  1.9; 0.6;10.920; 0.130;93;22 14 53.16;+49 41 38.8
 622;608;22 14 47.27;+49 41 36.1;10;  3.7; 0.5;  0.8; 0.4;12.090; 0.340;96;22 14 47.35;+49 41 36.1
 623;   ;22 14 49.36;+49 42 38.2;10; -1.0; 1.1;  2.3; 0.6;12.730; 1.310; 4;22 14 49.44;+49 42 38.2
 624;   ;22 14 44.33;+49 40 51.8; 8;  8.9; 1.1; 13.4; 1.2;14.030; 0.950; 0;22 14 44.41;+49 40 51.8
 625;605;22 14 41.08;+49 41 00.5;10;  1.4; 0.7;  0.2; 0.3;12.470; 0.490;97;22 14 41.16;+49 41 00.5
 626;   ;22 14 41.65;+49 41 19.4; 9;  0.4; 0.7; -3.2; 1.1;13.540; 0.970; 8;22 14 41.73;+49 41 19.4
 627;   ;22 14 35.11;+49 41 16.5; 9;  2.9; 1.5; -7.8; 0.9;13.290; 1.030; 0;22 14 35.19;+49 41 16.5
 628;600;22 14 25.66;+49 40 33.4;10;  0.2; 0.8;  0.3; 0.7;12.170; 0.380;84;22 14 25.74;+49 40 33.4
 629;   ;22 14 22.75;+49 41 58.1; 8;  2.0; 1.1;  5.1; 1.5;13.360; 1.350; 0;22 14 22.83;+49 41 58.1
 630;   ;22 14 20.61;+49 42 08.5; 8; -1.1; 1.1;  2.6; 1.3;13.090; 1.680; 2;22 14 20.69;+49 42 08.5
 631;599;22 14 25.10;+49 42 18.9;10;  1.1; 0.4;  0.4; 0.8; 8.990; 0.160;95;22 14 25.18;+49 42 18.9
 632;474;22 14 21.85;+49 42 41.8;10; -1.5; 0.9;  1.7; 0.8; 9.300; 0.120; 3;22 14 21.93;+49 42 41.8
 633;472;22 14 12.76;+49 44 35.7;10;  6.6; 0.7; -2.9; 0.7; 9.930; 0.420; 0;22 14 12.84;+49 44 35.7
 634;470;22 14 09.67;+49 42 39.8;10; -0.3; 0.5;  0.0; 0.5;12.920; 0.480;66;22 14 09.75;+49 42 39.8
 635;   ;22 14 06.65;+49 43 11.4;10;  2.8; 0.8;  1.0; 0.5;13.940; 0.620;97;22 14 06.73;+49 43 11.4
 636;   ;22 14 04.60;+49 40 46.9;10;  2.4; 0.6;  5.9; 1.6;14.030; 0.820; 0;22 14 04.68;+49 40 46.9
 637;   ;22 13 55.51;+49 41 04.0;10; 29.1; 1.7;-14.5; 1.2;13.690; 1.060; 0;22 13 55.59;+49 41 04.0
