#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:13:20 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:13:20	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/PAZh/36/16/stars&-order=I&-out=Cluster&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=B-V&-out=e_B-V&-out=V-Rc&-out=e_V-Rc&-out=V-Ic&-out=e_V-Ic&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_90360016
#Name: J/PAZh/36/16
#Title: Photometry in 6 galactic open star clusters (Glushkova+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pazh/36/16	    IVOID of underlying data collection
#INFO	creator=Glushkova E.V.	    First author or institution
#INFO	cites=bibcode:2010PAZh...36...16G	    Article or Data origin sources
#INFO	editor=Pis'ma v Astronomicheskii Zhurnal	    Editor name (article)
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PAZh/36/16	    Dataset landing page
#INFO	publication_date=2017-07-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PAZh_36_16_stars:
#Name: J/PAZh/36/16/stars
#Title: Combined table from original tables
#Column	Cluster	(a7)	Cluster name	[ucd=meta.id.parent]
#Column	RAJ2000	(F10.6)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Error on V	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson color index B-V	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? Error on B-V (1)	[ucd=stat.error;phot.color;em.opt.B]
#Column	V-Rc	(F6.3)	? Johnson-Cousins color index V-Rc (1)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-Rc	(F6.3)	? Error on V-Rc (1)	[ucd=stat.error;phot.color;em.opt.V]
#Column	V-Ic	(F6.3)	? Johnson-Cousins color index V-Ic (1)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-Ic	(F6.3)	? Error on V-Ic (1)	[ucd=stat.error;phot.color;em.opt.V]
Cluster;RAJ2000;DEJ2000;Vmag;e_Vmag;B-V;e_B-V;V-Rc;e_V-Rc;V-Ic;e_V-Ic
NGC7245;333.768803;+54.312155;17.657; 0.030; 0.938; 0.013; 0.616; 0.021; 1.148; 0.010
NGC7245;333.795414;+54.299529;18.186; 0.008; 1.015; 0.018; 0.636; 0.009; 1.209; 0.013
NGC7245;333.807389;+54.293890;16.166; 0.012; 0.604; 0.007; 0.396; 0.007; 0.753; 0.006
NGC7245;333.773397;+54.310339;18.774; 0.047; 1.151; 0.029; 0.754; 0.022; 1.397; 0.018
NGC7245;333.767840;+54.313354;17.491; 0.026; 0.983; 0.020; 0.661; 0.017; 1.213; 0.010
NGC7245;333.836651;+54.280866;18.546; 0.025; 0.909; 0.022; 0.588; 0.018; 1.073; 0.016
NGC7245;333.792187;+54.302286;18.571; 0.031; 1.019; 0.040; 0.642; 0.022; 1.228; 0.016
NGC7245;333.818589;+54.289860;17.648; 0.006; 0.718; 0.012; 0.503; 0.009; 0.962; 0.011
NGC7245;333.756474;+54.319504;18.100; 0.015; 0.920; 0.043; 0.597; 0.009; 1.161; 0.012
NGC7245;333.761670;+54.317038;15.604; 0.015; 0.814; 0.007; 0.543; 0.008; 1.030; 0.005
NGC7245;333.722103;+54.335852;16.081; 0.006; 0.699; 0.010; 0.457; 0.005; 0.856; 0.005
NGC7245;333.752639;+54.321390;15.628; 0.012; 1.300; 0.010; 0.791; 0.008; 1.500; 0.008
NGC7245;333.782505;+54.307397;14.205; 0.019; 1.318; 0.009; 0.774; 0.010; 1.434; 0.007
NGC7245;333.771129;+54.313687;15.760; 0.022; 0.619; 0.013; 0.440; 0.012; 0.841; 0.005
NGC7245;333.751645;+54.323019;17.282; 0.016; 0.801; 0.011; 0.529; 0.007; 0.999; 0.008
NGC7245;333.774770;+54.313160;16.119; 0.016; 1.183; 0.009; 0.789; 0.008; 1.423; 0.008
NGC7245;333.835122;+54.284515;14.951; 0.009; 0.803; 0.011; 0.518; 0.006; 0.952; 0.005
NGC7245;333.800100;+54.301353;18.827; 0.013; 1.150; 0.032; 0.711; 0.016; 1.322; 0.020
NGC7245;333.733840;+54.333063;19.307; 0.015; 0.816; 0.058; 0.581; 0.015; 1.098; 0.029
NGC7245;333.756247;+54.322433;19.397; 0.041; 0.901; 0.040; 0.610; 0.030; 1.110; 0.030
NGC7245;333.811562;+54.296403;18.580; 0.025; 1.037; 0.026; 0.597; 0.024; 1.160; 0.017
NGC7245;333.772214;+54.315548;14.759; 0.020; 0.477; 0.012; 0.352; 0.009; 0.679; 0.004
NGC7245;333.767487;+54.318093;17.877; 0.013; 1.322; 0.028; 0.906; 0.010; 1.626; 0.012
NGC7245;333.742166;+54.330520;16.912; 0.014; 1.460; 0.013; 0.876; 0.009; 1.654; 0.011
NGC7245;333.762800;+54.320999;17.872; 0.032; 0.948; 0.015; 0.621; 0.027; 1.185; 0.011
NGC7245;333.736314;+54.335245;17.182; 0.012; 0.845; 0.029; 0.547; 0.011; 1.031; 0.016
NGC7245;333.841793;+54.284071;18.518; 0.026; 0.848; 0.024; 0.530; 0.019; 1.041; 0.017
NGC7245;333.843885;+54.283193;15.173; 0.012; 0.437; 0.005; 0.268; 0.017; 0.520; 0.005
NGC7245;333.733783;+54.335713;18.426; 0.018; 0.666; 0.018; 0.463; 0.012; 0.850; 0.017
NGC7245;333.770816;+54.318476;18.139; 0.010; 0.919; 0.027; 0.611; 0.012; 1.148; 0.018
NGC7245;333.785643;+54.311700;17.885; 0.007; 0.865; 0.015; 0.570; 0.008; 1.084; 0.011
NGC7245;333.762605;+54.322969;18.229; 0.008; 0.923; 0.027; 0.599; 0.009; 1.132; 0.013
NGC7245;333.730927;+54.338190;15.163; 0.005; 1.267; 0.009; 0.737; 0.007; 1.367; 0.007
NGC7245;333.758589;+54.325405;19.406; 0.036; 1.485; 0.056; 0.970; 0.024; 1.751; 0.026
NGC7245;333.801971;+54.304775;16.529; 0.015; 0.866; 0.009; 0.580; 0.009; 1.101; 0.007
NGC7245;333.839994;+54.287399;16.458; 0.015; 0.656; 0.008; 0.438; 0.010; 0.789; 0.006
NGC7245;333.822890;+54.296973;16.538; 0.017; 0.872; 0.009; 0.558; 0.009; 1.041; 0.007
NGC7245;333.805941;+54.304688;18.586; 0.011; 1.201; 0.027; 0.771; 0.012; 1.478; 0.018
NGC7245;333.793046;+54.310806;16.057; 0.008; 0.574; 0.006; 0.384; 0.011; 0.737; 0.005
NGC7245;333.764629;+54.325271;19.391; 0.016; 1.007; 0.041; 0.667; 0.017; 1.237; 0.028
NGC7245;333.808051;+54.304740;15.058; 0.010; 0.771; 0.006; 0.493; 0.011; 0.906; 0.005
NGC7245;333.757367;+54.329934;19.228; 0.015; 1.042; 0.062; 0.668; 0.027; 1.257; 0.025
NGC7245;333.757665;+54.330804;16.996; 0.011; 0.742; 0.009; 0.501; 0.008; 0.948; 0.007
NGC7245;333.748176;+54.334496;18.560; 0.035; 0.857; 0.020; 0.567; 0.024; 1.067; 0.017
NGC7245;333.736852;+54.339945;15.674; 0.005; 0.500; 0.006; 0.325; 0.005; 0.605; 0.006
NGC7245;333.739144;+54.339048;17.666; 0.006; 0.945; 0.013; 0.614; 0.008; 1.132; 0.009
NGC7245;333.755714;+54.331273;18.775; 0.011; 1.007; 0.048; 0.643; 0.018; 1.222; 0.018
NGC7245;333.817217;+54.302038;15.303; 0.011; 1.246; 0.010; 0.734; 0.014; 1.360; 0.007
NGC7245;333.810930;+54.305072;18.656; 0.018; 0.962; 0.023; 0.606; 0.020; 1.106; 0.019
NGC7245;333.849874;+54.287368;15.185; 0.006; 0.441; 0.005; 0.302; 0.005; 0.576; 0.005
NGC7245;333.770285;+54.326876;14.991; 0.012; 0.597; 0.016; 0.404; 0.011; 0.783; 0.004
NGC7245;333.808504;+54.307460;19.277; 0.016; 0.934; 0.041; 0.610; 0.032; 1.175; 0.028
NGC7245;333.742334;+54.339010;18.102; 0.009; 0.899; 0.016; 0.586; 0.009; 1.121; 0.013
NGC7245;333.800073;+54.311583;15.801; 0.015; 0.705; 0.007; 0.479; 0.009; 0.902; 0.005
NGC7245;333.771538;+54.325527;16.668; 0.015; 0.842; 0.013; 0.544; 0.008; 1.027; 0.008
NGC7245;333.763618;+54.329480;19.018; 0.018; 1.067; 0.040; 0.698; 0.018; 1.325; 0.028
NGC7245;333.811245;+54.307073;16.538; 0.010; 0.737; 0.008; 0.473; 0.013; 0.895; 0.006
NGC7245;333.825750;+54.300866;16.871; 0.024; 0.821; 0.009; 0.542; 0.009; 1.015; 0.007
NGC7245;333.814837;+54.306096;16.388; 0.007; 0.645; 0.007; 0.420; 0.013; 0.794; 0.006
NGC7245;333.751060;+54.336608;19.302; 0.024; 0.863; 0.045; 0.651; 0.015; 1.201; 0.028
NGC7245;333.759078;+54.333355;18.871; 0.012; 1.043; 0.056; 0.700; 0.012; 1.265; 0.019
NGC7245;333.793019;+54.317376;17.901; 0.018; 0.672; 0.018; 0.470; 0.016; 0.925; 0.011
NGC7245;333.822944;+54.303463;13.111; 0.006; 1.243; 0.010; 0.719; 0.011; 1.329; 0.007
NGC7245;333.802158;+54.313594;17.775; 0.013; 0.482; 0.011; 0.325; 0.016; 0.611; 0.013
NGC7245;333.753890;+54.336631;16.970; 0.013; 0.932; 0.025; 0.582; 0.007; 1.084; 0.008
NGC7245;333.776026;+54.326291;18.084; 0.020; 1.428; 0.021; 0.947; 0.024; 1.716; 0.013
NGC7245;333.805980;+54.312858;15.783; 0.018; 0.631; 0.007; 0.426; 0.014; 0.814; 0.005
NGC7245;333.842243;+54.295741;19.360; 0.029; 1.179; 0.046; 0.756; 0.029; 1.401; 0.027
NGC7245;333.853146;+54.290591;19.164; 0.032; 0.940; 0.034; 0.621; 0.015; 1.137; 0.025
NGC7245;333.847879;+54.293166;16.987; 0.005; 0.828; 0.030; 0.553; 0.007; 1.041; 0.008
NGC7245;333.751444;+54.339188;15.660; 0.005; 0.512; 0.006; 0.333; 0.005; 0.643; 0.006
NGC7245;333.764960;+54.332811;19.977; 0.027; 0.963; 0.066; 0.654; 0.026; 1.255; 0.044
NGC7245;333.754566;+54.338101;18.328; 0.023; 1.009; 0.027; 0.615; 0.062; 1.169; 0.028
NGC7245;333.812165;+54.310783;19.485; 0.022; 0.917; 0.059; 0.579; 0.019; 1.159; 0.033
NGC7245;333.849377;+54.294047;18.447; 0.011; 1.639; 0.030; 1.064; 0.013; 1.976; 0.016
NGC7245;333.775517;+54.329930;17.392; 0.012; 0.962; 0.012; 0.612; 0.007; 1.144; 0.008
NGC7245;333.773187;+54.333608;14.553; 0.004; 0.394; 0.011; 0.282; 0.004; 0.556; 0.004
NGC7245;333.794958;+54.321398;14.927; 0.010; 0.490; 0.010; 0.338; 0.009; 0.655; 0.004
NGC7245;333.770639;+54.333136;17.519; 0.008; 0.791; 0.023; 0.535; 0.013; 0.995; 0.009
NGC7245;333.845578;+54.297604;17.822; 0.007; 0.974; 0.026; 0.658; 0.011; 1.208; 0.011
NGC7245;333.819847;+54.310050;17.267; 0.006; 1.041; 0.019; 0.640; 0.011; 1.180; 0.009
NGC7245;333.809934;+54.315141;17.372; 0.016; 0.996; 0.012; 0.635; 0.018; 1.174; 0.009
NGC7245;333.799950;+54.320652;19.404; 0.017; 1.107; 0.044; 0.713; 0.020; 1.299; 0.029
NGC7245;333.753034;+54.343100;16.905; 0.005; 0.814; 0.017; 0.535; 0.008; 0.998; 0.008
NGC7245;333.797526;+54.322310;16.602; 0.007; 0.669; 0.008; 0.479; 0.006; 0.904; 0.006
NGC7245;333.793530;+54.324496;17.528; 0.006; 0.771; 0.012; 0.551; 0.011; 1.031; 0.009
NGC7245;333.788794;+54.326862;16.548; 0.013; 0.665; 0.013; 0.457; 0.010; 0.890; 0.006
NGC7245;333.748586;+54.346076;14.200; 0.003; 0.406; 0.005; 0.277; 0.004; 0.530; 0.004
NGC7245;333.846783;+54.299415;17.032; 0.014; 0.866; 0.030; 0.543; 0.015; 1.028; 0.008
NGC7245;333.822574;+54.311213;16.488; 0.006; 0.671; 0.008; 0.425; 0.014; 0.825; 0.007
NGC7245;333.850247;+54.298158;16.438; 0.011; 1.781; 0.014; 1.047; 0.010; 1.941; 0.011
NGC7245;333.756374;+54.342863;18.222; 0.008; 0.783; 0.028; 0.518; 0.018; 0.979; 0.014
NGC7245;333.846071;+54.300494;19.159; 0.018; 0.957; 0.038; 0.581; 0.015; 1.076; 0.025
NGC7245;333.768245;+54.338453;13.345; 0.005; 1.200; 0.008; 0.700; 0.011; 1.307; 0.008
NGC7245;333.856951;+54.296244;17.639; 0.007; 1.156; 0.041; 0.678; 0.009; 1.229; 0.010
NGC7245;333.838348;+54.305357;15.783; 0.005; 1.228; 0.025; 0.704; 0.011; 1.355; 0.007
NGC7245;333.834083;+54.307393;16.800; 0.006; 0.658; 0.008; 0.401; 0.024; 0.801; 0.007
NGC7245;333.817713;+54.315338;13.465; 0.007; 0.377; 0.004; 0.266; 0.008; 0.511; 0.004
NGC7245;333.755929;+54.344752;19.299; 0.015; 0.979; 0.037; 0.658; 0.015; 1.195; 0.026
NGC7245;333.836455;+54.306555;19.504; 0.018; 0.804; 0.043; 0.626; 0.024; 1.197; 0.033
NGC7245;333.789559;+54.329143;19.217; 0.025; 1.157; 0.040; 0.741; 0.015; 1.360; 0.024
NGC7245;333.853925;+54.298641;19.468; 0.018; 0.957; 0.046; 0.640; 0.018; 1.164; 0.032
NGC7245;333.852984;+54.299220;18.403; 0.031; 1.088; 0.062; 0.659; 0.014; 1.210; 0.015
NGC7245;333.799539;+54.324932;16.314; 0.005; 0.963; 0.013; 0.631; 0.008; 1.179; 0.007
NGC7245;333.847967;+54.302106;16.617; 0.013; 0.626; 0.008; 0.423; 0.006; 0.798; 0.007
NGC7245;333.844398;+54.305612;17.186; 0.017; 0.881; 0.011; 0.556; 0.009; 1.065; 0.009
NGC7245;333.824464;+54.314984;16.598; 0.007; 0.673; 0.008; 0.438; 0.014; 0.835; 0.007
NGC7245;333.835047;+54.309974;17.581; 0.009; 1.381; 0.017; 0.812; 0.009; 1.567; 0.011
NGC7245;333.774294;+54.338929;17.515; 0.009; 0.836; 0.012; 0.534; 0.020; 1.036; 0.014
NGC7245;333.838470;+54.308627;18.709; 0.011; 1.483; 0.039; 0.906; 0.024; 1.661; 0.017
NGC7245;333.767314;+54.342632;16.046; 0.013; 0.578; 0.014; 0.378; 0.005; 0.734; 0.005
NGC7245;333.804779;+54.324986;17.479; 0.035; 0.779; 0.039; 0.560; 0.052; 1.083; 0.023
NGC7245;333.770387;+54.341415;14.470; 0.004; 0.451; 0.008; 0.321; 0.004; 0.628; 0.004
NGC7245;333.826744;+54.315026;18.071; 0.016; 0.941; 0.023; 0.599; 0.040; 1.160; 0.012
NGC7245;333.801063;+54.327383;13.812; 0.006; 0.430; 0.008; 0.325; 0.005; 0.639; 0.004
NGC7245;333.763247;+54.345509;16.086; 0.004; 0.546; 0.009; 0.361; 0.005; 0.687; 0.006
NGC7245;333.820074;+54.318960;18.919; 0.014; 1.045; 0.032; 0.671; 0.014; 1.197; 0.022
NGC7245;333.838565;+54.310577;17.312; 0.037; 0.800; 0.014; 0.508; 0.007; 0.987; 0.009
NGC7245;333.757307;+54.349323;18.341; 0.009; 1.200; 0.022; 0.763; 0.011; 1.379; 0.015
NGC7245;333.805444;+54.326727;15.115; 0.009; 0.454; 0.010; 0.326; 0.004; 0.636; 0.005
NGC7245;333.773626;+54.342028;17.336; 0.006; 0.782; 0.011; 0.517; 0.009; 0.976; 0.009
NGC7245;333.763023;+54.347259;18.127; 0.024; 0.956; 0.026; 0.618; 0.010; 1.151; 0.012
NGC7245;333.792037;+54.333585;19.293; 0.016; 0.966; 0.037; 0.641; 0.029; 1.212; 0.028
NGC7245;333.820381;+54.320110;16.362; 0.007; 1.087; 0.010; 0.702; 0.009; 1.303; 0.007
NGC7245;333.800737;+54.329513;15.240; 0.004; 0.453; 0.010; 0.325; 0.005; 0.638; 0.005
NGC7245;333.826928;+54.317166;19.348; 0.025; 1.142; 0.042; 0.680; 0.047; 1.292; 0.026
NGC7245;333.843177;+54.309621;18.033; 0.029; 0.990; 0.051; 0.620; 0.024; 1.172; 0.013
NGC7245;333.822361;+54.320042;16.311; 0.008; 0.648; 0.009; 0.423; 0.009; 0.801; 0.006
NGC7245;333.824111;+54.319904;17.926; 0.021; 1.009; 0.017; 0.618; 0.020; 1.142; 0.012
NGC7245;333.829779;+54.316769;19.422; 0.024; 1.079; 0.047; 0.709; 0.018; 1.342; 0.030
NGC7245;333.807462;+54.327499;15.114; 0.004; 0.462; 0.017; 0.327; 0.004; 0.648; 0.004
NGC7245;333.818606;+54.322189;16.473; 0.007; 0.645; 0.007; 0.436; 0.015; 0.825; 0.006
NGC7245;333.800082;+54.331402;18.234; 0.011; 0.822; 0.049; 0.581; 0.009; 1.111; 0.014
NGC7245;333.801161;+54.331983;18.314; 0.008; 0.794; 0.042; 0.560; 0.011; 1.060; 0.014
NGC7245;333.840210;+54.312548;16.848; 0.013; 1.126; 0.011; 0.669; 0.010; 1.269; 0.008
NGC7245;333.796858;+54.333329;19.079; 0.014; 0.889; 0.048; 0.664; 0.014; 1.246; 0.022
NGC7245;333.797345;+54.334339;16.104; 0.012; 0.584; 0.024; 0.411; 0.008; 0.806; 0.005
NGC7245;333.772157;+54.345377;19.111; 0.014; 0.850; 0.047; 0.584; 0.015; 1.030; 0.029
NGC7245;333.831357;+54.317770;17.835; 0.014; 0.962; 0.015; 0.621; 0.026; 1.150; 0.012
NGC7245;333.784901;+54.340038;17.138; 0.006; 0.739; 0.011; 0.498; 0.012; 0.938; 0.008
NGC7245;333.845742;+54.311513;19.065; 0.058; 0.975; 0.044; 0.634; 0.040; 1.162; 0.022
NGC7245;333.763974;+54.350659;15.372; 0.014; 0.778; 0.013; 0.505; 0.006; 0.947; 0.005
NGC7245;333.813073;+54.327344;18.535; 0.011; 1.368; 0.048; 0.915; 0.012; 1.654; 0.016
NGC7245;333.784208;+54.341148;17.031; 0.006; 0.704; 0.016; 0.460; 0.006; 0.877; 0.008
NGC7245;333.853100;+54.308430;17.731; 0.022; 0.944; 0.014; 0.635; 0.013; 1.157; 0.011
NGC7245;333.759918;+54.352806;19.176; 0.043; 0.929; 0.037; 0.593; 0.044; 1.237; 0.024
NGC7245;333.827809;+54.320857;16.498; 0.005; 0.951; 0.030; 0.600; 0.007; 1.104; 0.007
NGC7245;333.832554;+54.318981;18.048; 0.012; 0.767; 0.022; 0.512; 0.008; 0.965; 0.012
NGC7245;333.816244;+54.326796;17.851; 0.007; 0.860; 0.019; 0.575; 0.013; 1.069; 0.011
NGC7245;333.778448;+54.344902;17.380; 0.007; 1.035; 0.013; 0.645; 0.008; 1.181; 0.009
NGC7245;333.782713;+54.342946;19.609; 0.020; 0.974; 0.047; 0.594; 0.022; 1.045; 0.036
NGC7245;333.774472;+54.347579;15.209; 0.005; 0.792; 0.007; 0.515; 0.006; 0.973; 0.005
NGC7245;333.864939;+54.305021;17.604; 0.008; 0.777; 0.012; 0.540; 0.012; 1.006; 0.010
NGC7245;333.865867;+54.305451;17.705; 0.007; 1.257; 0.017; 0.791; 0.009; 1.487; 0.010
NGC7245;333.826292;+54.323636;17.061; 0.006; 0.934; 0.016; 0.591; 0.009; 1.119; 0.008
NGC7245;333.814317;+54.329405;15.297; 0.004; 0.493; 0.021; 0.332; 0.004; 0.645; 0.005
NGC7245;333.783079;+54.344406;17.993; 0.018; 0.944; 0.016; 0.603; 0.024; 1.116; 0.011
NGC7245;333.868271;+54.304184;17.131; 0.009; 0.873; 0.010; 0.568; 0.007; 1.062; 0.008
NGC7245;333.818660;+54.328369;19.729; 0.037; 1.107; 0.059; 0.623; 0.022; 1.127; 0.039
NGC7245;333.821903;+54.327012;18.362; 0.021; 0.935; 0.037; 0.604; 0.010; 1.158; 0.015
NGC7245;333.820671;+54.327810;18.542; 0.011; 0.961; 0.022; 0.629; 0.010; 1.176; 0.016
NGC7245;333.789063;+54.342822;15.098; 0.013; 0.522; 0.016; 0.358; 0.004; 0.695; 0.004
NGC7245;333.816144;+54.330606;17.069; 0.009; 0.910; 0.016; 0.585; 0.011; 1.097; 0.009
NGC7245;333.852137;+54.313469;18.825; 0.016; 1.046; 0.036; 0.696; 0.032; 1.282; 0.019
NGC7245;333.806322;+54.335527;16.143; 0.005; 0.563; 0.020; 0.377; 0.005; 0.725; 0.006
NGC7245;333.830951;+54.323800;18.086; 0.019; 1.014; 0.053; 0.634; 0.015; 1.188; 0.012
NGC7245;333.810677;+54.333581;16.084; 0.004; 0.596; 0.007;      ;      ; 0.780; 0.007
NGC7245;333.826575;+54.326126;18.501; 0.017; 0.831; 0.020; 0.543; 0.021; 1.023; 0.017
NGC7245;333.809903;+54.334931;17.308; 0.014; 0.779; 0.011;      ;      ; 1.065; 0.012
NGC7245;333.822388;+54.329142;15.922; 0.007; 0.625; 0.007; 0.407; 0.006; 0.779; 0.005
NGC7245;333.866140;+54.308381;16.975; 0.005; 0.773; 0.016; 0.503; 0.007; 0.922; 0.007
NGC7245;333.770054;+54.354455;16.819; 0.022; 0.785; 0.017; 0.488; 0.032; 0.948; 0.012
NGC7245;333.789797;+54.345112;14.584; 0.013; 0.389; 0.017; 0.270; 0.004; 0.533; 0.004
NGC7245;333.825169;+54.328574;19.340; 0.020; 0.780; 0.036; 0.479; 0.042; 0.911; 0.032
NGC7245;333.774718;+54.352999;19.145; 0.014; 0.923; 0.033; 0.586; 0.014; 1.121; 0.023
NGC7245;333.831473;+54.326910;17.130; 0.006; 0.822; 0.010; 0.539; 0.008; 1.017; 0.009
NGC7245;333.800725;+54.342102;15.082; 0.008; 0.741; 0.014; 0.487; 0.005; 0.922; 0.005
NGC7245;333.830049;+54.328429;17.275; 0.008; 0.846; 0.011; 0.547; 0.009; 1.034; 0.009
NGC7245;333.807632;+54.339388;14.841; 0.005; 0.456; 0.009; 0.318; 0.004; 0.627; 0.004
NGC7245;333.786585;+54.349829;18.895; 0.015; 1.017; 0.029; 0.633; 0.013; 1.150; 0.020
NGC7245;333.854537;+54.317631;13.916; 0.004; 0.374; 0.016; 0.260; 0.007; 0.486; 0.004
NGC7245;333.812646;+54.337583;15.213; 0.005; 1.038; 0.017; 0.655; 0.007; 1.226; 0.006
NGC7245;333.859592;+54.315275;19.259; 0.016; 0.845; 0.033; 0.638; 0.016; 1.101; 0.028
NGC7245;333.790039;+54.348512;17.216; 0.010; 1.215; 0.013; 0.733; 0.008; 1.381; 0.009
NGC7245;333.825751;+54.331855;19.331; 0.017; 1.157; 0.046; 0.724; 0.017; 1.357; 0.027
NGC7245;333.850520;+54.320287;19.281; 0.047; 1.101; 0.049; 0.731; 0.049; 1.269; 0.025
NGC7245;333.828704;+54.330707;17.107; 0.005; 0.826; 0.018; 0.536; 0.007; 1.000; 0.008
NGC7245;333.872095;+54.310347;16.051; 0.004; 0.600; 0.007; 0.394; 0.006; 0.725; 0.006
NGC7245;333.823756;+54.333653;19.164; 0.046; 1.084; 0.038; 0.697; 0.044; 1.196; 0.026
NGC7245;333.823484;+54.334343;19.081; 0.023; 1.130; 0.038; 0.680; 0.031; 1.228; 0.024
NGC7245;333.805212;+54.343056;14.380; 0.011; 0.437; 0.020; 0.297; 0.004; 0.587; 0.004
NGC7245;333.787371;+54.351620;17.929; 0.007; 0.747; 0.025; 0.516; 0.012; 1.004; 0.013
NGC7245;333.800315;+54.345832;19.712; 0.022; 1.049; 0.054; 0.711; 0.028; 1.454; 0.034
NGC7245;333.838600;+54.327986;16.116; 0.005; 0.654; 0.007;      ;      ; 0.783; 0.008
NGC7245;333.778027;+54.356942;18.148; 0.009; 0.882; 0.016; 0.593; 0.018; 1.091; 0.013
NGC7245;333.871347;+54.313366;18.567; 0.010; 0.884; 0.021; 0.575; 0.010; 1.065; 0.017
NGC7245;333.833143;+54.330791;18.793; 0.014; 1.355; 0.043; 0.807; 0.012; 1.547; 0.017
NGC7245;333.827185;+54.333946;17.864; 0.015; 1.081; 0.033; 0.670; 0.009; 1.262; 0.011
NGC7245;333.878605;+54.310083;16.672; 0.005; 0.768; 0.014; 0.505; 0.006; 0.930; 0.007
NGC7245;333.832910;+54.331971;17.338; 0.007; 1.022; 0.022; 0.629; 0.009; 1.180; 0.013
NGC7245;333.826432;+54.335115;17.237; 0.006; 0.834; 0.016; 0.504; 0.007; 0.937; 0.010
NGC7245;333.840629;+54.328508;13.246; 0.004; 0.510; 0.020; 0.350; 0.008; 0.658; 0.004
NGC7245;333.865078;+54.316870;17.212; 0.006; 0.783; 0.010; 0.506; 0.007; 0.921; 0.008
NGC7245;333.803283;+54.346734;17.899; 0.016; 0.654; 0.045; 0.428; 0.008; 0.831; 0.013
NGC7245;333.837003;+54.330745;18.336; 0.014; 1.135; 0.028; 0.694; 0.013; 1.277; 0.014
NGC7245;333.823356;+54.337622;17.787; 0.007; 0.869; 0.045; 0.559; 0.008; 1.033; 0.010
NGC7245;333.783858;+54.356467;16.048; 0.023; 0.702; 0.016; 0.453; 0.006; 0.858; 0.006
NGC7245;333.848766;+54.325725;17.538; 0.006; 0.858; 0.034; 0.551; 0.007; 1.023; 0.010
NGC7245;333.854142;+54.323350;18.810; 0.014; 0.860; 0.026; 0.577; 0.016; 1.018; 0.021
NGC7245;333.829011;+54.335668;17.121; 0.006; 0.811; 0.011; 0.518; 0.009; 0.970; 0.008
NGC7245;333.878370;+54.312192;15.953; 0.009; 0.589; 0.030; 0.386; 0.007; 0.721; 0.006
NGC7245;333.815543;+54.342885;14.697; 0.004; 0.442; 0.017; 0.296; 0.004; 0.578; 0.004
NGC7245;333.791283;+54.354463;18.535; 0.037; 1.162; 0.024; 0.748; 0.030;      ;
NGC7245;333.788820;+54.355951;15.314; 0.009; 0.464; 0.012; 0.290; 0.004; 0.558; 0.006
NGC7245;333.782101;+54.359325;17.046; 0.009; 0.740; 0.011; 0.477; 0.012; 0.894; 0.008
NGC7245;333.820546;+54.341630;14.691; 0.004; 0.511; 0.009; 0.331; 0.004; 0.628; 0.004
NGC7245;333.852904;+54.326429;16.431; 0.005; 0.756; 0.022; 0.485; 0.009; 0.898; 0.006
NGC7245;333.837165;+54.334065;19.874; 0.032; 1.254; 0.070; 0.802; 0.044; 1.382; 0.041
NGC7245;333.824879;+54.340274;14.584; 0.004; 0.398; 0.016; 0.267; 0.004; 0.510; 0.004
NGC7245;333.831387;+54.337300;18.757; 0.035; 1.018; 0.057; 0.632; 0.026; 1.215; 0.019
NGC7245;333.828713;+54.338697;15.080; 0.005; 1.376; 0.018; 0.790; 0.008; 1.425; 0.007
NGC7245;333.835279;+54.336143;18.465; 0.016; 0.861; 0.029;      ;      ; 0.894; 0.027
NGC7245;333.821761;+54.343421;19.552; 0.051; 0.958; 0.048; 0.651; 0.032; 1.221; 0.034
