#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:19:44 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:19:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/159/246/table3&-order=I&-out=WOCS&-out=Xpos&-out=Ypos&-out=RAJ2000&-out=DEJ2000&-out=Umag&-out=Bmag&-out=Vmag&-out=Rmag&-out=Imag&-out=NU&-out=NB&-out=NV&-out=NR&-out=NI&-out=U-B&-out=U-V&-out=U-R&-out=U-I&-out=B-V&-out=B-R&-out=B-I&-out=V-R&-out=V-I&-out=R-I&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51590246
#Name: J/AJ/159/246
#Title: WIYN open cluster study. LXXX. Photometry of NGC 7142 (Sun+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/aj/159/246	    IVOID of underlying data collection
#INFO	creator=Sun Q.	    First author or institution
#INFO	cites=bibcode:2020AJ....159..246S	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/159/246	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51590246	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_159_246_table3:
#Name: J/AJ/159/246/table3
#Title: Photometry for stars in NGC 7142
#Column	WOCS	(I6)	[1001/429028] WOCS identifier (1)	[ucd=meta.id;meta.main]
#Column	Xpos	(F8.3)	[-74/4099] X coordinate	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F8.3)	[2/4112] Y coordinate	[ucd=pos.cartesian.y;instr.det]
#Column	RAJ2000	(A11)	[21] Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	[65/66] Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Umag	(F6.3)	[10.6/20.4]? U magnitude ({lambda}~360nm)	[ucd=phot.mag;em.opt.U]
#Column	Bmag	(F6.3)	[10.6/22]? B magnitude ({lambda}~450nm)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	[10/21.8] V magnitude ({lamba}~555nm)	[ucd=phot.mag;em.opt.V]
#Column	Rmag	(F6.3)	[9.2/20.7]? R magnitude ({lambda}~660nm)	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F6.3)	[8.5/19.9]? I magnitude ({lambda}~0.87{mu}m)	[ucd=phot.mag;em.opt.I]
#Column	NU	(I2)	[0/10] Number of observation for U band	[ucd=meta.number]
#Column	NB	(I2)	[0/13] Number of observation for B band	[ucd=meta.number]
#Column	NV	(I2)	[1/13] Number of observation for V band	[ucd=meta.number]
#Column	NR	(I2)	[0/13] Number of observation for R band	[ucd=meta.number]
#Column	NI	(I2)	[0/13] Number of observation for I band	[ucd=meta.number]
#Column	U-B	(F6.3)	[-0.15/2.47]? U-B color	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	U-V	(F6.3)	[-0.09/4.61]? U-V color	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	U-R	(F6.3)	[0.37/6.02]? U-R color	[ucd=phot.mag]
#Column	U-I	(F6.3)	[0.54/7.53]? U-I color	[ucd=phot.mag]
#Column	B-V	(F6.3)	[0.06/2.23]? B-V color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	B-R	(F6.3)	[0.26/3.97]? B-R color	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	B-I	(F6.3)	[0.43/5.87]? B-I color	[ucd=phot.color;em.opt.B;em.opt.I]
#Column	V-R	(F6.3)	[0.07/4.01]? V-R color	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F6.3)	[0.24/6.84]? V-I color	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	R-I	(F6.3)	[0.09/2.84]? R-I color	[ucd=phot.color;em.opt.R;em.opt.I]
WOCS;Xpos;Ypos;RAJ2000;DEJ2000;Umag;Bmag;Vmag;Rmag;Imag;NU;NB;NV;NR;NI;U-B;U-V;U-R;U-I;B-V;B-R;B-I;V-R;V-I;R-I
  9004;1997.955;1843.039;21 45 09.96;+65 45 04.0;16.328;16.055;15.185;14.683;14.154; 3; 7; 9; 8;11; 0.273; 1.143; 1.646; 2.174; 0.870; 1.372; 1.901; 0.503; 1.031; 0.528
 10020;2260.573;3414.725;21 45 29.96;+65 56 10.7;17.966;16.648;15.185;14.349;13.565; 1; 6;11;10;10; 1.318; 2.781; 3.616; 4.401; 1.463; 2.299; 3.083; 0.836; 1.620; 0.785
 15024;3655.000;2202.864;21 47 04.95;+65 47 23.2;17.610;16.532;15.186;14.386;13.639; 2; 7; 5;10;10; 1.078; 2.424; 3.224; 3.970; 1.346; 2.146; 2.893; 0.800; 1.547; 0.747
  8027; 488.155;3086.705;21 43 26.49;+65 54 00.9;18.033;16.681;15.189;14.322;13.505; 2; 8;12; 8; 9; 1.352; 2.844; 3.712; 4.528; 1.492; 2.359; 3.176; 0.868; 1.684; 0.817
  9006;1753.239;1807.044;21 44 53.02;+65 44 50.3;16.119;15.907;15.189;14.756;14.300; 5; 9; 9; 7; 9; 0.212; 0.930; 1.363; 1.819; 0.717; 1.150; 1.606; 0.433; 0.889; 0.456
 10730; 601.071; 583.520;21 43 32.58;+65 36 15.2;15.992;15.885;15.192;14.752;14.325; 5;10; 9; 9; 8; 0.107; 0.800; 1.239; 1.666; 0.693; 1.132; 1.559; 0.440; 0.867; 0.427
 10010;1721.073;2693.390;21 44 51.70;+65 51 07.5;      ;16.122;15.197;14.611;14.098; 0; 1; 5; 3; 7;      ;      ;      ;      ; 0.925; 1.511; 2.024; 0.585; 1.099; 0.514
 11020; 740.302;2557.933;21 43 43.60;+65 50 15.1;17.725;16.592;15.199;14.399;13.630; 2; 6; 7; 9;12; 1.132; 2.526; 3.326; 4.095; 1.394; 2.193; 2.962; 0.800; 1.569; 0.769
  5014;2679.292;2750.640;21 45 58.21;+65 51 25.0;16.428;16.071;15.200;14.700;14.216; 6;10;10;10;10; 0.357; 1.228; 1.729; 2.212; 0.871; 1.371; 1.855; 0.501; 0.984; 0.484
 10025; 437.256;1372.320;21 43 21.83;+65 41 51.8;16.641;16.166;15.200;14.644;14.098; 4; 4;10; 7;10; 0.475; 1.441; 1.997; 2.543; 0.966; 1.522; 2.068; 0.556; 1.102; 0.546
  4735; 275.750;3711.642;21 43 12.13;+65 58 27.2;17.088;16.252;15.203;14.628;14.136; 3; 5; 9; 4; 9; 0.837; 1.886; 2.460; 2.952; 1.049; 1.623; 2.116; 0.574; 1.066; 0.492
 12007;2456.248;1947.707;21 45 41.73;+65 45 45.3;17.642;16.534;15.207;14.480;13.774; 2; 8;10; 9;12; 1.107; 2.435; 3.162; 3.867; 1.327; 2.054; 2.760; 0.727; 1.432; 0.705
 12020;3259.015;2513.103;21 46 38.04;+65 49 39.0;16.108;15.982;15.207;14.739;14.272; 4; 8; 8; 8;12; 0.127; 0.901; 1.369; 1.837; 0.775; 1.242; 1.710; 0.467; 0.935; 0.468
 16021; 582.004;2323.608;21 43 32.47;+65 48 36.1;16.140;15.821;15.207;14.852;14.444; 2; 7; 7;10; 7; 0.319; 0.933; 1.288; 1.696; 0.614; 0.969; 1.377; 0.355; 0.763; 0.407
 16024;3602.148;1989.854;21 47 00.95;+65 45 53.2;16.591;16.203;15.207;14.610;14.021; 3; 9;10; 9;10; 0.388; 1.384; 1.982; 2.570; 0.996; 1.593; 2.182; 0.598; 1.186; 0.588
  7733;3581.947;3646.492;21 47 02.28;+65 57 38.2;18.753;16.873;15.209;14.294;13.472; 1; 7; 9;12; 8; 1.879; 3.544; 4.459; 5.281; 1.665; 2.579; 3.402; 0.915; 1.737; 0.822
  7731;1347.789;  68.144;21 44 23.45;+65 32 32.5;16.143;15.977;15.213;14.717;14.228; 2; 8; 7; 5; 8; 0.166; 0.930; 1.427; 1.915; 0.764; 1.261; 1.749; 0.496; 0.985; 0.489
 26729;1709.911; 102.985;21 44 48.31;+65 32 45.4;17.654;16.529;15.213;14.469;13.782; 2; 7; 6; 9; 8; 1.126; 2.441; 3.185; 3.872; 1.316; 2.060; 2.746; 0.744; 1.430; 0.686
 10006;1862.767;2454.212;21 45 01.27;+65 49 24.9;      ;      ;15.214;14.590;13.986; 0; 0; 4; 7; 9;      ;      ;      ;      ;      ;      ;      ; 0.624; 1.228; 0.603
 16026; 279.371;2512.337;21 43 11.64;+65 49 57.5;16.196;16.038;15.220;14.725;14.228; 3; 7;10; 9;11; 0.158; 0.976; 1.471; 1.968; 0.819; 1.314; 1.810; 0.495; 0.991; 0.496
  8736; 593.981;  23.552;21 43 31.71;+65 32 16.7;16.060;15.908;15.225;14.778;14.344; 4; 6; 8; 7; 9; 0.151; 0.834; 1.281; 1.716; 0.683; 1.130; 1.564; 0.447; 0.881; 0.434
  7005;2054.625;1754.021;21 45 13.77;+65 44 25.8;17.209;16.347;15.235;14.592;13.985; 2; 6; 9; 9; 9; 0.862; 1.974; 2.617; 3.223; 1.112; 1.755; 2.362; 0.643; 1.250; 0.607
 12018; 808.612;2029.867;21 43 47.94;+65 46 30.2;16.525;16.171;15.235;14.712;14.195; 4; 6; 8; 6; 9; 0.355; 1.290; 1.813; 2.330; 0.936; 1.459; 1.976; 0.523; 1.040; 0.517
  5015;3000.684;1931.426;21 46 19.32;+65 45 33.9;16.281;16.092;15.239;14.731;14.216; 5; 8; 8; 9;10; 0.189; 1.042; 1.550; 2.065; 0.853; 1.361; 1.875; 0.508; 1.023; 0.515
 11025;1785.660; 399.111;21 44 53.81;+65 34 51.0;      ;16.672;15.241;14.448;13.730; 0; 7; 7; 9; 8;      ;      ;      ;      ; 1.431; 2.224; 2.942; 0.793; 1.511; 0.718
 10022;3358.949;1363.222;21 46 43.18;+65 41 29.1;17.844;16.638;15.245;14.465;13.725; 1; 9; 6; 9; 9; 1.205; 2.599; 3.379; 4.119; 1.394; 2.174; 2.914; 0.780; 1.520; 0.740
  2001;1963.739;2078.523;21 45 07.85;+65 46 44.4;16.405;16.134;15.254;14.732;14.202; 6; 9; 9; 8;13; 0.272; 1.151; 1.673; 2.204; 0.879; 1.402; 1.932; 0.522; 1.053; 0.530
  6003;2010.765;2229.733;21 45 11.27;+65 47 48.4;16.781;16.293;15.261;14.661;14.077; 2; 5;13;11; 9; 0.487; 1.519; 2.120; 2.704; 1.032; 1.633; 2.216; 0.601; 1.184; 0.583
 11730;2310.680;  22.711;21 45 29.39;+65 32 07.6;16.701;16.214;15.261;14.716;14.209; 1; 8; 9; 8; 9; 0.486; 1.440; 1.985; 2.492; 0.953; 1.498; 2.006; 0.545; 1.053; 0.508
 13020;2786.255; 937.960;21 46 03.17;+65 38 33.3;16.397;16.181;15.267;14.744;14.211; 1; 3;10; 9;13; 0.216; 1.130; 1.653; 2.186; 0.914; 1.437; 1.970; 0.523; 1.056; 0.533
  8731; 181.828;3117.410;21 43 05.24;+65 54 15.0;18.031;16.735;15.278;14.445;13.658; 2; 4; 9; 7; 9; 1.296; 2.753; 3.586; 4.373; 1.457; 2.289; 3.077; 0.833; 1.620; 0.788
 13018; 792.556;2137.982;21 43 46.91;+65 47 16.2;16.589;16.194;15.284;14.772;14.285; 3; 9;10; 8; 8; 0.395; 1.304; 1.817; 2.304; 0.909; 1.422; 1.909; 0.512; 0.999; 0.487
 14020;1801.837; 753.739;21 44 55.28;+65 37 21.9;16.290;16.100;15.288;14.818;14.342; 2; 9; 9; 8; 9; 0.190; 1.002; 1.472; 1.948; 0.812; 1.283; 1.758; 0.470; 0.946; 0.475
 17021; 844.885;2950.867;21 43 51.15;+65 53 01.7;16.607;16.241;15.289;14.691;14.094; 4; 6; 9; 8;11; 0.365; 1.317; 1.916; 2.513; 0.952; 1.551; 2.148; 0.599; 1.196; 0.597
 17024;1538.424; 471.096;21 44 36.91;+65 35 23.1;16.547;16.193;15.289;14.769;14.251; 4; 7; 9;10; 9; 0.353; 1.257; 1.778; 2.296; 0.904; 1.425; 1.943; 0.521; 1.039; 0.518
  6015;1075.513;2543.497;21 44 06.82;+65 50 07.4;17.994;16.706;15.293;14.491;13.733; 3; 8; 6;10; 8; 1.288; 2.701; 3.503; 4.261; 1.413; 2.215; 2.973; 0.802; 1.561; 0.758
 18021;3353.686;2419.318;21 46 44.46;+65 48 58.2;16.144;16.043;15.294;14.835;14.383; 5; 5; 9; 9;10; 0.101; 0.849; 1.308; 1.761; 0.748; 1.207; 1.660; 0.459; 0.912; 0.453
  8005;1890.111;1751.459;21 45 02.41;+65 44 25.8;16.295;16.090;15.297;14.829;14.338; 3; 6; 7; 9;10; 0.205; 0.998; 1.466; 1.957; 0.793; 1.261; 1.752; 0.468; 0.959; 0.492
 19021;2164.891; 667.862;21 45 20.14;+65 36 43.0;17.352;16.539;15.300;14.607;13.915; 2; 5; 7; 6;10; 0.813; 2.052; 2.745; 3.437; 1.239; 1.931; 2.624; 0.693; 1.385; 0.692
  8733; 306.786; 595.499;21 43 12.35;+65 36 21.3;16.689;16.297;15.301;14.697;14.096; 3; 7;10; 8; 9; 0.392; 1.388; 1.993; 2.593; 0.996; 1.600; 2.201; 0.605; 1.205; 0.600
 11010;1406.911;2352.028;21 44 29.60;+65 48 44.2;16.336;16.105;15.301;14.811;14.312; 3; 7; 9; 7; 9; 0.231; 1.035; 1.525; 2.023; 0.804; 1.294; 1.792; 0.490; 0.989; 0.498
 15016;1176.877;2791.506;21 44 14.06;+65 51 52.3;17.419;16.558;15.301;14.582;13.889; 2; 7;10;11;10; 0.861; 2.118; 2.838; 3.531; 1.257; 1.977; 2.670; 0.720; 1.413; 0.693
  9027; 485.070; 983.979;21 43 24.87;+65 39 06.2;16.801;16.299;15.309;14.745;14.193; 4; 9;10; 9;11; 0.502; 1.492; 2.056; 2.608; 0.989; 1.553; 2.106; 0.564; 1.117; 0.553
 27729;  -1.152;2226.181;21 42 52.05;+65 47 56.6;16.280;16.050;15.310;14.850;14.368; 2; 5; 8; 5; 8; 0.230; 0.970; 1.429; 1.912; 0.741; 1.200; 1.682; 0.459; 0.942; 0.482
 10027;2592.670;3803.391;21 45 53.57;+65 58 53.5;17.788;16.541;15.314;14.552;13.922; 2; 8; 9; 9; 8; 1.246; 2.473; 3.236; 3.865; 1.227; 1.990; 2.619; 0.762; 1.392; 0.629
 12019;3125.622;2695.438;21 46 29.08;+65 50 57.8;16.610;16.252;15.321;14.762;14.233; 3; 8; 8; 8;11; 0.358; 1.290; 1.848; 2.377; 0.932; 1.490; 2.019; 0.559; 1.087; 0.529
 12010;2581.451;2308.330;21 45 50.85;+65 48 17.7;17.130;16.483;15.329;14.640;13.970; 2; 6; 7; 7; 7; 0.647; 1.801; 2.490; 3.160; 1.154; 1.842; 2.513; 0.689; 1.359; 0.670
 15020;2201.023; 713.622;21 45 22.67;+65 37 02.2;17.443;16.580;15.329;14.607;13.895; 3; 8; 9; 7;10; 0.862; 2.114; 2.836; 3.548; 1.252; 1.974; 2.686; 0.722; 1.434; 0.712
 12025;3368.636;1076.752;21 46 43.41;+65 39 27.2;16.589;16.246;15.330;14.786;14.261; 2;10; 7; 8;11; 0.343; 1.259; 1.803; 2.328; 0.916; 1.460; 1.984; 0.544; 1.069; 0.525
  6014;1917.489;1102.708;21 45 03.61;+65 39 49.6;16.291;16.111;15.331;14.886;14.390; 3; 8; 9; 9;10; 0.180; 0.961; 1.405; 1.901; 0.780; 1.225; 1.721; 0.444; 0.941; 0.496
 15023;1400.397;3482.110;21 44 30.20;+65 56 44.8;18.262;16.843;15.335;14.392;13.535; 1; 7; 8;10; 7; 1.419; 2.927; 3.870; 4.727; 1.508; 2.450; 3.308; 0.943; 1.800; 0.857
 18024;2930.738;3373.937;21 46 16.53;+65 55 48.1;16.272;16.109;15.335;14.856;14.393; 5; 8;10; 6;10; 0.164; 0.937; 1.417; 1.879; 0.774; 1.253; 1.716; 0.479; 0.942; 0.463
 10004;2247.540;2191.050;21 45 27.60;+65 47 30.3;16.684;16.307;15.336;14.772;14.212; 5; 7; 9; 8; 9; 0.377; 1.348; 1.911; 2.472; 0.971; 1.535; 2.095; 0.563; 1.124; 0.560
  6734; 866.400;  15.209;21 43 50.39;+65 32 12.1;16.515;16.211;15.338;14.835;14.325; 2; 8; 5; 7; 5; 0.303; 1.176; 1.680; 2.190; 0.873; 1.377; 1.887; 0.503; 1.014; 0.510
  9731;4080.145;1750.841;21 47 33.53;+65 44 06.6;      ;      ;15.343;14.841;14.363; 0; 0; 3; 1; 2;      ;      ;      ;      ;      ;      ;      ; 0.502; 0.980; 0.478
 14018;1040.129;2806.194;21 44 04.58;+65 51 59.3;16.444;16.192;15.347;14.836;14.320; 3; 7;10;10;11; 0.252; 1.097; 1.609; 2.124; 0.845; 1.356; 1.872; 0.511; 1.027; 0.516
 28729;1733.591;  72.793;21 44 49.91;+65 32 32.5;16.369;16.152;15.352;14.877;14.417; 4; 8;11; 9;10; 0.218; 1.017; 1.493; 1.953; 0.799; 1.275; 1.735; 0.476; 0.935; 0.460
 11027;3249.263;3429.070;21 46 38.77;+65 56 08.8;16.251;16.109;15.355;14.888;14.426; 3; 9; 9;10; 9; 0.142; 0.895; 1.362; 1.824; 0.754; 1.220; 1.682; 0.467; 0.929; 0.462
 11006;2063.212;2456.645;21 45 15.15;+65 49 24.6;16.406;16.147;15.357;14.957;14.486; 2; 7;12; 7; 9; 0.259; 1.049; 1.449; 1.921; 0.790; 1.190; 1.662; 0.400; 0.872; 0.471
 12028;1402.076;3910.994;21 44 30.72;+65 59 47.1;16.725;16.354;15.363;14.721;14.059; 1; 7; 9; 9; 9; 0.372; 1.362; 2.004; 2.666; 0.990; 1.633; 2.295; 0.642; 1.304; 0.662
 16016;2535.418;1137.656;21 45 46.18;+65 40 00.2;17.629;16.646;15.365;14.637;13.919; 1;10; 8; 8; 9; 0.983; 2.265; 2.993; 3.710; 1.282; 2.010; 2.727; 0.728; 1.446; 0.717
 13028; 276.118;1262.937;21 43 10.65;+65 41 05.8;17.158;16.379;15.368;14.779;14.262; 3; 8; 8; 9; 6; 0.779; 1.791; 2.379; 2.896; 1.012; 1.600; 2.117; 0.588; 1.105; 0.517
 15018;1544.944;3162.673;21 44 39.94;+65 54 28.2;17.826;16.741;15.371;14.556;13.771; 2; 6; 8;11;12; 1.086; 2.455; 3.270; 4.055; 1.369; 2.184; 2.970; 0.815; 1.601; 0.785
 13007;1707.822;2396.758;21 44 50.48;+65 49 01.5;16.356;16.178;15.372;14.892;14.394; 3; 8;10; 7;10; 0.178; 0.984; 1.464; 1.962; 0.806; 1.286; 1.784; 0.480; 0.978; 0.498
 17016;3084.185;1882.725;21 46 25.02;+65 45 12.5;16.283;16.160;15.376;14.896;14.390; 5; 6; 9; 8; 7; 0.123; 0.908; 1.388; 1.893; 0.784; 1.264; 1.770; 0.480; 0.985; 0.505
 13025;2464.758; 398.714;21 45 40.40;+65 34 46.4;16.643;16.373;15.381;14.891;14.574; 4; 2; 2; 3; 2; 0.271; 1.262; 1.753; 2.069; 0.991; 1.482; 1.798; 0.491; 0.807; 0.316
 14025; 519.204;1246.281;21 43 27.40;+65 40 57.8;17.930;16.759;15.383;14.624;13.883; 1; 9; 8; 9;10; 1.171; 2.547; 3.306; 4.047; 1.375; 2.135; 2.876; 0.760; 1.500; 0.741
  7015;2954.729;2459.248;21 46 16.89;+65 49 18.8;17.033;16.381;15.387;14.844;14.354; 2; 7; 8; 8; 9; 0.652; 1.646; 2.189; 2.679; 0.994; 1.537; 2.027; 0.543; 1.034; 0.490
  5735;3653.958;3769.216;21 47 07.50;+65 58 29.7;16.571;16.275;15.388;14.846;14.294; 3; 8; 8; 9; 8; 0.296; 1.183; 1.725; 2.277; 0.887; 1.429; 1.981; 0.542; 1.094; 0.552
  8017; 998.921;2573.723;21 44 01.54;+65 50 20.6;16.791;16.326;15.389;14.862;14.357; 5; 8;11; 9;11; 0.466; 1.403; 1.929; 2.434; 0.937; 1.464; 1.968; 0.527; 1.031; 0.504
  9008;1853.155;1575.807;21 44 59.67;+65 43 11.3;16.319;16.169;15.389;14.936;14.414; 3; 7;11; 7;12; 0.150; 0.931; 1.383; 1.906; 0.780; 1.232; 1.755; 0.452; 0.975; 0.523
  5739;4018.178;3805.399;21 47 32.96;+65 58 41.4;16.601;16.311;15.390;14.848;14.308; 3; 6; 8; 5;11; 0.290; 1.211; 1.753; 2.293; 0.921; 1.463; 2.003; 0.542; 1.082; 0.540
 16020;3358.368;2301.833;21 46 44.60;+65 48 08.2;17.485;16.674;15.392;14.630;13.904; 4; 3; 6;11;10; 0.810; 2.093; 2.855; 3.580; 1.283; 2.045; 2.770; 0.762; 1.487; 0.726
  9005;1658.235;2051.666;21 44 46.70;+65 46 35.0;16.655;16.319;15.402;14.854;14.306; 3; 6;10; 8; 8; 0.337; 1.253; 1.801; 2.350; 0.917; 1.465; 2.013; 0.548; 1.096; 0.548
 11022;3016.571; 928.806;21 46 18.99;+65 38 27.5;16.346;16.191;15.403;14.924;14.425; 4; 8;10;11;10; 0.155; 0.943; 1.423; 1.921; 0.788; 1.268; 1.766; 0.480; 0.979; 0.499
 12027; 629.186; 805.932;21 43 34.67;+65 37 49.9;18.307;16.855;15.404;14.606;13.883; 3; 5;10;10; 9; 1.453; 2.903; 3.701; 4.425; 1.450; 2.248; 2.972; 0.798; 1.521; 0.723
 13010;2517.342;2453.337;21 45 46.60;+65 49 19.9;17.871;16.726;15.406;14.660;13.964; 3; 8; 7; 9;12; 1.146; 2.466; 3.212; 3.907; 1.320; 2.066; 2.762; 0.746; 1.442; 0.696
 12022; 652.623;2790.985;21 43 37.70;+65 51 54.5;18.001;16.789;15.410;14.630;13.882; 2; 5;11; 8;11; 1.212; 2.591; 3.371; 4.119; 1.379; 2.159; 2.907; 0.780; 1.528; 0.748
 20021; 674.749;2515.001;21 43 39.03;+65 49 57.1;17.061;16.419;15.413;14.838;14.317; 1; 9;11; 8;10; 0.642; 1.648; 2.223; 2.745; 1.006; 1.581; 2.102; 0.574; 1.096; 0.522
  9733;3498.047; 380.094;21 46 51.20;+65 34 30.0;16.395;16.251;15.416;14.902;14.372; 3; 7; 4; 8;10; 0.144; 0.979; 1.493; 2.023; 0.835; 1.349; 1.879; 0.514; 1.044; 0.530
 13022;3245.544;1290.103;21 46 35.26;+65 40 59.1;16.698;16.352;15.416;14.854;14.305; 4;10;10; 6; 9; 0.347; 1.282; 1.844; 2.393; 0.936; 1.497; 2.046; 0.561; 1.110; 0.549
 11004;1916.248;2316.666;21 45 04.82;+65 48 26.1;16.592;16.304;15.420;14.894;14.364; 4; 8; 9; 9;10; 0.288; 1.172; 1.698; 2.228; 0.884; 1.410; 1.940; 0.526; 1.056; 0.530
  8015;2410.327;1102.647;21 45 37.53;+65 39 46.2;16.331;16.107;15.422;14.951;14.554; 5; 7; 5; 6;10; 0.224; 0.909; 1.381; 1.777; 0.685; 1.157; 1.553; 0.472; 0.868; 0.396
 12730;1781.925;4082.408;21 44 57.37;+66 00 57.8;16.742;16.387;15.423;14.831;14.227; 5; 7;12; 8;11; 0.356; 1.320; 1.911; 2.516; 0.964; 1.555; 2.160; 0.591; 1.196; 0.605
 13730;3065.997; 308.643;21 46 21.50;+65 34 03.5;16.328;16.169;15.427;14.957;14.475; 3; 6;11; 9; 7; 0.158; 0.901; 1.371; 1.852; 0.743; 1.213; 1.694; 0.470; 0.951; 0.481
 15025;3726.958;1977.037;21 47 09.55;+65 45 46.5;16.433;16.243;15.429;14.944;14.488; 4; 8;13; 9;10; 0.190; 1.004; 1.489; 1.945; 0.814; 1.299; 1.755; 0.485; 0.941; 0.456
 16018;3029.585;1440.610;21 46 20.61;+65 42 05.0;16.393;16.230;15.431;14.953;14.465; 4; 7;10; 9;12; 0.164; 0.962; 1.441; 1.928; 0.798; 1.277; 1.764; 0.479; 0.966; 0.487
  7003;2021.925;2241.065;21 45 12.05;+65 47 53.2;17.057;16.431;15.435;14.899;14.410; 3;10; 8; 9;11; 0.626; 1.622; 2.158; 2.647; 0.996; 1.532; 2.021; 0.536; 1.025; 0.489
  2002;1974.192;2198.011;21 45 08.70;+65 47 35.2;16.572;16.305;15.437;14.927;14.408; 4; 7; 9; 9;11; 0.267; 1.135; 1.645; 2.164; 0.868; 1.378; 1.897; 0.511; 1.029; 0.518
 14028;3249.766; 613.118;21 46 34.54;+65 36 11.3;17.996;16.835;15.438;14.672;13.944; 2; 7; 7; 8;11; 1.161; 2.558; 3.324; 4.052; 1.397; 2.163; 2.891; 0.766; 1.494; 0.728
  8011;1383.038;2428.885;21 44 28.02;+65 49 17.0;      ;16.757;15.439;14.667;13.924; 0; 6; 7; 5; 9;      ;      ;      ;      ; 1.318; 2.090; 2.833; 0.772; 1.515; 0.743
 10005;2128.921;1788.303;21 45 18.94;+65 44 39.9;16.595;16.322;15.440;14.922;14.366; 4; 8; 7; 8;11; 0.274; 1.155; 1.674; 2.230; 0.882; 1.400; 1.956; 0.518; 1.074; 0.556
 10008;1496.291;2129.634;21 44 35.58;+65 47 09.1;16.477;16.266;15.440;14.945;14.463; 5; 5;10; 9;11; 0.212; 1.037; 1.533; 2.015; 0.825; 1.321; 1.803; 0.496; 0.978; 0.482
 12006;1810.607;1721.154;21 44 56.89;+65 44 13.4;16.546;16.288;15.444;14.960;14.422; 3; 9; 9; 8; 9; 0.258; 1.102; 1.587; 2.124; 0.844; 1.329; 1.866; 0.484; 1.022; 0.538
 16025;2292.570; 393.328;21 45 28.58;+65 34 45.3;17.443;16.625;15.445;14.769;14.113; 3; 7; 8; 6; 8; 0.818; 1.997; 2.674; 3.330; 1.179; 1.855; 2.512; 0.676; 1.333; 0.657
  9009;2320.922;2562.061;21 45 33.13;+65 50 07.6;17.869;16.800;15.449;14.681;13.942; 1; 7; 8;10;10; 1.069; 2.420; 3.188; 3.927; 1.351; 2.119; 2.858; 0.768; 1.507; 0.739
  9736;3711.566;3841.846;21 47 11.64;+65 59 00.0;17.699;16.750;15.450;14.702;13.992; 2; 5; 9; 8; 9; 0.949; 2.248; 2.997; 3.707; 1.300; 2.048; 2.758; 0.749; 1.458; 0.710
 18016;1341.075;2910.937;21 44 25.55;+65 52 42.3;16.747;16.398;15.456;14.907;14.364; 2; 7;10;12;11; 0.349; 1.290; 1.840; 2.383; 0.941; 1.491; 2.034; 0.549; 1.093; 0.544
 17025;1116.131; 607.949;21 44 08.01;+65 36 23.5;16.303;16.198;15.461;14.996;14.531; 5; 8;10; 8; 8; 0.105; 0.842; 1.307; 1.772; 0.738; 1.202; 1.667; 0.464; 0.929; 0.465
 17026; 484.133;2998.904;21 43 26.15;+65 53 23.6;18.165;16.982;15.463;14.546;13.658; 2; 5; 9; 8;10; 1.183; 2.703; 3.619; 4.507; 1.520; 2.436; 3.324; 0.917; 1.805; 0.888
 11008;2531.716;1945.261;21 45 46.95;+65 45 43.7;18.546;16.984;15.468;14.617;13.826; 1; 8;10; 7;10; 1.562; 3.078; 3.929; 4.720; 1.516; 2.367; 3.158; 0.851; 1.642; 0.791
