#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:43:10 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:43:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/152/129/table2&-order=I&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=Rmag&-out=e_Rmag&-out=pmRA&-out=pmDE&-out=RV&-out=Mm&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520129
#Name: J/AJ/152/129
#Title: VR photometry for 914 stars in NGC 188 (Chen+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/129	    IVOID of underlying data collection
#INFO	creator=Chen X.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..129C	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/129	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520129	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-02-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_129_table2:
#Name: J/AJ/152/129/table2
#Title: Information for stars in the open cluster NGC 188 field
#Column	RAJ2000	(F8.4)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F7.4)	[11.8/19.2] Johnson V band magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	[0.0025/0.22] Uncertainty in Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Rmag	(F7.4)	[11.37/18.31] Cousins R band magnitude (1)	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag	(F7.4)	[0.0023/0.22] Uncertainty in Rmag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	pmRA	(F6.2)	[-28.2/48.3] Proper motion along RA (2)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F6.2)	[-27/50.8] Proper motion along DE (2)	[ucd=pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	[-306.7/45.4]? Radial velocity (3)	[ucd=phys.veloc;pos.heliocentric]
#Column	Mm	(I1)	[0/1] Membership code (1=cluster member, or 0=not a cluster member)	[ucd=meta.code.member]
RAJ2000;DEJ2000;Vmag;e_Vmag;Rmag;e_Rmag;pmRA;pmDE;RV;Mm
011.3861;+85.2052;16.5693; 0.0302;16.1295; 0.0226; -3.65;  1.11;       ;0
013.0648;+85.2457;15.1926; 0.0174;14.7870; 0.0143; -0.91; -1.31; -42.48;0
011.8317;+85.2221;15.1371; 0.0124;14.7515; 0.0095; -5.24; -0.21; -42.93;1
011.1863;+85.3150;15.1690; 0.0116;14.7732; 0.0097; -5.26; -0.09; -43.66;1
011.8246;+85.2535;15.1202; 0.0119;14.7339; 0.0104; -5.82; -0.55; -42.39;1
011.6521;+85.2177;15.1843; 0.0138;14.7733; 0.0104; -5.51; -0.16; -42.84;1
012.0687;+85.2795;15.3193; 0.0161;14.9010; 0.0099; -5.91;  0.22; -42.47;1
012.9178;+85.3577;15.2282; 0.0136;14.8286; 0.0094; -5.00; -0.39; -42.94;1
012.1485;+85.3552;15.2322; 0.0121;14.8317; 0.0114; -4.81; -0.01; -42.34;1
010.1692;+85.2890;15.3098; 0.0126;14.8332; 0.0086;  8.10;  2.71; -64.68;0
012.7904;+85.2757;15.3320; 0.0236;14.9149; 0.0284; -2.25;  2.97; -43.13;0
013.2078;+85.1461;15.4313; 0.0191;15.0449; 0.0149; -5.88;  0.10; -43.25;1
012.2729;+85.2706;15.1801; 0.0123;14.7934; 0.0087; -5.54; -0.29; -42.34;1
010.9251;+85.1787;15.2050; 0.0156;14.8124; 0.0116; -5.45; -0.85; -42.13;1
011.3889;+85.0968;15.2233; 0.0104;14.8415; 0.0130; -5.33;  0.09; -41.21;1
012.9973;+85.2643;15.2599; 0.0126;14.8690; 0.0111; -4.65; -0.34; -41.46;1
012.4420;+85.1813;15.4709; 0.0325;15.0859; 0.0217; -5.98;  2.21; -41.34;0
011.8780;+85.3592;15.2747; 0.0122;14.8716; 0.0113; -5.02;  0.03; -41.20;1
011.8500;+85.2046;15.2490; 0.0143;14.8435; 0.0105; -5.36;  0.00; -42.99;1
011.7037;+85.2123;15.2310; 0.0133;14.8395; 0.0097; -5.30; -0.21; -43.27;1
011.6606;+85.2725;15.2894; 0.0126;14.8736; 0.0105; -5.41; -0.74; -42.54;1
010.5349;+85.2003;15.2858; 0.0147;14.8841; 0.0114; -5.15; -0.62; -42.28;1
011.2569;+85.1505;15.2827; 0.0159;14.8838; 0.0123; -5.21; -0.86; -42.64;1
011.7649;+85.2269;15.2149; 0.0138;14.8299; 0.0109; -5.79; -0.74; -42.77;1
010.9832;+85.3021;15.3464; 0.0122;14.9331; 0.0104; -4.79; -0.33; -43.22;1
010.7224;+85.2275;15.2755; 0.0139;14.8672; 0.0110; -5.29; -0.80; -42.96;1
011.1800;+85.1937;15.3216; 0.0178;14.9241; 0.0115; -5.44; -0.48; -42.13;1
011.0817;+85.2042;15.2393; 0.0139;14.9018; 0.0109; -6.40;  4.81;       ;0
011.4736;+85.2421;15.2588; 0.0140;14.8681; 0.0114; -5.66; -0.79; -42.89;1
013.5816;+85.1529;15.2378; 0.0210;14.9423; 0.0140; -8.93; -1.76; -45.55;0
011.3801;+85.2882;15.3156; 0.0127;14.9098; 0.0094; -4.98; -0.27; -42.50;1
012.6298;+85.2260;15.2743; 0.0139;14.8969; 0.0110; -5.47; -0.36; -42.85;1
012.4887;+85.1732;15.3233; 0.0166;14.9439; 0.0151; -5.34; -0.35; -42.50;1
011.6801;+85.2683;15.3100; 0.0128;14.9082; 0.0115; -5.72; -0.53; -41.42;1
012.3407;+85.3427;15.3526; 0.0132;14.9583; 0.0112; -4.66; -0.05; -42.77;1
011.5703;+85.1122;15.3631; 0.0222;14.9781; 0.0141; -5.59; -0.07; -41.23;1
013.2244;+85.1399;15.4054; 0.0230;14.9615; 0.0149; 10.63; -1.91;       ;0
011.4789;+85.1672;15.3084; 0.0162;14.9331; 0.0122;  1.39; 11.77;       ;0
011.7301;+85.1709;15.3700; 0.0174;14.9527; 0.0116; -5.15; -0.24; -42.16;1
011.6863;+85.2825;15.3219; 0.0136;14.9086; 0.0104; -5.43; -0.64; -43.01;1
011.8345;+85.2593;15.5597; 0.0248;15.1356; 0.0211; -4.75; -1.02; -42.32;1
010.7455;+85.2208;15.4932; 0.0192;14.9592; 0.0117; -2.30; -0.04;  -4.89;0
010.6081;+85.1853;15.4430; 0.0188;15.0337; 0.0143; -4.44; -1.26; -42.97;1
011.3223;+85.2061;15.3636; 0.0156;14.9652; 0.0110; -5.53; -0.50; -42.34;1
011.6206;+85.2704;15.3697; 0.0123;14.9537; 0.0120; -5.60; -0.61; -42.67;1
012.4465;+85.1803;16.6848; 0.0333;16.2399; 0.0229;  6.02; -6.49;       ;0
013.7361;+85.2248;15.4236; 0.0189;15.0479; 0.0123; -5.68;  0.09; -42.30;1
013.0286;+85.1988;15.3509; 0.0174;14.9765; 0.0176; -4.95; -0.04; -42.33;1
011.0968;+85.2891;15.3997; 0.0140;14.9991; 0.0107; -4.69; -0.48; -41.60;1
012.7990;+85.1861;15.4090; 0.0182;15.0243; 0.0132; -4.94; -0.21; -42.81;1
013.5827;+85.3537;15.5177; 0.0177;15.0178; 0.0111; -5.29;  0.12;  24.36;0
011.2421;+85.2779;15.4111; 0.0151;15.0028; 0.0107; -5.09; -0.42; -42.16;1
012.9171;+85.1658;15.7457; 0.0477;15.2071; 0.0278;  9.25;  3.58;       ;0
013.2217;+85.1457;16.2901; 0.0310;15.9069; 0.0206; -1.69;  1.32;       ;0
011.8939;+85.2640;15.4054; 0.0143;15.0233; 0.0124; -5.62; -0.71; -42.29;1
010.1989;+85.2423;15.4715; 0.0156;15.0618; 0.0106; -4.50; -0.17; -42.58;1
010.6232;+85.2971;15.5752; 0.0166;15.0968; 0.0122;  5.89;  5.78;       ;0
011.1052;+85.3057;16.9249; 0.0286;16.5358; 0.0291; -3.03;  2.29;       ;0
010.7029;+85.1964;15.5156; 0.0171;15.1111; 0.0139; -5.05; -0.61; -42.11;1
012.6550;+85.2327;15.4288; 0.0144;15.0746; 0.0113; -5.00;  0.04; -42.14;1
011.9226;+85.3557;15.4399; 0.0139;15.1215; 0.0124; -2.45;  1.14; -16.92;0
011.1116;+85.1558;15.4532; 0.0163;15.0601; 0.0128; -5.11; -0.60; -41.48;1
013.8259;+85.2937;15.5277; 0.0175;15.1268; 0.0120; -8.50;  3.09;       ;0
013.0098;+85.2350;15.5030; 0.0151;15.1013; 0.0125; -4.82; -0.56; -42.73;1
010.6789;+85.2488;15.4992; 0.0163;15.0852; 0.0112; -5.01; -0.82; -42.99;1
011.3022;+85.2370;15.4669; 0.0156;15.0738; 0.0140; -5.40; -0.09; -41.16;1
012.8760;+85.3356;15.5271; 0.0143;15.1447; 0.0123;  3.94; -0.59; -20.78;0
011.5589;+85.1823;15.4901; 0.0169;15.0708; 0.0129; -5.18; -0.76; -41.46;1
011.5596;+85.2332;15.9216; 0.0189;15.5060; 0.0148; -4.24; -1.84; -43.01;0
012.0983;+85.2544;15.5336; 0.0154;15.0754; 0.0121;  2.57;  5.74;       ;0
012.1776;+85.1934;15.5090; 0.0196;15.1091; 0.0201; -2.92; -0.10; -41.37;0
012.5452;+85.2439;15.4184; 0.0172;15.0836; 0.0118; -5.15; -0.35; -42.90;1
010.3159;+85.2090;15.5369; 0.0190;15.1166; 0.0123; -5.11; -0.27; -42.45;1
011.2637;+85.2354;16.0242; 0.0195;15.6083; 0.0145; -6.54;  0.98; -41.63;0
010.5940;+85.2019;15.5639; 0.0174;15.1625; 0.0130; -5.15; -0.57; -41.91;1
013.9039;+85.3510;16.3545; 0.0211;15.7587; 0.0194;  0.00;  0.00;       ;0
013.9088;+85.3505;16.2774; 0.0183;15.8926; 0.0196;  0.00;  0.00;       ;0
011.7527;+85.2307;15.5042; 0.0161;15.1132; 0.0111; -5.24; -0.21; -42.43;1
011.5506;+85.2339;16.2478; 0.1268;15.7795; 0.1389; -7.02;  1.12;       ;0
013.2052;+85.2245;15.5642; 0.0189;15.1727; 0.0139; -5.17; -0.46; -42.37;1
012.5116;+85.3564;15.6155; 0.0180;15.1742; 0.0135; -4.57; -0.49; -34.66;0
011.5363;+85.2213;16.0040; 0.0239;15.0878; 0.0117;  3.59;-18.82;       ;0
012.1863;+85.2952;15.5440; 0.0153;15.1576; 0.0120; -5.41; -0.64; -41.54;1
011.9331;+85.2588;15.5193; 0.0210;15.1391; 0.0134; -5.85; -0.77; -42.08;1
011.4689;+85.2068;15.7862; 0.0176;15.3794; 0.0142; -6.23; -0.02; -42.20;1
012.8878;+85.1575;15.5672; 0.0217;15.1911; 0.0158; -4.85; -0.44; -42.40;1
012.2384;+85.1680;15.5334; 0.0178;15.1450; 0.0135; -5.28; -0.08; -42.25;1
011.2307;+85.2058;15.6047; 0.0188;15.2019; 0.0120; -5.19; -0.86; -42.40;1
013.3429;+85.3409;15.6219; 0.0168;15.2134; 0.0128; -5.21; -0.91; -41.19;1
011.8676;+85.3280;15.6104; 0.0182;15.2096; 0.0125; -5.14; -0.46; -43.15;1
012.6723;+85.3239;15.6346; 0.0160;15.2413; 0.0129; -4.54; -0.28; -41.30;1
012.4190;+85.2717;15.5696; 0.0156;15.1870; 0.0120; -5.32; -0.38; -41.90;1
010.7712;+85.1807;15.6769; 0.0197;15.2297; 0.0156; -5.13; -0.91; -42.42;1
011.9646;+85.2283;15.5392; 0.0179;15.1421; 0.0115; -5.71; -0.39; -44.60;1
011.7962;+85.2495;15.5425; 0.0163;15.1501; 0.0139; -5.83; -0.79; -41.10;1
012.1785;+85.1016;15.6450; 0.0174;15.2940; 0.0224; -3.21;  3.36;       ;0
010.9112;+85.1918;15.7335; 0.0277;15.3354; 0.0234; -4.62; -0.08; -42.20;1
010.9885;+85.2385;15.6208; 0.0168;15.1973; 0.0117; -5.61; -0.77; -42.58;1
012.6152;+85.2523;15.8624; 0.2182;15.3637; 0.2071; -3.25; -0.98;       ;0
011.8262;+85.1433;15.5610; 0.0213;15.1613; 0.0141; -5.00;  0.06; -43.52;1
010.2397;+85.2437;15.7175; 0.0220;15.2892; 0.0130; -4.48; -0.22; -44.63;1
010.4230;+85.1600;15.7670; 0.0210;15.2942; 0.0131; -4.21;  0.11; -44.19;1
012.1752;+85.0918;15.6269; 0.0127;15.2462; 0.0172; -4.98; -0.31; -42.85;1
013.4334;+85.3184;15.7216; 0.0124;15.2980; 0.0145;-14.43;  6.51;       ;0
011.3293;+85.2565;17.1196; 0.0404;16.5902; 0.0408; -5.19; -1.95;       ;0
011.8582;+85.1618;15.6485; 0.0199;15.2574; 0.0157; -5.14; -0.22; -41.88;1
011.3764;+85.3732;15.7057; 0.0165;15.2905; 0.0152; -5.07; -0.06; -42.53;1
010.3474;+85.1653;15.7399; 0.0172;15.3106; 0.0142; -4.24;  0.32; -42.52;1
011.6735;+85.3707;16.4154; 0.0447;15.6306; 0.0450;  6.61; -6.85;       ;0
012.1963;+85.1801;15.6813; 0.0204;15.2613; 0.0142; -1.24;  1.38;       ;0
011.6469;+85.3256;15.7057; 0.0165;15.3035; 0.0156; -5.44; -0.08; -42.00;1
011.1037;+85.3440;15.6973; 0.0176;15.2922; 0.0152; -5.41;  0.02; -42.32;1
012.4329;+85.1657;15.7185; 0.0216;15.2802; 0.0155;-12.32;  4.06;       ;0
011.0070;+85.1518;15.6958; 0.0197;15.2502; 0.0141; -5.25; -0.10; -42.44;1
012.4359;+85.2009;15.6661; 0.0187;15.2804; 0.0132; -5.68; -0.56; -43.14;1
012.4721;+85.2177;15.6512; 0.0171;15.2701; 0.0142; -5.64; -0.51; -41.74;1
011.8191;+85.1742;15.7315; 0.0210;15.3208; 0.0150; -4.70; -0.38; -44.92;1
013.9164;+85.2831;15.7453; 0.0206;15.3703; 0.0146; -5.69; -0.53; -41.77;1
011.6811;+85.3712;17.5734; 0.0485;16.6152; 0.0284; 11.20; -2.32;       ;0
011.1701;+85.2192;15.6719; 0.0188;15.3146; 0.0133; -4.69; -1.16;   3.60;0
013.0131;+85.1965;15.6896; 0.0205;15.3056; 0.0200; -4.83; -0.35; -41.49;1
011.3910;+85.2366;15.9100; 0.0194;15.5026; 0.0180; -5.20; -1.12; -42.75;1
010.2402;+85.1874;15.9377; 0.0249;15.3545; 0.0146;  0.82; -5.04;       ;0
010.9069;+85.1909;18.2395; 0.0738;17.5941; 0.0658; -5.98; -3.49;       ;0
010.6042;+85.2937;15.7895; 0.0200;15.3821; 0.0145; -5.31; -0.25; -41.36;1
013.4123;+85.1177;15.7478; 0.0309;15.3832; 0.0194; -5.11; -0.45; -42.34;1
011.7205;+85.2955;15.7417; 0.0183;15.3512; 0.0271; -5.76; -0.45; -42.71;1
012.4866;+85.3475;15.8246; 0.0196;15.3720; 0.0140; -4.31; -0.38; -43.12;1
011.5813;+85.2566;15.7261; 0.0186;15.3199; 0.0131; -5.56; -0.78; -42.03;1
012.7081;+85.2699;15.8479; 0.1200;15.3562; 0.1200; -5.84; -0.71; -45.74;0
010.9726;+85.2253;15.7416; 0.0209;15.3296; 0.0155; -5.39; -0.78; -41.78;1
011.5964;+85.2374;15.7542; 0.0194;15.3140; 0.0137; -5.66;  0.18; -44.22;1
010.3978;+85.3514;15.7587; 0.0183;15.3395; 0.0166; -5.14; -0.01; -44.12;1
012.2620;+85.1713;15.7580; 0.0206;15.3610; 0.0144; -4.92;  0.08; -43.09;1
011.0081;+85.2397;15.7476; 0.0176;15.3268; 0.0130; -5.24; -0.58; -44.11;1
012.1893;+85.1013;18.4201; 0.0952;17.8183; 0.0576; -3.19; -0.69;       ;0
012.8393;+85.2015;15.8188; 0.0206;15.4010; 0.0162; -4.76; -3.26; -21.04;0
010.7442;+85.3186;15.8295; 0.0196;15.4206; 0.0139; -5.36; -0.31; -41.41;1
011.2175;+85.2651;15.8038; 0.0210;15.3515; 0.0142; -5.21; -0.51; -42.43;1
012.0744;+85.2781;16.3199; 0.0226;15.8951; 0.0183; -5.51; -1.51; -42.99;1
012.0475;+85.2310;15.7919; 0.0186;15.3550; 0.0136; -5.92; -0.51; -43.18;1
013.5485;+85.2995;15.8306; 0.0181;15.4238; 0.0153; -5.53; -0.03; -42.25;1
012.6040;+85.1839;15.7778; 0.0228;15.4132; 0.0153; -5.17; -0.24; -42.48;1
012.3115;+85.3862;15.9552; 0.0166;15.5444; 0.0145; -5.43; -0.24; -41.53;1
011.8185;+85.2598;16.1473; 0.0408;15.6733; 0.0415; -6.35; -0.42; -34.24;0
012.2404;+85.3663;16.0626; 0.0201;15.5840; 0.0178; -0.83; -0.44; -38.00;0
010.6263;+85.3108;15.8132; 0.0166;15.4004; 0.0152; -4.97; -0.35; -41.89;1
010.2437;+85.3681;15.8946; 0.0219;15.3340; 0.0160; -0.62;  2.63; -50.82;0
010.4587;+85.3207;15.8426; 0.0180;15.4198; 0.0163; -5.35; -0.19; -41.38;1
011.5073;+85.3270;15.8025; 0.0208;15.4011; 0.0147; -5.14; -0.39; -41.06;1
012.1869;+85.1706;15.9441; 0.0205;15.3933; 0.0143; -2.50;  2.02;       ;0
013.2555;+85.3553;15.7649; 0.0169;15.4197; 0.0141; -2.59;  2.58; -32.38;0
012.1566;+85.2416;15.8503; 0.0206;15.3651; 0.0151;  9.28; -3.03;       ;0
012.9798;+85.1311;15.8520; 0.0259;15.4692; 0.0200; -4.79; -0.08; -42.67;1
011.0541;+85.2744;15.8088; 0.0196;15.3950; 0.0148; -5.08; -0.54; -41.69;1
010.9612;+85.1850;15.7887; 0.0218;15.4129; 0.0163; -4.50;  1.27; -17.15;0
011.0519;+85.1934;16.2834; 0.0231;15.9632; 0.0193;-15.85; -4.02;       ;0
010.9928;+85.2487;15.8792; 0.0193;15.4461; 0.0182; -5.23; -0.93; -41.74;1
010.5847;+85.2340;15.8847; 0.0190;15.4646; 0.0171; -5.48; -0.76; -42.68;1
012.1297;+85.1611;15.8490; 0.0220;15.4373; 0.0162; -5.08; -0.31; -43.30;1
011.0703;+85.2889;15.8318; 0.0210;15.4235; 0.0149; -5.46; -0.59; -43.07;1
012.6929;+85.2760;15.9117; 0.0197;15.4979; 0.0149; -5.00; -0.31; -41.64;1
011.9322;+85.1912;15.9135; 0.0191;15.4598; 0.0166; -5.44; -0.40; -41.23;1
010.8154;+85.1174;16.3885; 0.0356;15.5180; 0.0152; 14.87;-10.15;       ;0
011.7267;+85.2496;15.8513; 0.0197;15.4567; 0.0165; -5.75; -0.77; -43.24;1
012.2235;+85.3315;15.9624; 0.0201;15.5208; 0.0155; -4.86; -0.77; -42.65;1
012.4398;+85.2492;15.9118; 0.0195;15.4559; 0.0145; -6.01; -0.43; -42.20;1
013.6911;+85.1246;15.9440; 0.0259;15.5653; 0.0248; -2.63;  0.37;       ;0
011.7096;+85.2615;15.8320; 0.0174;15.4365; 0.0153; -5.71; -0.71; -41.65;1
010.9917;+85.1916;15.9060; 0.0245;15.4893; 0.0162; -5.20; -0.63; -43.24;1
011.6610;+85.3820;16.0147; 0.0226;15.5383; 0.0161; -5.16; -0.18; -40.36;1
013.2233;+85.2836;16.0415; 0.0237;15.5949; 0.0170; -4.92;  0.05; -43.51;1
012.7801;+85.2873;16.6888; 0.0235;15.6374; 0.0185; -3.32; 13.15;       ;0
013.3238;+85.2161;15.9490; 0.0187;15.5478; 0.0165; -5.44; -0.47; -41.14;1
011.7759;+85.2419;15.9652; 0.0201;15.5292; 0.0173; -5.51; -0.74; -42.60;1
012.0693;+85.1943;15.9126; 0.0193;15.5116; 0.0157; -5.37; -0.66; -43.76;1
011.1246;+85.3486;16.0878; 0.0233;15.6056; 0.0175; -5.43; -0.21; -48.17;0
012.0208;+85.3619;16.2592; 0.0187;15.7015; 0.0177; -4.11;  2.28; -95.97;0
011.9661;+85.2738;16.0148; 0.0242;15.6200; 0.0209; -5.58; -0.66; -43.81;1
012.0938;+85.2652;16.2057; 0.1306;15.6274; 0.1154; -5.63; -1.00;       ;1
011.0059;+85.3324;15.9937; 0.0212;15.5789; 0.0160; -4.99; -0.08; -42.78;1
012.3796;+85.3766;16.3268; 0.0229;15.6271; 0.0192; -1.83;  5.13;       ;0
012.0923;+85.2979;16.0060; 0.0209;15.5950; 0.0151; -5.95; -0.89; -42.94;1
012.4937;+85.2460;15.9237; 0.0215;15.5308; 0.0150; -5.59; -0.15; -42.33;1
010.9871;+85.1887;15.9783; 0.0206;15.5687; 0.0165; -5.21; -0.79; -42.29;1
011.3837;+85.2378;16.3820; 0.0241;15.8807; 0.0191; -6.17;  0.27; -41.57;1
011.7753;+85.1322;16.0653; 0.0237;15.5988; 0.0162; -4.80;  0.39; -43.92;1
013.5156;+85.1408;15.9756; 0.0296;15.6143; 0.0235; -6.41;  1.41;-104.54;0
012.7161;+85.2708;18.0510; 0.0710;17.4064; 0.0637; -4.26;  1.42;       ;0
013.7679;+85.3086;16.0526; 0.0234;15.6346; 0.0173; -4.72; -0.54; -43.13;1
011.7531;+85.2782;15.9081; 0.0210;15.4998; 0.0146; -6.10; -0.59; -41.01;1
010.7709;+85.1901;16.1125; 0.0258;15.6822; 0.0184; -5.00; -0.98; -40.08;1
013.1912;+85.2040;16.0713; 0.0304;15.6290; 0.0236; -5.12; -0.18; -32.99;0
011.2678;+85.2332;16.1224; 0.0214;15.6872; 0.0167; -5.87; -1.14; -41.72;1
010.3286;+85.3203;16.1668; 0.0259;15.6622; 0.0198; -5.20; -0.21; -42.93;1
011.3266;+85.3458;16.1010; 0.0233;15.6761; 0.0168; -5.06; -0.16; -43.03;1
011.6813;+85.2017;16.0012; 0.0203;15.5470; 0.0165; -5.62; -0.43; -37.99;0
011.8769;+85.2542;16.0702; 0.0248;15.5973; 0.0163; -5.97; -0.92; -46.50;0
012.6881;+85.2220;16.0737; 0.0231;15.6153; 0.0189; -5.73; -0.66; -41.69;1
012.7686;+85.2517;16.0574; 0.0213;15.6422; 0.0176; -3.77;  2.71; -28.24;0
010.6920;+85.2014;16.1021; 0.0248;15.6509; 0.0188; -8.94;  4.01;       ;0
013.7252;+85.1574;16.0535; 0.0313;15.6678; 0.0224; -5.10; -0.45; -35.23;0
012.9233;+85.2094;16.2073; 0.0329;15.7946; 0.0230; -5.56;  1.07; -41.01;0
011.7380;+85.1881;16.0871; 0.0288;15.6553; 0.0252; -6.54; -2.48;       ;0
012.3481;+85.2875;16.0536; 0.0187;15.6205; 0.0150; -6.70;  1.57;       ;0
012.3455;+85.2023;15.9589; 0.0216;15.5656; 0.0163; -5.75; -0.67; -41.86;1
012.2911;+85.1526;16.0207; 0.0238;15.6087; 0.0182; -5.12;  0.34; -39.45;0
013.0077;+85.2942;16.0773; 0.0225;15.6637; 0.0178; -4.66;  0.01; -42.45;1
011.3412;+85.2074;16.0163; 0.0228;15.6113; 0.0188; -5.14; -0.48; -43.44;1
011.4989;+85.1191;16.0830; 0.0264;15.6699; 0.0197; -5.61; -0.28; -42.29;1
011.4408;+85.3035;16.4641; 0.0669;16.0795; 0.0381; -4.66;  0.37; -26.50;0
010.7985;+85.2457;16.0177; 0.0229;15.5872; 0.0167; -5.39; -0.93; -43.07;1
013.7098;+85.2614;16.1391; 0.0253;15.7333; 0.0195; -5.85;  0.24; -41.28;1
010.9559;+85.0799;16.1117; 0.0147;15.7075; 0.0214; -4.48;  1.14; -50.08;0
011.8530;+85.2961;16.1614; 0.0219;15.7044; 0.0168;  2.37;  5.91;       ;0
012.8662;+85.2124;16.0072; 0.0251;15.6025; 0.0195; -5.23; -0.47; -43.11;1
012.0933;+85.2173;16.0933; 0.0214;15.6815; 0.0173; -5.87; -0.51; -41.30;1
011.7374;+85.1972;16.1398; 0.0216;15.7200; 0.0187; -5.43; -0.41; -31.67;0
011.6073;+85.1858;16.0255; 0.0209;15.6872; 0.0174; -4.46; -0.39; -12.56;0
010.4610;+85.2630;16.1525; 0.0254;15.7259; 0.0184; -4.90; -0.73; -41.96;1
013.8417;+85.0875;16.0372; 0.0145;15.6211; 0.0295; -5.34; -0.83;  -2.39;0
012.2754;+85.2014;16.0709; 0.0222;15.6787; 0.0171; -5.87; -0.54; -42.40;1
012.5761;+85.2690;16.1731; 0.0176;15.7539; 0.0184; -5.56; -0.20; -42.68;1
012.1897;+85.2698;16.1142; 0.0210;15.7059; 0.0169; -5.50; -0.75; -42.47;1
012.3299;+85.2000;16.0559; 0.0242;15.6498; 0.0166; -5.45; -0.86; -42.86;1
010.9928;+85.2308;16.1215; 0.0244;15.6923; 0.0166; -5.32; -1.10; -42.94;1
011.1287;+85.2125;16.1870; 0.0271;15.7374; 0.0186; -5.30; -0.76; -42.06;1
013.8673;+85.3077;16.2187; 0.0229;15.7586; 0.0181; -5.23; -0.81; -54.57;0
011.6188;+85.2661;16.1102; 0.0203;15.7000; 0.0175; -5.54; -0.80; -42.86;1
012.8116;+85.1181;16.1298; 0.0309;15.7988; 0.0236;  0.36;  1.34;       ;0
012.9702;+85.1385;16.1114; 0.0291;15.7386; 0.0210; -6.14;  4.05;       ;0
012.2552;+85.3661;17.4043; 0.0466;17.0487; 0.0472; -0.12;  3.51;       ;0
012.7339;+85.2161;16.1491; 0.0261;15.7409; 0.0181; -5.44; -0.16; -42.41;1
012.7510;+85.3264;16.2158; 0.0254;15.7965; 0.0195; -4.58;  0.00; -43.16;1
011.5397;+85.3457;16.2390; 0.0262;15.8047; 0.0191; -5.07; -0.38; -42.30;1
013.3249;+85.2598;16.3109; 0.0223;15.8865; 0.0204; -4.82; -0.15; -42.08;1
012.4735;+85.2140;16.0880; 0.0244;15.6953; 0.0183; -4.75; -1.42; -89.10;0
012.9123;+85.0947;16.2082; 0.0164;15.8275; 0.0274; -2.01;  2.41; -29.77;0
011.4744;+85.2016;16.1929; 0.0261;15.7702; 0.0194; -5.38; -0.46; -41.85;1
012.9096;+85.2653;16.1907; 0.0209;15.7759; 0.0181; -5.18; -0.45; -43.66;1
010.9859;+85.2496;18.6122; 0.1168;17.8932; 0.0639; -5.45; -0.13;       ;1
011.2988;+85.2825;16.2647; 0.0244;15.8304; 0.0190; -5.21; -0.75; -41.92;1
012.1392;+85.1719;16.1753; 0.0266;15.7500; 0.0199; -5.24; -0.08; -49.80;0
010.1447;+85.3224;16.1522; 0.0191;15.7021; 0.0157; -5.23;  0.32; -42.38;1
013.7100;+85.2144;16.3280; 0.0343;15.9051; 0.0227; -5.09; -0.20; -41.90;1
010.8568;+85.1176;16.5584; 0.0222;15.7970; 0.0196; -9.66; -4.55;       ;0
012.2989;+85.3340;16.1730; 0.0226;15.7513; 0.0274; -6.11;  2.95; -68.94;0
013.5037;+85.0875;16.2039; 0.0195;15.8099; 0.0293; -4.85; -0.31; -41.28;1
012.5722;+85.1061;16.2409; 0.0342;15.8562; 0.0267; -2.65;  1.66;       ;0
010.8574;+85.0819;16.3212; 0.0173;15.8548; 0.0223; -3.17;  2.49; -75.25;0
