#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:38:48 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:38:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/374/504/table2&-order=I&-out=No&-out=Xpos&-out=Ypos&-out=Vmag&-out=e_Vmag&-out=B-V&-out=V-I&-out=U-B&-out=e_Imag&-out=e_Bmag&-out=e_Umag&-out=chi&-out=Sharp&-out=r&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33740504
#Name: J/A+A/374/504
#Title: UBVI photometry of NGC 7654 (Pandey+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/374/504	    IVOID of underlying data collection
#INFO	creator=Pandey	    First author or institution
#INFO	cites=bibcode:2001A&A...374..504P	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/374/504	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33740504	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-05-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_374_504_table2:
#Name: J/A+A/374/504/table2
#Title: UBVIc photometric data of the stars in the field of NGC 7654
#Column	No	(I6)	Identification number of the stars	[ucd=meta.id;meta.main]
#Column	Xpos	(F8.2)	Pixel coordinate (1)	[ucd=pos.frame]
#Column	Ypos	(F8.2)	Pixel coordinate (1)	[ucd=pos.frame]
#Column	Vmag	(F6.3)	Magnitude in the V (Johnson) band	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Errors in the V (Johnson) band	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F7.3)	? B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-I	(F6.3)	? V-I (Cousins) colour index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	U-B	(F6.3)	? U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_Imag	(F6.3)	? Errors in the I (Cousins) band	[ucd=stat.error;phot.mag;em.opt.I]
#Column	e_Bmag	(F6.3)	? Errors in the B (Johnson) band	[ucd=stat.error;phot.mag;em.opt.B]
#Column	e_Umag	(F6.3)	? Errors in the U (Johnson) band	[ucd=stat.error;phot.mag;em.opt.U]
#Column	chi	(F6.3)	{chi} parameter in the V (Johnson) band (3)	[ucd=stat.error]
#Column	Sharp	(F6.3)	Sharpness parameter in the V (Johnson) band (2)	[ucd=stat.fit.param]
#Column	r	(F9.3)	Radial distance of the stars from the cluster center (X=855, Y=755)	[ucd=phys.angSize]
#Column	_RA	(F9.5)	Position computed from a comparison with UCAC4 (Cat. I/322) ({sigma}=0.2'') (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position computed from a comparison with UCAC4 (Cat. I/322) ({sigma}=0.2'') (declination part)	[ucd=pos.eq.dec;meta.main]
No;Xpos;Ypos;Vmag;e_Vmag;B-V;V-I;U-B;e_Imag;e_Bmag;e_Umag;chi;Sharp;r;_RA;_DE
  5084;  654.40; 1169.82;19.155; 0.139;  1.329; 1.964; 0.089; 0.042; 0.074; 0.351; 0.610; 0.043;  460.781;351.31138;+61.74235
  5085;  622.73;  357.03;17.078; 0.029;  1.727; 2.363; 1.025; 0.022; 0.023; 0.216; 0.780; 0.130;  460.791;351.34094;+61.40361
  5086;  450.36;  534.55;20.152; 0.328;  1.001; 1.881;      ; 0.071; 0.139;      ; 0.570;-1.788;  460.795;351.49105;+61.47769
  5087;  615.41;  361.39;19.778; 0.269;  2.423; 1.934;      ; 0.060; 0.248;      ; 0.680;-0.289;  460.797;351.34730;+61.40544
  5088; 1292.44;  609.93;17.994; 0.044;  1.187; 1.728; 0.840; 0.027; 0.031; 0.326; 0.540;-0.043;  460.872;350.75522;+61.50712
  5089;  598.97; 1138.29;19.599; 0.183;  1.581; 1.306;      ; 0.110; 0.120;      ; 0.540;-0.189;  460.938;351.36024;+61.72927
  5090;  637.23;  348.75;20.233; 0.313;  1.226; 1.758;-0.974; 0.102; 0.201; 0.340; 0.490;-0.144;  460.938;351.32833;+61.40015
  5091;  397.20;  700.87;18.015; 0.096;  1.186; 1.605; 0.169; 0.053; 0.039; 0.132; 1.310; 0.126;  460.987;351.53755;+61.54700
  5092;  898.15; 1214.19;19.858; 0.187;  1.440; 1.646;-0.597; 0.092; 0.130; 0.297; 0.390; 0.291;  461.211;351.09653;+61.76040
  5093;  841.08; 1216.01;20.542; 0.446;  0.709; 2.664;      ; 0.071; 0.268;      ; 0.490;-2.019;  461.223;351.14680;+61.76129
  5094; 1103.80; 1143.49;20.231; 0.306;  2.250; 2.467;-1.461; 0.061; 0.370; 0.304; 0.450; 0.135;  461.331;350.91591;+61.73029
  5095;  754.18; 1205.29;18.802; 0.107;  1.634; 1.953;      ; 0.046; 0.075;      ; 0.650;-0.389;  461.438;351.22340;+61.75699
  5096; 1292.99;  900.59;17.080; 0.019;  1.328; 1.725; 0.598; 0.021; 0.028; 0.106; 0.480;-0.081;  461.559;350.75185;+61.62826
  5097; 1150.69;  400.34;19.613; 0.158;  1.232; 1.356;-0.203; 0.110; 0.107; 0.368; 0.340;-0.751;  461.754;350.88080;+61.42038
  5098;  396.08;  806.53;20.277; 0.382;  1.216; 2.059;-1.096; 0.086; 0.181; 0.206; 0.540;-0.453;  461.800;351.53860;+61.59104
  5099; 1034.43;  329.47;18.837; 0.103;  1.399; 1.666; 0.082; 0.048; 0.058; 0.303; 0.560; 0.374;  461.809;350.98258;+61.39126
  5100; 1126.67; 1128.68;19.053; 0.151;  1.079; 1.961; 0.429; 0.094; 0.143; 0.518; 0.750; 0.784;  461.991;350.89591;+61.72404
  5101;  411.60;  625.27;19.870; 0.227;  1.241; 2.017;-0.332; 0.045; 0.128; 0.427; 0.490;-0.123;  461.992;351.52492;+61.51549
  5102; 1223.91; 1033.12;19.793; 0.203;  1.967; 1.851;-1.228; 0.087; 0.166; 0.225; 0.460; 0.100;  462.003;350.81122;+61.68381
  5103; 1312.87;  693.14;19.096; 0.110;  1.278; 1.636; 0.319; 0.051; 0.064; 0.466; 0.490;-0.029;  462.027;350.73652;+61.54171
  5104; 1079.47;  351.16;16.255; 0.014;  0.932; 1.361; 0.343; 0.021; 0.015; 0.032; 0.750;-0.117;  462.029;350.94322;+61.40015
  5105;  395.03;  710.72;19.922; 0.261;  2.186; 2.214;      ; 0.063; 0.306;      ; 0.450; 0.609;  462.095;351.53946;+61.55111
  5106; 1316.60;  777.08;16.133; 0.012;  1.214; 1.628; 0.564; 0.023; 0.026; 0.039; 0.660;-0.091;  462.132;350.73240;+61.57667
  5107;  767.46;  301.19;19.084; 0.143;  1.574; 1.425;      ; 0.057; 0.089;      ; 0.710; 0.066;  462.176;351.21510;+61.38014
  5108;  520.19;  436.35;19.369; 0.153;  1.036; 2.890;-0.077; 0.173; 0.103; 0.385; 0.480; 0.468;  462.211;351.43017;+61.43674
  5109; 1178.24;  424.61;19.385; 0.132;  1.340; 1.871;-0.590; 0.066; 0.089; 0.216; 0.430;-0.304;  462.218;350.85659;+61.43039
  5110; 1099.84; 1147.10;19.375; 0.193;  2.993; 1.457;-1.406; 0.079; 0.289; 0.222; 0.730;-0.500;  462.264;350.91937;+61.73181
  5111;  453.62;  525.63;16.777; 0.015;  1.010; 1.483; 0.379; 0.022; 0.014; 0.041; 0.490;-0.022;  462.297;351.48820;+61.47397
  5112;  393.99;  718.09;15.065; 0.007;  1.023; 1.311; 0.431; 0.027; 0.019; 0.012; 0.760;-0.068;  462.483;351.54037;+61.55418
  5113; 1310.52;  835.23;19.475; 0.161;  1.400; 1.848;-0.176; 0.052; 0.085; 0.397; 0.510;-0.171;  462.529;350.73714;+61.60094
  5114;  404.38;  650.72;16.674; 0.014;  0.926; 1.360; 0.309; 0.029; 0.021; 0.039; 0.530;-0.082;  462.530;351.53125;+61.52610
  5115;  825.38; 1216.58;15.538; 0.009;  1.063; 1.379; 0.650; 0.028; 0.031; 0.023; 0.750;-0.091;  462.533;351.16063;+61.76156
  5116;  548.46; 1101.41;16.831; 0.021;  0.844; 1.619; 0.427; 0.017; 0.031; 0.055; 0.720;-0.072;  462.570;351.40474;+61.71393
  5117;  395.65;  809.76;20.247; 0.345;  0.834; 2.113;      ; 0.079; 0.130;      ; 0.490;-0.648;  462.599;351.53898;+61.59239
  5118;  402.09;  660.63;18.041; 0.053;  1.874; 2.279; 0.152; 0.029; 0.041; 0.257; 0.600;-0.234;  462.640;351.53325;+61.53023
  5119;  581.93; 1128.48;19.605; 0.156;  1.472; 1.922;      ; 0.056; 0.119;      ; 0.420;-0.415;  462.657;351.37525;+61.72519
  5120;  406.33;  868.26;19.684; 0.191;  1.423; 2.161;-0.183; 0.056; 0.114; 0.537; 0.490;-0.152;  462.747;351.52965;+61.61677
  5121;  392.84;  731.74;19.316; 0.137;  1.589; 1.648;      ; 0.049; 0.088;      ; 0.500;-0.088;  462.748;351.54139;+61.55987
  5122;  750.17; 1205.75;18.460; 0.069;  1.491; 1.556;      ; 0.039; 0.057;      ; 0.580;-0.122;  462.777;351.22693;+61.75719
  5123; 1022.41; 1186.44;19.547; 0.172;  1.639; 2.426;      ; 0.085; 0.125;      ; 0.490; 0.743;  462.781;350.98725;+61.74848
  5124;  771.61; 1210.23;20.521; 0.466; -0.012; 2.708;      ; 0.058; 0.105;      ; 0.540;-1.019;  462.808;351.20802;+61.75902
  5125;  813.73;  294.03;19.410; 0.140;  0.596; 2.116;      ; 0.076; 0.041;      ; 0.440;-0.577;  462.812;351.17486;+61.37707
  5126;  473.36;  493.15;17.541; 0.030;  1.073; 1.617; 0.254; 0.034; 0.020; 0.082; 0.540; 0.058;  462.831;351.47098;+61.46043
  5127;  991.52; 1197.29;16.906; 0.016;  1.252; 1.704; 0.591; 0.020; 0.036; 0.103; 0.460;-0.071;  462.878;351.01438;+61.75309
  5128;  450.61;  980.23;19.901; 0.259;  0.917; 2.191;-0.274; 0.061; 0.095; 0.392; 0.560; 0.361;  462.889;351.49081;+61.66345
  5129;  507.90; 1061.31;18.077; 0.032;  1.494; 1.823;      ; 0.029; 0.040;      ; 0.300;-0.101;  462.934;351.44044;+61.69723
  5130;  760.72;  301.76;17.814; 0.042;  1.888; 2.386;      ; 0.018; 0.037;      ; 0.570; 0.096;  462.942;351.22096;+61.38039
  5131; 1267.94;  545.43;12.150; 0.007;  0.708; 0.928; 0.039; 0.020; 0.014; 0.007; 1.930;-0.048;  463.078;350.77725;+61.48036
  5132;  601.52;  367.42;19.607; 0.175;  1.008; 1.342;-0.238; 0.132; 0.073; 0.359; 0.510; 0.040;  463.105;351.35939;+61.40796
  5133; 1276.94;  946.08;20.181; 0.262;       ; 2.032;      ; 0.065;      ; 0.211; 0.400; 0.239;  463.183;350.76548;+61.64730
  5134;  400.94;  846.61;19.165; 0.128;  1.379; 2.109; 0.026; 0.041; 0.094; 0.327; 0.540;-0.013;  463.209;351.53436;+61.60775
  5135;  653.86;  337.67;18.804; 0.060;  1.134; 1.715; 0.276; 0.051; 0.046; 0.293; 0.300;-0.208;  463.275;351.31387;+61.39551
  5136;  486.29;  474.36;14.107; 0.004;  0.527; 0.914;-0.082; 0.025; 0.007; 0.008; 0.720; 0.010;  463.366;351.45971;+61.45260
  5137; 1215.17;  463.43;19.226; 0.112;  1.374; 1.622; 0.007; 0.044; 0.061; 0.401; 0.430;-0.076;  463.398;350.82405;+61.44641
  5138;  406.98;  873.43;17.269; 0.026;  1.211; 1.510; 0.835; 0.027; 0.019; 0.138; 0.610;-0.122;  463.408;351.52908;+61.61893
  5139; 1187.91;  432.64;17.729; 0.049;  1.033; 1.580; 0.496; 0.056; 0.043; 0.168; 0.820; 0.099;  463.409;350.84809;+61.43369
  5140;  463.51; 1002.97;15.246; 0.008;  1.616; 2.021; 1.415; 0.020; 0.020; 0.066; 0.780;-0.053;  463.415;351.47948;+61.67292
  5141;  391.60;  758.77;19.812; 0.212;  3.405; 1.708;      ; 0.081; 0.524;      ; 0.490; 0.604;  463.419;351.54249;+61.57113
  5142;  926.65; 1212.93;19.395; 0.130;  1.093; 2.185;-0.176; 0.042; 0.076; 0.326; 0.410;-0.530;  463.496;351.07143;+61.75980
  5143; 1210.36;  457.39;17.252; 0.030;  0.699; 1.316; 0.544; 0.029; 0.022; 0.061; 0.660;-0.095;  463.527;350.82830;+61.44392
  5144; 1258.69;  982.91;18.368; 0.069;  1.116; 1.593;-0.036; 0.028; 0.061; 0.143; 0.640;-0.065;  463.576;350.78114;+61.66273
  5145; 1223.40; 1036.65;19.488; 0.154;  2.006; 2.240;      ; 0.035; 0.181;      ; 0.450; 0.703;  463.733;350.81164;+61.68528
  5146;  514.82; 1070.21;19.170; 0.132;  1.184; 1.857;-0.137; 0.038; 0.057; 0.272; 0.560;-0.027;  463.772;351.43435;+61.70094
  5147;  396.86;  682.37;18.123; 0.046;  1.243; 1.743; 0.913; 0.057; 0.036; 0.419; 0.490; 0.133;  463.861;351.53784;+61.53929
  5148;  459.35;  512.75;17.906; 0.043;  1.062; 1.555; 0.948; 0.033; 0.018; 0.330; 0.570;-0.108;  463.923;351.48320;+61.46860
  5149;  994.69;  312.52;16.331; 0.013;  0.995; 1.442; 0.345; 0.020; 0.016; 0.028; 0.660;-0.059;  464.011;351.01729;+61.38432
  5150;  392.92;  797.80;18.466; 0.058;  0.992; 1.442; 0.424; 0.039; 0.035; 0.219; 0.460;-0.147;  464.054;351.54136;+61.58740
  5151; 1198.55; 1066.99;19.391; 0.135;  1.870; 2.041;-0.918; 0.064; 0.213; 0.259; 0.440;-0.152;  464.069;350.83321;+61.69804
  5152;  860.84; 1219.09;19.715; 0.162;  1.602; 1.442;-1.163; 0.119; 0.155; 0.176; 0.390; 0.088;  464.126;351.12937;+61.76253
  5153; 1102.87;  362.59;18.109; 0.046;  1.129; 1.544; 0.701; 0.031; 0.022; 0.237; 0.510; 0.228;  464.143;350.92275;+61.40483
  5154; 1302.80;  632.61;19.312; 0.150;  1.732; 1.400;-0.496; 0.071; 0.113; 0.273; 0.520; 0.620;  464.224;350.74594;+61.51653
  5155;  402.15;  857.38;19.404; 0.128;  1.412; 1.664; 0.312; 0.052; 0.074; 0.514; 0.400;-0.708;  464.277;351.53331;+61.61224
  5156;  968.30; 1205.34;16.671; 0.011;  1.222; 1.595; 0.668; 0.020; 0.041; 0.064; 0.360;-0.054;  464.375;351.03478;+61.75652
  5157; 1300.78;  624.83;19.870; 0.224;  0.811; 2.595;-0.043; 0.027; 0.111; 0.424; 0.430;-0.303;  464.396;350.74778;+61.51329
  5158;  460.42;  999.90;16.750; 0.017;  0.932; 1.397; 0.308; 0.026; 0.024; 0.040; 0.410;-0.018;  464.407;351.48220;+61.67165
  5159;  456.00;  992.71;18.882; 0.101;  1.170; 1.794;      ; 0.054; 0.055;      ; 0.520;-0.086;  464.444;351.48608;+61.66865
  5160;  736.94;  305.74;17.159; 0.021;  1.322; 1.686; 0.985; 0.030; 0.020; 0.163; 0.510;-0.043;  464.516;351.24164;+61.38209
  5161;  557.90;  397.88;17.827; 0.034;  1.436; 1.696; 0.702; 0.025; 0.025; 0.232; 0.450;-0.055;  464.545;351.39734;+61.42069
  5162; 1148.65;  394.99;19.423; 0.163;  1.138; 1.725;-0.197; 0.059; 0.084; 0.313; 0.550; 0.706;  464.579;350.88262;+61.41816
  5163;  567.64;  389.81;19.419; 0.161;  1.835; 1.832;-1.156; 0.045; 0.155; 0.164; 0.500;-0.730;  464.690;351.38887;+61.41732
  5164;  570.13;  387.71;19.698; 0.192;  1.661; 2.107;      ; 0.041; 0.154;      ; 0.430;-0.006;  464.814;351.38670;+61.41644
  5165;  392.38;  709.50;18.583; 0.078;  1.134; 1.649; 0.330; 0.032; 0.045; 0.223; 0.520; 0.191;  464.852;351.54178;+61.55060
  5166;  942.46;  298.37;19.684; 0.159;  1.448; 1.803;      ; 0.080; 0.144;      ; 0.390;-0.028;  464.932;351.06283;+61.37857
  5167;  463.31;  504.39;15.563; 0.007;  0.690; 1.010; 0.543; 0.026; 0.011; 0.016; 0.620;-0.031;  465.003;351.47975;+61.46512
  5168;  727.17;  307.90;12.059; 0.005;  1.071; 1.280; 0.559; 0.011; 0.006; 0.008; 1.310; 0.002;  465.012;351.25014;+61.38301
  5169;  465.60; 1009.18;13.018; 0.004;  0.540; 0.639; 0.305; 0.024; 0.018; 0.008; 0.960;-0.043;  465.015;351.47764;+61.67551
  5170;  922.64; 1215.19;19.218; 0.120;  1.494; 1.808; 0.399; 0.046; 0.111; 0.532; 0.470; 0.087;  465.134;351.07495;+61.76075
  5171; 1046.34; 1178.97;17.497; 0.032;  1.474; 1.732; 0.953; 0.040; 0.034; 0.248; 0.620; 0.013;  465.148;350.96623;+61.74528
  5172; 1308.87;  652.44;15.360; 0.020;  0.642; 1.194; 0.255; 0.024; 0.019; 0.012; 2.090; 0.105;  465.313;350.74043;+61.52476
  5173;  575.75;  382.69;16.839; 0.020;  1.314; 1.958; 0.678; 0.019; 0.016; 0.102; 0.650; 0.151;  465.395;351.38181;+61.41435
  5174; 1266.17;  536.91;18.030; 0.045;  1.051; 1.741; 0.239; 0.046; 0.026; 0.129; 0.520;-0.023;  465.427;350.77887;+61.47681
  5175; 1032.40;  324.68;16.462; 0.016;  1.579; 2.149; 1.242; 0.015; 0.017; 0.153; 0.660;-0.110;  465.451;350.98438;+61.38927
  5176;  483.97; 1036.12;16.859; 0.016;  1.015; 1.408; 0.424; 0.029; 0.026; 0.051; 0.490;-0.032;  465.507;351.46149;+61.68674
  5177;  394.53;  685.86;19.700; 0.197;  1.192; 2.557;-0.479; 0.113; 0.107; 0.329; 0.470;-0.261;  465.636;351.53988;+61.54074
  5178;  598.29; 1143.50;18.940; 0.090;  1.053; 1.486; 0.089; 0.077; 0.072; 0.252; 0.420; 0.037;  465.654;351.36083;+61.73144
  5179;  479.69;  479.33;18.922; 0.120;  1.111; 2.031;-0.061; 0.105; 0.038; 0.300; 0.640;-0.339;  465.675;351.46546;+61.45467
  5180;  659.34;  332.40;19.511; 0.172;  2.194; 2.097;-0.939; 0.093; 0.215; 0.315; 0.520;-0.335;  465.697;351.30911;+61.39331
  5181;  574.62; 1126.85;19.738; 0.182;  1.523; 1.831;-0.803; 0.077; 0.117; 0.257; 0.440;-0.573;  465.710;351.38169;+61.72452
  5182;  826.98; 1219.89;17.027; 0.022;  1.819; 2.492; 0.510; 0.030; 0.048; 0.155; 0.570;-0.045;  465.730;351.15920;+61.76294
  5183;  613.02; 1152.99;17.283; 0.025;  0.971; 1.349; 0.567; 0.026; 0.024; 0.092; 0.600;-0.173;  465.779;351.34784;+61.73538
  5184;  604.09; 1147.43;19.690; 0.221;  1.617; 1.599;-0.639; 0.100; 0.104; 0.265; 0.610;-0.202;  465.789;351.35572;+61.73307
  5185;  435.69;  551.77;20.012; 0.274;  1.761; 2.806;      ; 0.043; 0.229;      ; 0.490;-0.692;  465.966;351.50386;+61.48486
  5186; 1307.94;  645.58;15.840; 0.021;  1.302; 1.816; 0.709; 0.021; 0.020; 0.052; 1.510; 0.001;  465.974;350.74132;+61.52191
  5187; 1232.99;  482.48;17.726; 0.036;  1.652; 2.272; 0.754; 0.023; 0.037; 0.262; 0.530;-0.055;  465.985;350.80833;+61.45428
  5188;  452.51;  989.88;15.296; 0.010;  0.867; 1.237; 0.438; 0.024; 0.020; 0.015; 1.080; 0.090;  466.010;351.48915;+61.66747
  5189;  474.62; 1024.24;15.366; 0.009;  1.610; 1.969; 1.059; 0.024; 0.020; 0.048; 0.840;-0.100;  466.024;351.46971;+61.68179
  5190; 1266.60;  973.65;19.227; 0.125;  1.037; 2.334;      ; 0.038; 0.072;      ; 0.470;-0.066;  466.073;350.77429;+61.65883
  5191;  982.95;  306.78;19.468; 0.213;  1.282; 1.731;-0.303; 0.058; 0.077; 0.286; 0.730;-0.295;  466.128;351.02754;+61.38196
  5192;  951.53; 1211.30;20.431; 0.314;  1.425; 2.216;      ; 0.103; 0.259;      ; 0.380; 0.415;  466.396;351.04952;+61.75905
  5193;  663.99; 1180.50;19.571; 0.164;  1.164; 2.087;-0.103; 0.043; 0.081; 0.385; 0.450; 0.569;  466.401;351.30291;+61.74679
  5194; 1181.98;  422.33;20.154; 0.273;  1.068; 2.103;      ; 0.091; 0.143;      ; 0.440; 0.390;  466.462;350.85334;+61.42942
  5195; 1039.84;  326.67;17.843; 0.067;  1.143; 1.590; 0.222; 0.043; 0.043; 0.133; 1.050; 0.410;  466.509;350.97789;+61.39007
  5196;  686.26; 1189.93;18.316; 0.049;  1.176; 2.119; 0.366; 0.019; 0.035; 0.271; 0.410; 0.027;  466.522;351.28327;+61.75069
  5197;  400.91;  647.97;17.790; 0.034;  1.102; 1.603; 0.159; 0.036; 0.028; 0.098; 0.300;-0.103;  466.535;351.53428;+61.52495
  5198;  691.21; 1191.90;19.351; 0.119;  1.783; 1.675;-0.678; 0.066; 0.102; 0.232; 0.390; 0.041;  466.595;351.27890;+61.75151
  5199; 1304.12;  628.42;17.122; 0.022;  1.275; 1.664; 0.890; 0.020; 0.020; 0.159; 0.570;-0.061;  466.614;350.74483;+61.51478
  5200; 1126.59; 1134.46;19.273; 0.132;  2.068; 1.857;-0.957; 0.114; 0.163; 0.188; 0.500; 0.210;  466.637;350.89593;+61.72644
  5201;  894.88; 1219.99;18.179; 0.047;  1.034; 1.497; 0.579; 0.036; 0.034; 0.181; 0.480;-0.173;  466.697;351.09938;+61.76282
  5202; 1299.65;  896.91;19.573; 0.158;  2.075; 2.014;-0.669; 0.053; 0.205; 0.397; 0.430;-0.710;  466.742;350.74604;+61.62670
  5203; 1264.34;  530.72;19.431; 0.165;  3.068; 1.542;      ; 0.076; 0.405;      ; 0.570;-0.677;  466.758;350.78053;+61.47424
  5204;  669.76; 1183.43;18.622; 0.074;  1.472; 1.950;      ; 0.068; 0.090;      ; 0.380;-0.045;  466.761;351.29782;+61.74801
  5205;  480.91; 1034.16;18.191; 0.056;  1.688; 2.040;      ; 0.031; 0.061;      ; 0.430;-0.139;  466.768;351.46418;+61.68592
  5206; 1015.94; 1193.16;19.283; 0.125;  1.670; 2.610;      ; 0.057; 0.188;      ; 0.410; 0.311;  466.784;350.99290;+61.75130
  5207; 1118.92;  369.94;18.623; 0.062;  0.950; 1.698; 0.734; 0.043; 0.030; 0.337; 0.370; 0.051;  466.823;350.90872;+61.40783
  5208;  800.23;  291.36;19.425; 0.147;  2.280; 1.454;-1.151; 0.094; 0.178; 0.351; 0.500;-0.938;  466.861;351.18662;+61.37598
  5209;  791.32;  292.49;19.519; 0.155;  1.621; 1.042;      ; 0.237; 0.098;      ; 0.490;-0.507;  466.870;351.19437;+61.37647
  5210;  530.90; 1091.05;18.017; 0.043;  1.100; 1.681; 0.247; 0.029; 0.034; 0.188; 0.510; 0.088;  466.872;351.42019;+61.70962
  5211; 1287.57;  930.67;19.063; 0.122;  1.905; 1.799;-0.660; 0.037; 0.112; 0.247; 0.580; 0.418;  466.878;350.75630;+61.64082
  5212;  516.29; 1076.33;18.769; 0.104;  1.632; 2.528;      ; 0.019; 0.073;      ; 0.620; 0.068;  466.881;351.43305;+61.70349
  5213; 1307.11;  638.46;19.396; 0.214;  0.900; 1.868; 0.557; 0.071; 0.071; 0.440; 0.740;-0.243;  466.888;350.74211;+61.51895
  5214;  485.20; 1040.11;20.134; 0.277;  1.155; 2.320;-1.026; 0.058; 0.161; 0.229; 0.380;-0.025;  466.946;351.46041;+61.68840
  5215; 1175.48; 1094.70;15.888; 0.016;  2.166; 2.694; 1.012; 0.020; 0.027; 0.107; 1.130; 0.041;  467.018;350.85325;+61.70968
  5216; 1314.76;  672.90;16.231; 0.013;  1.013; 1.423; 0.438; 0.023; 0.023; 0.030; 0.700;-0.022;  467.034;350.73508;+61.53326
  5217;  629.85; 1164.22;19.152; 0.125;  1.246; 2.065;-0.138; 0.042; 0.065; 0.312; 0.510;-0.247;  467.070;351.33301;+61.74004
  5218;  955.97;  298.96;17.329; 0.026;  1.325; 1.834; 0.480; 0.021; 0.021; 0.097; 0.560;-0.006;  467.081;351.05107;+61.37878
  5219; 1176.67;  416.15;18.874; 0.091;  1.458; 1.552;-0.304; 0.051; 0.057; 0.214; 0.500;-0.094;  467.220;350.85803;+61.42687
  5220; 1071.33; 1169.22;20.517; 0.450;  1.603; 2.664;      ; 0.051; 0.268;      ; 0.520;-0.430;  467.309;350.94430;+61.74113
  5221;  387.82;  767.09;19.645; 0.174;  2.120; 2.058;      ; 0.055; 0.237;      ; 0.450;-0.048;  467.340;351.54581;+61.57460
  5222;  621.65;  350.05;18.628; 0.064;  1.075; 1.659; 0.303; 0.040; 0.035; 0.230; 0.420;-0.115;  467.370;351.34189;+61.40070
  5223; 1101.83; 1151.95;17.467; 0.029;  1.290; 2.008; 0.587; 0.018; 0.025; 0.154; 0.560;-0.019;  467.439;350.91758;+61.73383
  5224; 1234.21; 1028.43;17.694; 0.037;  1.071; 1.757; 0.634; 0.031; 0.031; 0.177; 0.600; 0.036;  467.510;350.80222;+61.68181
  5225;  707.49; 1198.69;20.333; 0.354;  0.767; 2.514;      ; 0.048; 0.192;      ; 0.490;-1.140;  467.562;351.26454;+61.75432
  5226; 1114.74;  366.20;17.776; 0.048;  1.058; 1.439; 0.590; 0.039; 0.025; 0.146; 0.740;-0.440;  467.578;350.91239;+61.40629
  5227;  642.39;  338.53;17.340; 0.023;  0.985; 1.539; 0.730; 0.021; 0.015; 0.133; 0.500; 0.000;  467.598;351.32386;+61.39588
  5228;  716.84;  308.22;14.992; 0.005;  0.724; 1.056; 0.120; 0.020; 0.008; 0.008; 0.430;-0.023;  467.651;351.25913;+61.38315
  5229;  672.89;  324.26;20.415; 0.487;  0.474; 2.878;-0.629; 0.127; 0.126; 0.309; 0.630;-2.425;  467.661;351.29734;+61.38990
  5230; 1248.34; 1007.96;19.447; 0.167;  1.309; 2.494;-0.342; 0.021; 0.106; 0.376; 0.470; 0.814;  467.662;350.79000;+61.67322
  5231;  933.44;  293.80;19.275; 0.121;  1.095; 1.621; 0.000; 0.060; 0.059; 0.315; 0.450;-0.347;  467.825;351.07070;+61.37669
  5232;  387.11;  756.36;17.752; 0.035;  1.220; 1.638; 0.541; 0.027; 0.021; 0.188; 0.540;-0.072;  467.890;351.54642;+61.57013
  5233;  395.00;  669.15;18.909; 0.099;  1.779; 1.730;-0.352; 0.050; 0.102; 0.357; 0.530; 0.233;  467.943;351.53946;+61.53378
  5234;  396.53;  661.17;18.230; 0.043;  1.213; 1.676;      ; 0.024; 0.032;      ; 0.390; 0.237;  467.973;351.53812;+61.53045
  5235; 1251.93;  506.91;19.363; 0.161;  1.611; 1.728;      ; 0.063; 0.101;      ; 0.580;-0.400;  468.085;350.79158;+61.46437
  5236;  494.53; 1053.60;19.535; 0.170;  2.314; 1.408;      ; 0.081; 0.198;      ; 0.540; 0.173;  468.086;351.45220;+61.69402
  5237;  413.74;  911.22;17.192; 0.019;  1.249; 1.605; 0.484; 0.034; 0.022; 0.105; 0.420;-0.077;  468.102;351.52317;+61.63468
