#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:33:09 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:33:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/466/3636/tablea1&-order=I&-out=More&-out=ID&-out=RAICRS&-out=DEICRS&-out=Vmag&-out=e_Vmag&-out=b-y&-out=e_b-y&-out=m1&-out=e_m1&-out=c1&-out=e_c1&-out=beta&-out=e_beta&-out=Member&-out=IPHAS&-out=2MASS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74663636
#Name: J/MNRAS/466/3636
#Title: The young open cluster NGC 7067 (Monguio+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/466/3636	    IVOID of underlying data collection
#INFO	creator=Monguio M.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.466.3636M	    Article or Data origin sources
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/466/3636	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74663636	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_MNRAS_466_3636_tablea1:
#Name: J/MNRAS/466/3636/tablea1
#Title: Coordinates and photometric indexes
#Column	More	(A1)	indicates parameters for B stars or physical parameters for hot stars	[ucd=meta.ref.url]
#Column	ID	(I4)	ID number	[ucd=meta.id;meta.main]
#Column	RAICRS	(A10)	Right ascension (ICRS, Epoch=J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(A9)	Declination (ICRS, Epoch=J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F5.2)	Error in V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	b-y	(F5.2)	b-y color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_b-y	(F5.2)	Error in b-y color index	[ucd=stat.error;phot.color;em.opt.B]
#Column	m1	(F6.2)	m1 index	[ucd=phot.color]
#Column	e_m1	(F5.2)	Error in m1 index	[ucd=stat.error]
#Column	c1	(F6.2)	? c1 index	[ucd=phot.color]
#Column	e_c1	(F5.2)	? Error in c1 index	[ucd=stat.error]
#Column	beta	(F5.2)	? beta index	[ucd=phot.color]
#Column	e_beta	(F5.2)	? Error in beta	[ucd=stat.error]
#Column	Member	(I1)	[0/1] 1 for member	[ucd=meta.code.member]
#Column	IPHAS	(A19)	IPHAS ID (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS ID (HHMMSSss+DDMMSSs)	[ucd=meta.id]
More;ID;RAICRS;DEICRS;Vmag;e_Vmag;b-y;e_b-y;m1;e_m1;c1;e_c1;beta;e_beta;Member;IPHAS;2MASS
 ; 738;21 24 22.9;+48 02 20;15.01; 0.01; 1.24; 0.01;  0.14; 0.01;  0.58; 0.01; 2.61; 0.00;0;J212422.88+480220.4;21242289+4802203
*; 739;21 24 22.5;+47 58 28;16.06; 0.00; 0.44; 0.01;  0.01; 0.01;  0.51; 0.01; 2.76; 0.01;1;J212422.48+475828.2;21242249+4758281
 ; 740;21 24 22.0;+47 55 02;16.41; 0.01; 0.70; 0.01;  0.04; 0.01;  0.56; 0.01; 2.68; 0.01;0;J212422.02+475501.5;
*; 741;21 24 22.0;+48 00 51;16.48; 0.01; 0.52; 0.01; -0.04; 0.02;  0.89; 0.02; 2.85; 0.01;1;J212422.00+480050.8;21242202+4800507
 ; 742;21 24 21.7;+47 55 02;15.20; 0.01; 1.03; 0.01;  0.21; 0.02;  0.44; 0.02; 2.59; 0.01;0;J212421.63+475502.4;21242164+4755023
*; 743;21 24 21.4;+47 56 53;15.40; 0.01; 0.58; 0.01; -0.02; 0.01;  1.12; 0.01; 2.86; 0.00;0;J212421.35+475653.3;21242136+4756533
 ; 744;21 24 21.3;+47 59 41;14.64; 0.01; 0.70; 0.01;  0.01; 0.01;  0.55; 0.00; 2.67; 0.01;0;J212421.23+475941.0;21242123+4759409
*; 745;21 24 20.9;+48 00 33;14.66; 0.01; 0.52; 0.00; -0.08; 0.00;  0.50; 0.01; 2.72; 0.00;1;J212420.91+480033.1;21242091+4800330
 ; 746;21 24 20.3;+47 58 38;16.30; 0.01; 0.82; 0.02;  0.01; 0.04;  0.45; 0.02; 2.62; 0.01;0;J212420.26+475837.7;21242025+4758378
 ; 747;21 24 20.3;+47 59 16;15.67; 0.01; 0.67; 0.01;  0.03; 0.01;  0.69; 0.01; 2.70; 0.01;0;J212420.27+475916.3;21242028+4759163
*; 748;21 24 20.3;+48 04 40;15.44; 0.01; 0.56; 0.00; -0.12; 0.01;  0.45; 0.01; 2.72; 0.01;1;J212420.24+480439.4;21242024+4804393
 ; 749;21 24 19.1;+47 54 23;16.15; 0.02; 0.76; 0.01;  0.03; 0.02;  0.60; 0.01; 2.69; 0.00;0;J212419.07+475423.1;21241908+4754231
 ; 750;21 24 18.0;+47 56 08;13.30; 0.00; 0.49; 0.01;  0.21; 0.01;  0.41; 0.00; 2.60; 0.00;0;J212418.01+475608.3;21241803+4756083
*; 751;21 24 18.0;+47 54 53;15.24; 0.01; 0.56; 0.01;  0.00; 0.01;  1.25; 0.01; 2.87; 0.00;0;J212417.94+475453.0;21241794+4754531
*; 752;21 24 18.0;+47 57 50;15.39; 0.01; 0.56; 0.01;  0.06; 0.01;  1.02; 0.01; 2.87; 0.00;0;J212417.94+475750.2;21241795+4757502
 ; 753;21 24 17.6;+47 54 40;16.44; 0.01; 0.74; 0.01;  0.02; 0.01;  0.58; 0.02; 2.68; 0.01;0;J212417.59+475440.3;21241760+4754403
 ; 754;21 24 17.5;+47 56 09;15.84; 0.01; 1.18; 0.01;  0.10; 0.01;  0.42; 0.04; 2.60; 0.01;0;J212417.52+475609.0;21241752+4756090
*; 755;21 24 17.5;+48 01 33;15.67; 0.00; 0.52; 0.01; -0.05; 0.01;  0.57; 0.01; 2.77; 0.01;1;J212417.50+480132.6;21241750+4801325
 ; 756;21 24 17.4;+47 58 47;16.49; 0.01; 0.72; 0.01; -0.02; 0.02;  0.52; 0.01; 2.66; 0.01;0;J212417.41+475847.3;21241742+4758473
 ; 757;21 24 17.3;+47 58 07;16.18; 0.01; 0.79; 0.01;  0.02; 0.02;  0.60; 0.02; 2.66; 0.00;0;J212417.23+475806.7;21241723+4758067
*; 758;21 24 17.3;+48 02 06;14.27; 0.00; 0.70; 0.01;  0.09; 0.01;  0.87; 0.01; 2.80; 0.00;0;J212417.23+480205.6;21241724+4802055
*; 759;21 24 17.1;+48 05 24;16.42; 0.01; 0.70; 0.01;  0.04; 0.02;  0.92; 0.01; 2.81; 0.01;0;J212417.07+480523.4;21241707+4805234
*; 760;21 24 17.0;+48 00 46;15.03; 0.01; 0.51; 0.01;  0.11; 0.01;  0.99; 0.01; 2.90; 0.01;0;J212417.00+480046.1;21241701+4800461
 ; 761;21 24 16.8;+47 57 18;16.61; 0.01; 0.74; 0.01;  0.02; 0.01;  0.49; 0.02; 2.65; 0.01;0;J212416.82+475717.9;21241682+4757180
 ; 762;21 24 16.5;+47 58 26;15.06; 0.01; 0.66; 0.01;  0.13; 0.01;  0.47; 0.01; 2.62; 0.01;0;J212416.46+475825.7;21241647+4758256
*; 763;21 24 16.1;+48 00 09;13.71; 0.00; 0.47; 0.00; -0.07; 0.01;  0.19; 0.01; 2.65; 0.00;1;J212416.05+480008.5;21241606+4800084
 ; 764;21 24 15.9;+48 04 35;16.07; 0.01; 0.74; 0.01;  0.27; 0.01;  0.39; 0.02; 2.56; 0.00;0;J212415.90+480434.5;21241590+4804345
*; 765;21 24 15.3;+48 00 22;15.59; 0.01; 0.62; 0.00;  0.10; 0.01;  0.85; 0.01; 2.82; 0.01;0;J212415.24+480021.5;21241524+4800214
 ; 766;21 24 15.1;+47 56 57;13.62; 0.00; 0.54; 0.01;  0.10; 0.01;  0.53; 0.01; 2.68; 0.00;0;J212415.13+475657.2;21241513+4756572
 ; 767;21 24 14.8;+48 04 15;16.37; 0.01; 0.83; 0.01; -0.05; 0.01;  0.71; 0.01; 2.70; 0.01;0;J212414.80+480415.4;21241480+4804154
 ; 768;21 24 14.7;+48 00 22;15.08; 0.01; 0.74; 0.01;  0.04; 0.01;  0.65; 0.01; 2.71; 0.01;0;J212414.71+480022.1;21241471+4800219
*; 769;21 24 14.7;+48 01 41;15.77; 0.01; 0.60; 0.01; -0.05; 0.01;  0.70; 0.01; 2.78; 0.00;1;J212414.63+480141.3;21241464+4801412
 ; 770;21 24 14.6;+48 00 40;15.87; 0.01; 0.73; 0.01;  0.02; 0.01;  0.59; 0.01; 2.69; 0.01;0;J212414.62+480039.9;21241463+4800398
*; 771;21 24 14.4;+48 00 34;12.53; 0.01; 0.53; 0.00; -0.09; 0.00;  0.16; 0.01; 2.64; 0.01;1;J212414.33+480034.4;21241434+4800343
 ; 772;21 24 14.3;+47 56 46;15.12; 0.01; 0.77; 0.01;  0.04; 0.01;  0.58; 0.02; 2.66; 0.01;0;J212414.27+475645.9;21241427+4756458
 ; 773;21 24 14.0;+47 58 31;15.84; 0.01; 0.72; 0.01;  0.02; 0.01;  0.71; 0.01; 2.71; 0.00;0;J212413.96+475830.7;21241396+4758306
 ; 774;21 24 13.8;+47 57 17;15.42; 0.01; 1.16; 0.01;  0.31; 0.01;  0.48; 0.02; 2.59; 0.01;0;J212413.79+475717.3;21241379+4757172
*; 775;21 24 13.4;+48 01 21;16.12; 0.01; 0.55; 0.00; -0.03; 0.01;  0.83; 0.01; 2.84; 0.01;1;J212413.42+480120.9;21241342+4801209
*; 776;21 24 13.1;+48 00 51;14.68; 0.01; 0.55; 0.01; -0.08; 0.01;  0.37; 0.00; 2.72; 0.01;1;J212413.04+480051.0;21241304+4800510
*; 777;21 24 13.1;+48 01 06;16.14; 0.01; 0.56; 0.01; -0.04; 0.00;  0.79; 0.01; 2.82; 0.01;1;J212413.04+480106.1;21241305+4801061
*; 778;21 24 12.6;+48 02 06;14.55; 0.01; 0.60; 0.01; -0.11; 0.01;  0.32; 0.01; 2.69; 0.01;1;J212412.56+480206.1;21241256+4802061
*; 779;21 24 12.5;+48 00 40;12.55; 0.01; 0.51; 0.01; -0.07; 0.01;  0.10; 0.02; 2.63; 0.00;1;J212412.51+480039.9;21241246+4800396
*; 780;21 24 12.4;+48 00 00;14.92; 0.01; 0.54; 0.01; -0.07; 0.01;  0.53; 0.01; 2.74; 0.01;1;J212412.37+475959.8;21241237+4759597
*; 781;21 24 12.4;+48 01 35;14.70; 0.01; 0.52; 0.01; -0.07; 0.01;  0.46; 0.01; 2.73; 0.00;1;J212412.36+480135.1;21241236+4801350
*; 782;21 24 12.3;+48 00 39;13.25; 0.03; 0.62; 0.02; -0.14; 0.02;  0.01; 0.03; 2.43; 0.01;1;J212412.25+480038.8;21241229+4800390
*; 783;21 24 11.8;+47 59 15;15.12; 0.01; 0.47; 0.02;  0.11; 0.03;  1.10; 0.02; 2.94; 0.00;0;J212411.79+475914.4;21241170+4759152
*; 784;21 24 11.7;+48 01 12;14.42; 0.01; 0.50; 0.00; -0.07; 0.01;  0.29; 0.01; 2.69; 0.00;1;J212411.70+480112.4;21241171+4801123
 ; 785;21 24 11.2;+48 04 59;15.81; 0.01; 1.14; 0.00;  0.18; 0.00;  0.55; 0.02; 2.59; 0.01;0;J212411.16+480458.8;21241116+4804588
*; 786;21 24 11.0;+47 59 28;10.89; 0.01; 0.60; 0.01; -0.14; 0.01;  0.08; 0.05; 2.56; 0.03;1;                   ;21241099+4759283
*; 787;21 24 10.8;+48 01 41;14.85; 0.01; 0.69; 0.01;  0.02; 0.01;  0.88; 0.01; 2.78; 0.01;0;J212410.80+480140.8;21241081+4801408
 ; 788;21 24 10.7;+47 58 51;16.71; 0.01; 0.71; 0.01;  0.00; 0.01;  0.55; 0.03; 2.66; 0.01;0;J212410.70+475850.6;21241070+4758505
 ; 789;21 24 10.7;+48 01 02;14.47; 0.01; 1.20; 0.01;  0.21; 0.01;  0.52; 0.01; 2.62; 0.00;0;J212410.67+480102.0;21241067+4801019
*; 790;21 24 10.6;+48 00 25;16.34; 0.01; 0.57; 0.00; -0.07; 0.00;  0.69; 0.01; 2.78; 0.01;1;J212410.60+480025.2;21241060+4800251
*; 791;21 24 10.5;+48 00 43;14.91; 0.00; 0.54; 0.00; -0.06; 0.01;  0.43; 0.01; 2.71; 0.00;1;J212410.44+480043.1;21241044+4800430
*; 792;21 24 10.4;+48 01 29;15.48; 0.01; 0.57; 0.01; -0.08; 0.01;  0.54; 0.01; 2.72; 0.00;1;J212410.36+480129.1;21241036+4801290
 ; 793;21 24 10.2;+47 59 13;15.37; 0.02; 0.73; 0.03;  0.05; 0.03;  0.50; 0.02; 2.64; 0.02;0;J212410.15+475912.8;21241014+4759127
*; 794;21 24 10.0;+48 00 18;15.04; 0.01; 0.57; 0.01; -0.09; 0.01;  0.44; 0.01; 2.68; 0.01;1;J212409.95+480017.8;21240995+4800178
*; 795;21 24 09.9;+48 00 04;15.82; 0.00; 0.56; 0.01; -0.05; 0.01;  0.51; 0.01; 2.75; 0.00;1;J212409.90+480004.2;21240991+4800042
*; 796;21 24 09.3;+47 57 22;14.95; 0.01; 0.68; 0.01;  0.05; 0.01;  0.61; 0.01; 2.72; 0.00;0;J212409.32+475721.7;21240930+4757216
 ; 797;21 24 08.9;+48 01 45;14.29; 0.00; 1.15; 0.01;  0.23; 0.01;  0.52; 0.00; 2.60; 0.00;0;J212408.91+480145.3;21240892+4801452
 ; 798;21 24 08.7;+47 59 06;14.61; 0.00; 0.75; 0.01;  0.01; 0.01;  0.59; 0.00; 2.69; 0.01;0;J212408.71+475906.0;21240871+4759059
*; 799;21 24 08.5;+47 59 50;15.20; 0.01; 0.56; 0.01; -0.09; 0.00;  0.51; 0.01; 2.67; 0.00;1;J212408.46+475950.1;21240847+4759500
 ; 800;21 24 08.1;+47 55 29;16.48; 0.01; 0.89; 0.03;  0.12; 0.06;  0.51; 0.05; 2.64; 0.01;0;J212408.05+475528.7;21240806+4755287
*; 801;21 24 07.4;+47 55 59;14.25; 0.02; 0.52; 0.02;  0.12; 0.03;  1.01; 0.02; 2.93; 0.01;0;J212407.36+475559.2;21240737+4755589
*; 802;21 24 06.0;+48 00 07;14.50; 0.00; 0.50; 0.00; -0.06; 0.01;  0.23; 0.01; 2.67; 0.00;1;J212405.97+480006.9;21240597+4800068
*; 803;21 24 05.5;+48 02 14;15.26; 0.01; 0.62; 0.01; -0.12; 0.01;  0.58; 0.01; 2.75; 0.01;1;J212405.46+480213.7;21240546+4802137
 ; 804;21 24 05.3;+48 04 32;15.17; 0.02; 1.37; 0.01;  0.10; 0.02;  0.59; 0.01; 2.62; 0.00;0;J212405.34+480432.1;21240534+4804321
 ; 805;21 24 04.2;+47 59 15;14.46; 0.01; 0.61; 0.01;  0.12; 0.01;  0.38; 0.01; 2.60; 0.01;0;J212404.20+475914.5;21240420+4759145
 ; 806;21 24 02.7;+48 03 41;14.55; 0.01; 1.45; 0.00;  0.23; 0.01;  0.56; 0.02; 2.61; 0.00;0;J212402.71+480340.7;21240272+4803407
 ; 807;21 24 02.7;+48 01 24;14.21; 0.01; 0.52; 0.01;  0.13; 0.01;  0.35; 0.01; 2.61; 0.00;0;J212402.68+480124.0;21240268+4801240
 ; 808;21 24 02.3;+48 00 18;15.17; 0.01; 1.15; 0.01;  0.14; 0.02;  0.56; 0.02; 2.60; 0.00;0;J212402.28+480017.5;21240227+4800175
 ; 809;21 24 00.7;+47 57 01;11.81; 0.00; 1.44; 0.00;  0.56; 0.01;  0.34; 0.01; 2.60; 0.00;0;                   ;21240068+4757011
 ; 810;21 24 00.1;+48 04 58;13.84; 0.01; 1.51; 0.01;  0.32; 0.01;  0.52; 0.01; 2.60; 0.00;0;J212400.08+480458.3;21240008+4804581
 ; 811;21 23 59.9;+47 59 33;15.84; 0.01; 0.75; 0.01; -0.01; 0.01;  0.63; 0.01; 2.71; 0.00;0;J212359.85+475933.0;21235985+4759330
 ; 812;21 23 58.8;+47 57 12;16.56; 0.01; 0.79; 0.01;  0.00; 0.01;  0.58; 0.01; 2.69; 0.01;0;J212358.82+475712.3;21235882+4757122
*; 813;21 23 57.9;+48 02 38;16.66; 0.03; 1.00; 0.05; -0.22; 0.09;  0.78; 0.06; 2.66; 0.01;1;J212357.85+480238.1;21235783+4802379
*; 814;21 23 56.6;+47 59 23;16.09; 0.01; 0.73; 0.01;  0.01; 0.01;  0.95; 0.01; 2.80; 0.01;0;J212356.61+475922.9;21235660+4759229
*; 815;21 23 56.5;+47 54 48;10.52; 0.01; 0.19; 0.01;  0.19; 0.03;  0.51; 0.00; 2.73; 0.00;0;                   ;21235653+4754485
*; 816;21 23 56.2;+47 58 21;15.60; 0.01; 0.64; 0.01;  0.01; 0.01;  1.09; 0.01; 2.87; 0.01;0;J212356.17+475820.6;21235618+4758206
 ; 817;21 23 55.9;+47 59 04;14.34; 0.01; 1.48; 0.01;  0.46; 0.01;  0.40; 0.02; 2.60; 0.01;0;J212355.94+475904.2;21235593+4759042
*; 818;21 23 54.6;+48 02 40;16.28; 0.00; 0.79; 0.01; -0.05; 0.02;  1.15; 0.10; 2.89; 0.01;0;J212354.60+480240.3;21235459+4802402
 ; 819;21 23 54.1;+48 00 54;14.81; 0.01; 0.88; 0.01; -0.07; 0.01;  0.67; 0.01; 2.68; 0.00;0;J212354.06+480054.1;21235405+4800540
 ; 820;21 23 53.8;+47 58 07;14.56; 0.01; 1.09; 0.01;  0.14; 0.01;  0.51; 0.01; 2.59; 0.01;0;J212353.81+475806.9;21235380+4758068
 ; 821;21 23 53.3;+47 59 36;16.45; 0.01; 0.84; 0.01; -0.02; 0.01;  0.63; 0.02; 2.71; 0.01;0;J212353.30+475936.1;21235330+4759360
 ; 822;21 23 53.2;+47 58 38;11.88; 0.00; 0.80; 0.00;  0.39; 0.00;  0.41; 0.00; 2.58; 0.00;0;                   ;21235314+4758381
*; 823;21 23 53.1;+47 58 48;15.95; 0.01; 0.65; 0.01;  0.10; 0.01;  0.96; 0.01; 2.87; 0.00;0;J212353.05+475847.7;21235305+4758476
*; 824;21 23 52.5;+48 03 28;16.54; 0.01; 0.91; 0.01; -0.16; 0.01;  0.84; 0.01; 2.72; 0.01;1;J212352.49+480328.1;21235248+4803280
 ; 825;21 23 52.1;+47 58 20;16.74; 0.01; 0.80; 0.01;  0.00; 0.01;  0.56; 0.02; 2.69; 0.01;0;J212352.05+475819.7;21235204+4758197
*; 826;21 23 52.0;+47 57 23;14.44; 0.01; 0.73; 0.01;  0.05; 0.01;  1.12; 0.01; 2.86; 0.01;0;J212352.02+475722.5;21235201+4757225
*; 827;21 23 52.0;+47 56 34;15.56; 0.01; 0.69; 0.01;  0.04; 0.01;  1.30; 0.01; 2.92; 0.00;0;J212351.99+475634.1;21235198+4756340
 ; 828;21 23 51.8;+48 02 10;16.47; 0.00; 0.99; 0.01; -0.10; 0.01;  0.56; 0.01; 2.62; 0.01;0;J212351.75+480209.7;21235175+4802096
*; 829;21 23 50.3;+48 01 09;13.60; 0.00; 0.57; 0.00;  0.04; 0.01;  1.16; 0.01; 2.95; 0.00;0;J212350.33+480108.8;21235032+4801086
 ; 830;21 23 48.6;+47 57 59;13.84; 0.01; 1.00; 0.01;  0.01; 0.01;  0.91; 0.00; 2.71; 0.01;0;J212348.54+475759.2;21234854+4757593
*; 831;21 23 48.2;+48 03 43;15.53; 0.01; 0.76; 0.01; -0.08; 0.02;  1.09; 0.01; 2.84; 0.01;0;J212348.24+480342.7;21234823+4803426
 ; 832;21 23 47.9;+48 00 31;14.91; 0.00; 0.62; 0.01;  0.11; 0.01;  0.40; 0.01; 2.59; 0.01;0;J212347.92+480031.0;21234792+4800309
 ; 833;21 23 47.6;+47 54 15;11.80; 0.03; 0.44; 0.04;  0.03; 0.05;      ;     ;     ;     ;0;                   ;21234757+4754143
*; 834;21 23 46.9;+47 54 40;13.71; 0.00; 0.52; 0.01;  0.03; 0.01;  0.97; 0.01; 2.86; 0.00;0;J212346.93+475439.7;21234692+4754396
 ; 835;21 23 46.8;+48 02 15;16.10; 0.01; 0.95; 0.01; -0.07; 0.01;  0.57; 0.01; 2.64; 0.01;0;J212346.75+480215.2;21234674+4802151
*; 836;21 23 46.5;+47 57 08;15.66; 0.01; 0.78; 0.01; -0.11; 0.01;  0.62; 0.01; 2.77; 0.01;1;J212346.50+475707.9;21234649+4757079
 ; 837;21 23 45.4;+47 58 27;16.10; 0.01; 0.79; 0.01;  0.53; 0.02;  0.23; 0.01; 2.51; 0.01;0;J212345.35+475826.9;21234535+4758270
*; 838;21 23 45.1;+48 04 13;16.54; 0.01; 0.80; 0.01; -0.26; 0.02;  0.68; 0.03; 2.73; 0.01;1;J212345.11+480413.3;21234511+4804132
 ; 839;21 23 45.1;+48 02 49;16.54; 0.03; 0.97; 0.01; -0.08; 0.04;  0.63; 0.02; 2.65; 0.01;0;J212345.07+480248.7;21234507+4802486
*; 840;21 23 45.0;+47 58 56;15.75; 0.00; 0.72; 0.01;  0.01; 0.01;  1.22; 0.01; 2.90; 0.00;0;J212344.94+475856.1;21234494+4758560
*; 841;21 23 44.6;+47 55 09;15.35; 0.01; 0.56; 0.01;  0.06; 0.02;  1.10; 0.01; 2.92; 0.01;0;J212344.61+475508.6;21234460+4755086
*; 842;21 23 44.4;+48 05 23;16.36; 0.01; 1.04; 0.01; -0.19; 0.01;  0.69; 0.02; 2.69; 0.01;1;J212344.43+480523.0;21234442+4805229
 ; 843;21 23 44.2;+47 57 06;16.16; 0.01; 0.89; 0.01; -0.01; 0.01;  0.58; 0.03; 2.68; 0.01;0;J212344.18+475706.2;21234417+4757063
*; 844;21 23 44.1;+48 02 02;16.07; 0.01; 0.63; 0.01; -0.01; 0.01;  1.14; 0.01; 2.94; 0.01;0;J212344.07+480201.7;21234407+4802016
 ; 845;21 23 43.5;+47 59 37;14.64; 0.00; 0.59; 0.01;  0.24; 0.01;  0.37; 0.00; 2.57; 0.00;0;J212343.48+475936.4;21234346+4759363
 ; 846;21 23 43.4;+47 56 47;14.05; 0.01; 1.27; 0.02;  0.33; 0.01;  0.50; 0.01; 2.61; 0.01;0;J212343.36+475646.8;21234335+4756468
*; 847;21 23 43.3;+47 57 15;14.47; 0.01; 0.60; 0.01;  0.07; 0.01;  1.14; 0.01; 2.89; 0.00;0;J212343.32+475715.2;21234331+4757152
*; 848;21 23 43.2;+48 03 34;15.32; 0.01; 0.91; 0.01; -0.10; 0.02;  0.78; 0.01; 2.73; 0.01;0;J212343.15+480334.0;21234315+4803339
 ; 849;21 23 43.0;+48 01 11;16.50; 0.00; 0.97; 0.01; -0.08; 0.01;  0.54; 0.01; 2.65; 0.00;0;J212342.97+480110.9;21234296+4801108
 ; 850;21 23 42.5;+47 56 45;15.49; 0.02; 0.85; 0.01;  0.00; 0.02;  0.54; 0.03; 2.69; 0.01;0;J212342.53+475644.8;21234252+4756448
*; 851;21 23 41.8;+48 00 43;15.86; 0.01; 0.68; 0.01;  0.00; 0.01;  1.17; 0.01; 2.94; 0.00;0;J212341.84+480042.8;21234183+4800427
 ; 852;21 23 40.7;+47 57 54;13.21; 0.00; 1.51; 0.01;  0.45; 0.01;  0.39; 0.01; 2.60; 0.00;0;                   ;21234071+4757542
 ; 853;21 23 39.2;+47 56 49;10.45; 0.04; 0.19; 0.08;  0.48; 0.09;  1.36; 0.23; 2.92; 0.27;0;                   ;21233917+4756491
 ; 854;21 23 37.5;+47 59 55;15.09; 0.01; 0.70; 0.01;  0.01; 0.01;  0.43; 0.01; 2.63; 0.00;0;J212337.50+475954.7;21233749+4759546
 ; 855;21 23 36.3;+48 02 39;13.72; 0.00; 0.51; 0.01;  0.11; 0.01;  0.40; 0.00; 2.59; 0.00;0;J212336.36+480239.3;21233636+4802393
 ; 856;21 23 34.9;+48 04 06;15.82; 0.02; 1.08; 0.05; -0.16; 0.06;  0.75; 0.01; 2.69; 0.00;0;J212334.89+480405.8;21233488+4804056
 ; 857;21 23 34.6;+48 03 30;15.61; 0.01; 0.72; 0.01;  0.02; 0.02;  0.38; 0.01; 2.60; 0.01;0;J212334.59+480330.6;21233459+4803304
 ; 858;21 23 33.8;+48 03 06;15.62; 0.01; 1.00; 0.01; -0.13; 0.01;  0.68; 0.01; 2.68; 0.00;0;J212333.81+480306.1;21233380+4803060
 ; 859;21 23 33.4;+47 59 16;15.37; 0.01; 0.67; 0.01;  0.25; 0.01;  0.42; 0.01; 2.57; 0.01;0;J212333.42+475915.9;21233341+4759160
*; 860;21 23 33.4;+48 01 38;14.93; 0.01; 0.65; 0.01; -0.08; 0.01;  1.21; 0.02; 2.90; 0.00;0;J212333.39+480138.0;21233338+4801379
*; 861;21 23 33.0;+47 55 59;14.68; 0.02; 0.65; 0.03;  0.01; 0.05;  1.16; 0.06; 2.92; 0.02;0;J212332.99+475558.9;21233301+4755587
*; 862;21 23 32.8;+47 57 07;15.87; 0.00; 0.76; 0.00;  0.03; 0.01;  1.21; 0.01; 2.92; 0.01;0;J212332.82+475707.2;21233282+4757071
*; 863;21 23 31.9;+48 01 52;16.53; 0.01; 0.75; 0.01; -0.07; 0.02;  1.19; 0.03; 2.90; 0.01;0;J212331.95+480151.8;21233194+4801518
 ; 864;21 23 32.0;+48 05 11;13.35; 0.00; 1.30; 0.01;  0.04; 0.01;  0.60; 0.01; 2.60; 0.00;0;J212331.97+480510.7;21233196+4805107
*; 865;21 23 31.0;+48 04 49;15.73; 0.01; 0.91; 0.01; -0.08; 0.01;  1.02; 0.01; 2.75; 0.01;0;J212331.02+480449.0;21233100+4804489
*; 866;21 23 30.7;+47 58 22;14.24; 0.01; 0.56; 0.01;  0.00; 0.01;  1.19; 0.01; 2.86; 0.00;0;J212330.67+475822.0;21233067+4758221
 ; 867;21 23 30.3;+47 54 18;15.08; 0.05; 0.71; 0.06;  0.59; 0.07;  0.17; 0.01; 2.51; 0.00;0;J212330.25+475417.6;21233024+4754175
*; 868;21 23 29.6;+47 56 26;15.89; 0.01; 0.66; 0.01;  0.04; 0.01;  0.90; 0.01; 2.82; 0.01;0;J212329.60+475625.7;21232960+4756257
*; 869;21 23 29.6;+48 04 00;14.68; 0.02; 0.93; 0.02; -0.14; 0.02;  0.96; 0.02; 2.77; 0.01;0;J212329.58+480400.4;21232957+4804004
*; 870;21 23 29.5;+48 01 56;15.76; 0.01; 0.79; 0.01; -0.24; 0.00;  0.53; 0.01; 2.72; 0.00;1;J212329.48+480155.5;21232947+4801554
 ; 871;21 23 29.0;+47 55 25;16.32; 0.02; 0.83; 0.01; -0.02; 0.03;  0.60; 0.04; 2.67; 0.01;0;J212329.03+475524.5;21232903+4755245
 ; 872;21 23 28.3;+47 54 24;13.20; 0.01; 1.09; 0.01; -0.04; 0.01;  0.51; 0.00; 2.58; 0.00;0;J212328.28+475424.1;21232829+4754241
 ; 873;21 23 27.5;+47 58 52;14.70; 0.01; 1.18; 0.00;  0.11; 0.01;  0.57; 0.01; 2.62; 0.00;0;J212327.53+475851.4;21232752+4758514
