#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:03:41 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:03:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AN/342/538/table2&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=Gmag&-out=e_Gmag&-out=BP-RP&-out=e_BP-RP&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Plx&-out=e_Plx&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_113420538
#Name: J/AN/342/538
#Title: Frolov 1 and NGC 7510 CCD UBV photometry (Yontan+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/an/342/538	    IVOID of underlying data collection
#INFO	creator=Yontan T.	    First author or institution
#INFO	cites=bibcode:2021AN....342..538Y	    Article or Data origin sources
#INFO	editor=Astronomische Nachrichten	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AN/342/538	    Dataset landing page
#INFO	publication_date=2022-12-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AN_342_538_table2:
#Name: J/AN/342/538/table2
#Title: Photometric and astrometric catalogue NGC 7510
#Column	ID	(I4)	Sequential number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	Gmag	(F6.3)	? Gaia G magnitude	[ucd=phot.mag;em.opt]
#Column	e_Gmag	(F6.3)	? rms uncertainty on Gmag	[ucd=stat.error;phot.mag]
#Column	BP-RP	(F6.3)	? Gaia BP-RP colour index	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	e_BP-RP	(F6.3)	? rms uncertainty on BP-RP	[ucd=stat.error]
#Column	pmRA	(F8.3)	? proper motion components (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.3)	? proper motion components (pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Plx	(F8.3)	? trigonometric parallax	[ucd=pos.parallax.trig]
#Column	e_Plx	(F6.3)	? rms uncertainty on trigonometric parallax	[ucd=stat.error;pos.parallax]
#Column	Pmemb	(F5.2)	[0/1]? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;Gmag;e_Gmag;BP-RP;e_BP-RP;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Pmemb
 354;23 10 18.11;+60 24 16.79;18.232; 0.031; 0.570; 0.092; 1.426; 0.040;17.686; 0.001; 1.821; 0.016;  -4.670; 0.166;  -2.388; 0.138;   0.147; 0.100; 0.23
 355;23 10 18.16;+60 35 42.86;14.023; 0.002; 0.502; 0.004; 0.935; 0.002;13.704; 0.000; 1.366; 0.003;  -0.002; 0.027;  -0.079; 0.025;   0.405; 0.015; 0.00
 356;23 10 18.30;+60 36 07.26;16.802; 0.009; 0.560; 0.018; 0.996; 0.011;16.499; 0.001; 1.416; 0.007;  -3.566; 0.078;  -2.258; 0.066;   0.290; 0.044; 0.97
 357;23 10 18.46;+60 41 11.11;16.726; 0.009; 0.751; 0.023; 1.322; 0.012;16.237; 0.001; 1.868; 0.007;  -3.981; 0.075;  -2.711; 0.057;   0.249; 0.047; 0.31
 358;23 10 18.50;+60 33 01.30;16.129; 0.006; 0.388; 0.011; 1.059; 0.008;15.859; 0.001; 1.402; 0.005;  -3.739; 0.059;  -2.140; 0.052;   0.327; 0.036; 1.00
 359;23 10 18.68;+60 28 41.41;16.471; 0.008; 0.435; 0.015; 1.159; 0.010;16.081; 0.001; 1.690; 0.007;  -4.482; 0.076;  -2.019; 0.065;   0.300; 0.046; 0.02
 360;23 10 18.76;+60 24 48.99;18.140; 0.029; 0.445; 0.097; 1.702; 0.040;17.414; 0.001; 2.131; 0.016;  -1.700; 0.153;  -1.697; 0.128;   0.366; 0.091; 0.00
 361;23 10 18.99;+60 27 46.54;17.617; 0.017; 0.553; 0.049; 1.367; 0.022;17.092; 0.001; 1.875; 0.012;  -2.788; 0.127;  -2.159; 0.104;   0.217; 0.075; 0.23
 362;23 10 19.08;+60 29 11.62;18.958; 0.055;      ;      ; 1.774; 0.126;18.039; 0.001; 1.942; 0.023;   7.415; 0.197;  -4.154; 0.166;   0.848; 0.121; 0.00
 363;23 10 19.12;+60 30 52.47;15.575; 0.004; 0.615; 0.011; 1.258; 0.006;15.170; 0.002; 1.669; 0.003;  -1.026; 0.504;   0.956; 0.411;   2.056; 0.285; 0.00
 364;23 10 19.28;+60 30 26.39;19.600; 0.089;      ;      ; 1.966; 0.243;      ;      ;      ;      ;        ;      ;        ;      ;        ;      ; 0.00
 365;23 10 19.29;+60 26 19.12;19.246; 0.074;      ;      ; 1.720; 0.105;18.450; 0.003; 1.942; 0.024;   0.357; 0.588;   1.245; 0.454;   1.161; 0.329; 0.00
 366;23 10 19.29;+60 39 36.92;17.063; 0.012;      ;      ; 2.105; 0.019;15.956; 0.001; 2.569; 0.006;  -0.937; 0.081;  -1.096; 0.069;   0.236; 0.052; 0.00
 367;23 10 19.46;+60 38 06.21;15.452; 0.004; 0.371; 0.007; 0.934; 0.005;15.198; 0.001; 1.270; 0.004;   1.125; 0.040;  -0.843; 0.035;   0.558; 0.024; 0.00
 368;23 10 19.50;+60 43 43.53;17.044; 0.012; 0.665; 0.027; 1.208; 0.014;16.738; 0.001; 1.591; 0.009;  -4.618; 0.088;  -2.673; 0.074;   0.478; 0.050; 0.01
 369;23 10 19.60;+60 36 01.21;17.356; 0.014;      ;      ; 1.380; 0.025;16.882; 0.001; 1.662; 0.012;  11.239; 0.096;   2.732; 0.083;   1.015; 0.057; 0.00
 370;23 10 19.62;+60 37 24.30;17.889; 0.021; 0.691; 0.060; 1.225; 0.026;17.385; 0.001; 1.777; 0.014;  -3.312; 0.125;  -1.401; 0.113;   0.243; 0.078; 0.15
 371;23 10 19.65;+60 32 26.82;18.956; 0.052;      ;      ; 1.855; 0.079;18.154; 0.001; 2.010; 0.030;  -5.037; 0.228;  -0.051; 0.188;   0.875; 0.138; 0.00
 372;23 10 19.65;+60 39 44.05;17.590; 0.016; 0.385; 0.036; 1.173; 0.020;17.168; 0.001; 1.583; 0.014;  -2.964; 0.111;  -3.036; 0.096;   0.252; 0.069; 0.03
 373;23 10 19.67;+60 31 42.35;13.802; 0.002; 0.447; 0.003; 0.902; 0.002;13.613; 0.000; 1.175; 0.004; -19.939; 0.028; -15.140; 0.025;   2.268; 0.016; 0.00
 374;23 10 19.78;+60 42 30.15;16.289; 0.007; 0.529; 0.014; 1.129; 0.009;15.991; 0.001; 1.504; 0.007;  -1.560; 0.060;  -0.598; 0.049;   0.376; 0.035; 0.00
 375;23 10 19.82;+60 41 29.43;19.295; 0.073;      ;      ; 1.133; 0.087;18.506; 0.002; 1.716; 0.056;  -7.166; 0.265;  -1.087; 0.221;   0.439; 0.151; 0.00
 376;23 10 19.88;+60 38 25.57;16.604; 0.008; 1.312; 0.028; 1.296; 0.011;16.166; 0.001; 1.623; 0.005;   3.346; 0.062;  28.630; 0.054;   1.819; 0.038; 0.00
 377;23 10 19.98;+60 31 29.65;17.183; 0.012; 0.537; 0.024; 1.068; 0.015;16.833; 0.001; 1.516; 0.009;  -3.846; 0.118;  -2.237; 0.104;   0.252; 0.068; 1.00
 378;23 10 20.00;+60 24 50.46;16.641; 0.009; 0.432; 0.017; 1.124; 0.011;16.287; 0.001; 1.620; 0.007;  -3.831; 0.074;  -2.234; 0.062;   0.413; 0.045; 0.99
 379;23 10 20.00;+60 30 05.59;14.779; 0.003; 0.581; 0.006; 1.147; 0.004;14.455; 0.000; 1.451; 0.001; -10.024; 0.036;  -6.621; 0.032;   0.860; 0.021; 0.00
 380;23 10 20.05;+60 39 34.15;18.167; 0.026; 0.272; 0.056; 1.198; 0.032;17.690; 0.001; 1.619; 0.015;  -0.309; 0.148;  -0.836; 0.125;   0.540; 0.093; 0.00
 381;23 10 20.08;+60 41 58.38;17.374; 0.015;      ;      ; 1.277; 0.018;16.830; 0.001; 1.809; 0.012;  -3.644; 0.093;  -2.219; 0.079;   0.284; 0.057; 1.00
 382;23 10 20.09;+60 32 56.42;17.614; 0.017; 0.426; 0.043; 1.359; 0.021;17.056; 0.001; 1.866; 0.011;  -2.418; 0.107;  -1.713; 0.091;   0.160; 0.064; 0.00
 383;23 10 20.11;+60 35 40.58;16.420; 0.007; 0.687; 0.016; 1.052; 0.009;16.089; 0.001; 1.450; 0.005;  -3.813; 0.065;  -1.455; 0.057;   0.310; 0.037; 0.00
 384;23 10 20.31;+60 25 27.89;16.257; 0.007; 0.867; 0.017; 1.184; 0.009;15.996; 0.001; 1.490; 0.004;   2.859; 0.067;   0.205; 0.055;   1.090; 0.041; 0.00
 385;23 10 20.38;+60 36 06.40;14.337; 0.002; 0.377; 0.011; 0.690; 0.003;14.189; 0.000; 1.007; 0.001;  -4.868; 0.030;  -2.967; 0.026;   0.532; 0.017; 0.00
 386;23 10 20.70;+60 35 53.43;15.491; 0.004; 0.248; 0.007; 0.734; 0.005;15.334; 0.000; 1.043; 0.004;  -2.139; 0.043;  -2.114; 0.039;   0.232; 0.026; 0.00
 387;23 10 20.74;+60 42 01.38;17.191; 0.013;      ;      ; 1.311; 0.016;16.840; 0.001; 1.617; 0.012;  -5.373; 0.095;  -3.750; 0.079;   0.676; 0.058; 0.00
 388;23 10 20.83;+60 39 54.33;15.329; 0.004; 1.189; 0.012; 1.223; 0.005;15.023; 0.000; 1.452; 0.003;   5.247; 0.038;  -1.357; 0.033;   1.992; 0.023; 0.00
 389;23 10 20.84;+60 27 30.39;19.188; 0.067;      ;      ; 1.465; 0.087;18.380; 0.002; 1.920; 0.022;  -1.865; 0.287;  -1.841; 0.233;   0.441; 0.170; 0.12
 390;23 10 20.88;+60 44 11.68;18.844; 0.053;      ;      ; 1.367; 0.067;17.988; 0.001; 1.889; 0.032;  -0.843; 0.184;   0.644; 0.152;   0.608; 0.108; 0.00
 391;23 10 21.15;+60 38 27.39;18.238; 0.028;      ;      ; 1.558; 0.038;17.547; 0.001; 1.900; 0.016;  -2.689; 0.135;  -3.121; 0.116;   1.179; 0.083; 0.02
 392;23 10 21.43;+60 44 08.08;17.383; 0.015;      ;      ; 1.206; 0.019;16.965; 0.001; 1.706; 0.010;  -2.720; 0.101;  -1.280; 0.084;   0.077; 0.058; 0.00
 393;23 10 21.66;+60 39 06.23;18.156; 0.026;      ;      ; 1.379; 0.034;17.602; 0.001; 1.798; 0.020;  -1.237; 0.146;  -2.845; 0.123;   0.197; 0.091; 0.00
 394;23 10 21.98;+60 28 34.98;18.492; 0.037;-0.681; 0.062; 1.557; 0.049;17.649; 0.001; 2.201; 0.020;  -1.607; 0.164;  -0.841; 0.134;  -0.031; 0.094; 0.00
 395;23 10 22.07;+60 35 58.07;17.369; 0.014; 0.557; 0.031; 1.214; 0.017;16.971; 0.001; 1.568; 0.009;   0.234; 0.103;   0.368; 0.095;   0.467; 0.066; 0.00
 396;23 10 22.20;+60 24 44.43;17.882; 0.023; 0.391; 0.054; 1.296; 0.029;17.523; 0.001; 1.718; 0.021;   0.100; 0.159;  -0.202; 0.124;   0.469; 0.096; 0.00
 397;23 10 22.20;+60 37 56.14;17.221; 0.013; 0.774; 0.032; 1.140; 0.020;16.847; 0.001; 1.542; 0.010;  -2.647; 0.091;  -2.076; 0.079;   0.274; 0.056; 0.01
 398;23 10 22.32;+60 32 19.05;18.698; 0.042;      ;      ; 1.833; 0.063;17.944; 0.002; 2.160; 0.022;  -3.790; 0.226;  -2.058; 0.185;   0.507; 0.132; 1.00
 399;23 10 22.38;+60 33 06.60;17.580; 0.016; 0.383; 0.036; 1.203; 0.020;17.167; 0.001; 1.576; 0.010;  -5.378; 0.117;   0.206; 0.101;   0.277; 0.071; 0.00
 400;23 10 22.52;+60 36 55.86;18.861; 0.049;      ;      ; 2.164; 0.144;17.566; 0.001; 2.674; 0.027;  -1.332; 0.144;  -1.105; 0.126;   0.204; 0.087; 0.00
 401;23 10 22.57;+60 24 22.27;18.551; 0.045;      ;      ; 2.560; 0.160;16.971; 0.001; 3.029; 0.024;  -0.192; 0.127;  -2.651; 0.105;   0.150; 0.076; 0.00
 402;23 10 22.58;+60 30 16.41;18.493; 0.034;      ;      ; 1.580; 0.046;17.978; 0.002; 1.969; 0.026;  -4.463; 0.212;  -2.315; 0.187;   0.812; 0.130; 0.63
 403;23 10 22.87;+60 27 23.36;16.282; 0.007; 0.459; 0.014; 1.133; 0.009;15.973; 0.001; 1.510; 0.004;   4.970; 0.066;  -5.766; 0.055;   0.793; 0.039; 0.00
 404;23 10 23.08;+60 31 49.64;17.072; 0.011; 0.566; 0.023; 1.094; 0.014;16.716; 0.001; 1.522; 0.008;  -3.697; 0.095;  -2.194; 0.079;   0.310; 0.055; 0.97
 405;23 10 23.13;+60 35 09.74;18.344; 0.029; 0.543; 0.095; 1.479; 0.039;17.875; 0.001; 1.781; 0.021;   0.057; 0.188;  -3.812; 0.165;   0.333; 0.110; 0.00
 406;23 10 23.28;+60 38 03.20;18.722; 0.042;      ;      ; 1.293; 0.053;18.171; 0.002; 1.744; 0.034;  -2.437; 0.204;  -1.255; 0.170;   0.145; 0.123; 0.06
 407;23 10 23.28;+60 43 10.91;14.929; 0.003; 0.377; 0.006; 1.029; 0.004;14.720; 0.000; 1.347; 0.002;  -1.237; 0.033;   2.208; 0.028;   1.030; 0.021; 0.00
 408;23 10 23.39;+60 39 05.75;18.802; 0.046;      ;      ; 1.949; 0.073;18.039; 0.001; 2.048; 0.026;  -1.307; 0.199;  -3.760; 0.166;   0.824; 0.119; 0.00
 409;23 10 23.43;+60 29 12.25;17.364; 0.014; 0.695; 0.034; 1.219; 0.018;16.976; 0.001; 1.617; 0.009;  -1.617; 0.105;  -1.758; 0.088;   0.680; 0.064; 0.00
 410;23 10 23.49;+60 33 18.94;18.842; 0.048;      ;      ; 2.087; 0.080;18.021; 0.002; 2.271; 0.024;  -4.258; 0.259;  -2.916; 0.217;  -0.074; 0.152; 0.66
 411;23 10 23.51;+60 34 16.70;17.664; 0.017; 0.237; 0.034; 1.153; 0.021;17.278; 0.001; 1.560; 0.010;   1.336; 0.127;   0.253; 0.108;   0.410; 0.076; 0.00
 412;23 10 23.52;+60 35 45.53;18.473; 0.037;      ;      ; 3.146; 0.212;16.903; 0.001; 3.138; 0.021;  -2.459; 0.124;  -0.751; 0.112;   0.027; 0.075; 0.00
 413;23 10 23.60;+60 40 11.40;16.561; 0.009; 2.024; 0.049; 1.964; 0.013;15.589; 0.001; 2.441; 0.007;  -2.325; 0.058;  -1.596; 0.048;   0.267; 0.035; 0.00
 414;23 10 23.64;+60 33 51.96;17.750; 0.018; 0.949; 0.075; 1.494; 0.024;17.170; 0.001; 1.900; 0.011;  -3.435; 0.126;  -2.628; 0.110;   0.374; 0.082; 0.89
 415;23 10 23.65;+60 32 19.52;17.742; 0.018; 0.674; 0.054; 1.365; 0.023;17.273; 0.001; 1.751; 0.012;  -2.954; 0.139;  -2.348; 0.113;   0.198; 0.080; 0.55
 416;23 10 23.68;+60 35 39.57;18.534; 0.036; 0.339; 0.085; 1.295; 0.045;18.150; 0.002; 1.703; 0.025;  -3.907; 0.211;  -6.301; 0.184;   0.319; 0.126; 0.00
 417;23 10 23.71;+60 44 14.81;18.923; 0.054;-0.532; 0.064; 1.003; 0.064;18.181; 0.001; 1.694; 0.018;  -3.329; 0.217;  -1.083; 0.188;   0.127; 0.126; 0.18
 418;23 10 23.86;+60 39 45.46;19.311; 0.073;      ;      ; 1.947; 0.188;18.428; 0.002; 2.193; 0.038;  15.389; 0.271; -14.566; 0.225;   0.921; 0.163; 0.00
 419;23 10 23.95;+60 34 57.37;13.696; 0.002;-0.018; 0.003; 0.948; 0.002;13.381; 0.000; 1.346; 0.002;  -3.524; 0.026;  -2.159; 0.024;   0.259; 0.016; 0.88
 420;23 10 24.11;+60 40 21.74;16.966; 0.011;      ;      ; 1.609; 0.015;15.942; 0.001; 2.546; 0.012;   1.569; 0.081; -21.046; 0.067;   5.506; 0.049; 0.00
 421;23 10 24.20;+60 32 03.43;16.704; 0.009; 1.234; 0.034; 1.548; 0.012;16.111; 0.001; 1.882; 0.005;  -0.221; 0.069;  -0.732; 0.059;   0.577; 0.041; 0.00
 422;23 10 24.39;+60 27 03.59;17.978; 0.024; 0.759; 0.076; 1.362; 0.030;17.623; 0.001; 1.732; 0.023;  -6.450; 0.175;  -3.293; 0.142;   0.488; 0.104; 0.00
 423;23 10 24.48;+60 40 55.59;15.867; 0.005; 0.698; 0.012; 1.266; 0.007;15.527; 0.000; 1.703; 0.008;  -3.578; 0.048;  -0.496; 0.040;   0.232; 0.029; 0.00
 424;23 10 24.48;+60 41 17.03;18.849; 0.049;-0.047; 0.101; 1.412; 0.063;18.289; 0.002; 1.777; 0.038;   1.248; 0.225;   2.380; 0.174;   0.469; 0.137; 0.00
 425;23 10 24.67;+60 44 13.81;16.836; 0.010; 0.649; 0.023; 1.214; 0.013;16.546; 0.001; 1.588; 0.006;  -0.964; 0.083;  -1.883; 0.074;   0.345; 0.047; 0.00
 426;23 10 24.81;+60 29 41.59;18.902; 0.051;      ;      ; 1.259; 0.062;18.128; 0.001; 1.868; 0.026; -11.930; 0.215;  -5.824; 0.184;   0.839; 0.129; 0.00
 427;23 10 24.81;+60 29 48.22;18.035; 0.024; 0.401; 0.063; 1.409; 0.031;17.456; 0.001; 1.831; 0.018;   0.176; 0.146;  -0.424; 0.120;   0.394; 0.084; 0.00
 428;23 10 24.88;+60 40 05.13;13.129; 0.004; 1.221; 0.004; 1.232; 0.004;12.856; 0.001; 1.376; 0.002;   2.254; 0.035; -21.506; 0.029;   5.480; 0.021; 0.00
 429;23 10 24.97;+60 42 46.04;17.538; 0.016; 0.436; 0.035; 1.122; 0.020;17.201; 0.001; 1.531; 0.013;  -4.444; 0.118;  -4.864; 0.096;   0.468; 0.072; 0.00
 430;23 10 24.99;+60 39 46.71;18.599; 0.039;      ;      ; 1.432; 0.051;18.076; 0.001; 1.747; 0.030;   5.824; 0.190;   0.009; 0.157;   0.635; 0.115; 0.00
 431;23 10 25.08;+60 39 15.62;16.271; 0.007; 0.555; 0.014; 1.179; 0.009;15.943; 0.001; 1.526; 0.004;  -1.099; 0.059;  -3.583; 0.051;   0.330; 0.035; 0.00
 432;23 10 25.16;+60 31 45.21;17.406; 0.014; 0.586; 0.031; 1.145; 0.018;16.997; 0.001; 1.513; 0.008;  -3.623; 0.118;  -2.082; 0.099;   0.388; 0.069; 0.99
 433;23 10 25.16;+60 32 14.84;18.556; 0.039;      ;      ; 2.687; 0.161;17.278; 0.001; 2.830; 0.016;  -2.162; 0.148;  -1.015; 0.130;   0.182; 0.086; 0.00
 434;23 10 25.19;+60 28 46.60;13.969; 0.002; 0.321; 0.003; 0.872; 0.002;13.763; 0.000; 1.257; 0.003;   1.909; 0.030;  -3.199; 0.027;   0.831; 0.017; 0.00
 435;23 10 25.21;+60 26 24.31;17.529; 0.016; 0.677; 0.044; 1.232; 0.021;17.027; 0.001; 1.782; 0.012;  -3.859; 0.133;  -1.639; 0.106;   0.310; 0.074; 0.50
 436;23 10 25.31;+60 33 46.93;17.987; 0.022; 0.350; 0.055; 1.307; 0.028;17.535; 0.001; 1.666; 0.013;  -0.054; 0.144;  -2.221; 0.124;   0.185; 0.087; 0.00
 437;23 10 25.48;+60 38 37.98;17.114; 0.012;      ;      ; 1.121; 0.019;16.782; 0.001; 1.484; 0.010;  -3.705; 0.087;  -1.942; 0.075;   0.332; 0.053; 0.98
 438;23 10 25.48;+60 32 57.28;17.234; 0.013; 0.544; 0.027; 1.198; 0.016;16.846; 0.001; 1.563; 0.007;  -7.253; 0.104;  -4.303; 0.087;   0.740; 0.060; 0.00
 439;23 10 25.53;+60 38 33.31;17.368; 0.014;      ;      ; 1.251; 0.024;16.917; 0.001; 1.746; 0.009;  -3.452; 0.166;  -1.089; 0.142;   0.489; 0.102; 0.05
 440;23 10 25.66;+60 43 46.24;19.224; 0.075;      ;      ; 2.037; 0.121;18.374; 0.002; 2.063; 0.031;   3.890; 0.247;   0.565; 0.214;   0.453; 0.149; 0.00
 441;23 10 25.72;+60 37 55.07;15.687; 0.005; 0.696; 0.011; 1.108; 0.006;15.392; 0.000; 1.375; 0.003;   2.641; 0.044;  -6.161; 0.038;   0.961; 0.028; 0.00
 442;23 10 25.72;+60 42 58.05;17.110; 0.012; 0.705; 0.030; 1.246; 0.015;16.870; 0.001; 1.536; 0.009;  -2.226; 0.107;   1.251; 0.087;   0.521; 0.063; 0.00
 443;23 10 25.78;+60 37 36.61;18.447; 0.032; 0.249; 0.075; 1.324; 0.041;17.912; 0.001; 1.668; 0.023;  -5.642; 0.175;  -3.491; 0.151;   0.259; 0.111; 0.00
 444;23 10 25.79;+60 31 56.85;18.637; 0.039;      ;      ; 1.462; 0.051;18.125; 0.001; 1.776; 0.026;   1.173; 0.230;  -0.005; 0.179;   0.582; 0.127; 0.00
 445;23 10 25.87;+60 33 42.88;17.951; 0.022;      ;      ; 1.245; 0.027;17.396; 0.001; 1.758; 0.015;  -1.548; 0.142;  -1.769; 0.122;   0.402; 0.086; 0.00
 446;23 10 26.09;+60 44 20.66;17.234; 0.013; 0.428; 0.026; 1.160; 0.016;16.931; 0.001; 1.558; 0.008;  -2.001; 0.095;  -2.326; 0.078;   0.409; 0.056; 0.00
 447;23 10 26.16;+60 35 00.50;17.564; 0.016; 1.389; 0.091; 1.593; 0.022;16.803; 0.001; 1.969; 0.009; -14.796; 0.099; -14.706; 0.085;   1.668; 0.060; 0.00
 448;23 10 26.36;+60 38 14.59;17.080; 0.012; 1.785; 0.065; 1.477; 0.015;16.591; 0.001; 1.721; 0.008;  -5.602; 0.077;  -5.369; 0.067;   1.495; 0.047; 0.00
 449;23 10 26.46;+60 40 54.89;15.395; 0.004; 2.097; 0.012; 1.675; 0.006;14.812; 0.000; 1.949; 0.003;  -3.136; 0.037;  -1.439; 0.031;   0.581; 0.022; 0.00
 450;23 10 26.46;+60 42 15.54;18.471; 0.037;      ;      ; 1.826; 0.055;17.395; 0.001; 2.641; 0.023;  27.433; 0.136; -33.839; 0.110;   3.838; 0.085; 0.00
 451;23 10 26.48;+60 35 19.56;18.500; 0.033;      ;      ; 1.521; 0.045;17.897; 0.001; 1.873; 0.020;  -4.040; 0.191;  -2.242; 0.151;   0.401; 0.108; 0.98
 452;23 10 26.76;+60 34 44.21;16.865; 0.010; 0.516; 0.022; 1.283; 0.013;16.382; 0.001; 1.750; 0.008;  -2.454; 0.079;  -1.729; 0.068;   0.088; 0.051; 0.00
 453;23 10 26.79;+60 40 49.58;17.841; 0.021;      ;      ; 1.978; 0.032;16.823; 0.001; 2.573; 0.011;  -2.896; 0.097;  -0.973; 0.081;  -0.023; 0.059; 0.00
 454;23 10 26.91;+60 24 13.13;17.341; 0.014; 0.522; 0.027; 1.044; 0.017;17.073; 0.001; 1.448; 0.012;  -2.181; 0.113;  -1.629; 0.091;   0.421; 0.067; 0.00
 455;23 10 26.93;+60 37 30.03;16.008; 0.006; 1.100; 0.016; 1.199; 0.007;15.682; 0.000; 1.440; 0.004;   6.858; 0.050;  -8.384; 0.044;   1.425; 0.031; 0.00
 456;23 10 27.06;+60 33 28.25;18.935; 0.050;      ;      ; 1.582; 0.068;18.054; 0.001; 2.087; 0.031;  21.611; 0.205;   2.879; 0.173;   1.233; 0.127; 0.00
 457;23 10 27.07;+60 28 20.33;18.551; 0.037; 0.330; 0.089; 1.277; 0.046;18.006; 0.001; 1.829; 0.023;  -2.593; 0.210;  -2.906; 0.178;   0.038; 0.128; 0.24
 458;23 10 27.08;+60 32 33.38;17.559; 0.016; 0.663; 0.042; 1.222; 0.020;17.088; 0.001; 1.625; 0.010;  -1.530; 0.116;   2.040; 0.099;   0.789; 0.070; 0.00
 459;23 10 27.09;+60 28 55.38;15.535; 0.004; 0.367; 0.008; 1.028; 0.005;15.280; 0.000; 1.380; 0.002;  -0.588; 0.048;   1.371; 0.043;   0.850; 0.028; 0.00
 460;23 10 27.18;+60 34 07.77;16.087; 0.006; 0.688; 0.013; 1.135; 0.008;15.784; 0.001; 1.387; 0.004;   5.497; 0.059;  -1.970; 0.056;   0.956; 0.033; 0.00
 461;23 10 27.22;+60 35 02.52;18.405; 0.031; 0.603; 0.088; 1.305; 0.039;17.901; 0.002; 1.696; 0.019;   0.233; 0.252;  -1.548; 0.216;   1.045; 0.150; 0.00
 462;23 10 27.25;+60 39 18.24;14.290; 0.002; 0.257; 0.003; 0.632; 0.003;14.170; 0.000; 0.960; 0.002;  -2.168; 0.028;  -3.229; 0.024;   0.404; 0.018; 0.00
 463;23 10 27.58;+60 25 57.49;16.032; 0.006; 0.422; 0.012; 1.222; 0.008;15.668; 0.001; 1.672; 0.004;  -3.468; 0.057;  -2.739; 0.048;   0.237; 0.033; 0.12
 464;23 10 27.62;+60 31 07.49;11.988; 0.002; 1.333; 0.004; 1.477; 0.004;11.496; 0.000; 1.744; 0.001;   0.357; 0.043;  -2.350; 0.036;   1.005; 0.024; 0.00
 465;23 10 27.86;+60 24 07.77;17.681; 0.019; 0.356; 0.041; 1.228; 0.023;17.206; 0.001; 1.659; 0.018;  -5.561; 0.123;  -1.493; 0.100;   0.375; 0.076; 0.00
 466;23 10 27.90;+60 39 31.70;16.120; 0.006; 0.490; 0.011; 0.959; 0.007;15.874; 0.001; 1.324; 0.004;  -3.799; 0.055;  -2.144; 0.046;   0.326; 0.033; 0.93
 467;23 10 27.92;+60 36 25.40;15.319; 0.004; 0.247; 0.006; 0.897; 0.005;15.060; 0.000; 1.273; 0.002;  -3.606; 0.040;  -2.270; 0.035;   0.270; 0.023; 0.82
 468;23 10 27.99;+60 29 25.03;17.681; 0.018;      ;      ; 1.427; 0.023;17.035; 0.001; 1.975; 0.010;  -3.743; 0.118;  -2.897; 0.093;   0.342; 0.069; 0.22
