#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-15T04:47:24 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-15T04:47:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/124/1486/m4ubv&-order=I&-out=MKT&-out=Vmag&-out=e_Vmag&-out=B-V&-out=e_B-V&-out=U-B&-out=e_U-B&-out=Note&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51241486
#Name: J/AJ/124/1486
#Title: M4 UBV color-magnitude diagrams (Mochejska+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/aj/124/1486	    IVOID of underlying data collection
#INFO	creator=Mochejska B.J.	    First author or institution
#INFO	cites=bibcode:2002AJ....124.1486M	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/124/1486	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51241486	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-04-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_124_1486_m4ubv:
#Name: J/AJ/124/1486/m4ubv
#Title: Astrometry and UBV photometry for 12121 stars in M4
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	MKT	(I5)	Sequential number, Cl* NGC 6121 MKT NNNNN in Simbad	[ucd=meta.record]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	Note	(a14)	Hot subdwarf candidate (BN) or Variable (VNN) identification	[ucd=meta.note]
#Column	RAJ2000	(F10.6)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;MKT;Vmag;e_Vmag;B-V;e_B-V;U-B;e_U-B;Note;RAJ2000;DEJ2000
245.86597389;-26.48072000; 7742;19.858; 0.010; 0.925; 0.014; 0.117; 0.020;              ;245.865974;-26.480720
245.86554000;-26.50647000; 7744;17.125; 0.004; 0.871; 0.005; 0.127; 0.006;              ;245.865540;-26.506470
245.86644611;-26.45504000; 7746;21.759; 0.026; 1.765; 0.073;      ;      ;              ;245.866446;-26.455040
245.86485694;-26.54518000; 7747;16.119; 0.007; 0.891; 0.012; 0.191; 0.012;              ;245.864857;-26.545180
245.86459389;-26.56061000; 7750;17.986; 0.007; 0.951; 0.012; 0.204; 0.012;              ;245.864594;-26.560610
245.86640111;-26.45900000; 7751;21.966; 0.033; 0.986; 0.055; 0.074; 0.109;              ;245.866401;-26.459000
245.86534889;-26.51920000; 7754;17.051; 0.006; 0.841; 0.012; 0.125; 0.012;              ;245.865349;-26.519200
245.86509611;-26.53385000; 7757;16.970; 0.003; 0.876; 0.004; 0.134; 0.006;              ;245.865096;-26.533850
245.86448389;-26.56824000; 7758;22.280; 0.042; 1.035; 0.081;      ;      ;              ;245.864484;-26.568240
245.86560389;-26.50721000; 7759;20.175; 0.010; 1.343; 0.022; 1.049; 0.055;              ;245.865604;-26.507210
245.86469806;-26.55844000; 7760;21.576; 0.036; 1.979; 0.095;      ;      ;              ;245.864698;-26.558440
245.86634389;-26.46614000; 7761;18.692; 0.005; 1.046; 0.008; 0.378; 0.015;              ;245.866344;-26.466140
245.86404500;-26.59703000; 7766;17.172; 0.004; 0.838; 0.005; 0.133; 0.008;              ;245.864045;-26.597030
245.86635500;-26.46794000; 7769;17.533; 0.004; 0.891; 0.004; 0.146; 0.007;              ;245.866355;-26.467940
245.86629694;-26.47145000; 7771;19.814; 0.008; 1.379; 0.013; 1.043; 0.044;              ;245.866297;-26.471450
245.86559500;-26.51222000; 7773;18.354; 0.008; 1.097; 0.012; 0.527; 0.023;              ;245.865595;-26.512220
245.86443611;-26.57754000; 7775;18.141; 0.005; 0.938; 0.006; 0.227; 0.008;              ;245.864436;-26.577540
245.86491111;-26.55158000; 7780;13.554; 0.004; 0.829; 0.006; 0.335; 0.006;              ;245.864911;-26.551580
245.86544806;-26.52337000; 7783;17.118; 0.004; 0.866; 0.005; 0.129; 0.006;              ;245.865448;-26.523370
245.86516611;-26.54188000; 7786;14.529; 0.003; 1.184; 0.004; 0.572; 0.006;              ;245.865166;-26.541880
245.86650111;-26.46653000; 7790;17.399; 0.004; 0.900; 0.004; 0.132; 0.005;              ;245.866501;-26.466530
245.86587389;-26.50445000; 7791;19.132; 0.007; 1.155; 0.011; 0.601; 0.019;              ;245.865874;-26.504450
245.86469306;-26.57152000; 7797;20.128; 0.009; 1.358; 0.018; 1.116; 0.062;              ;245.864693;-26.571520
245.86500111;-26.55513000; 7800;15.777; 0.002; 1.121; 0.003; 0.525; 0.004;              ;245.865001;-26.555130
245.86681194;-26.45267000; 7802;19.198; 0.005; 1.171; 0.007; 0.559; 0.019;              ;245.866812;-26.452670
245.86571806;-26.51715000; 7804;20.250; 0.011; 1.477; 0.023;      ;      ;              ;245.865718;-26.517150
245.86566000;-26.52167000; 7807;17.705; 0.004; 0.910; 0.005; 0.131; 0.008;              ;245.865660;-26.521670
245.86527306;-26.54405000; 7809;17.895; 0.004; 0.926; 0.005; 0.167; 0.007;              ;245.865273;-26.544050
245.86509500;-26.55403000; 7811;18.065; 0.005; 1.037; 0.006; 0.362; 0.009;              ;245.865095;-26.554030
245.86544000;-26.53471000; 7812;17.771; 0.004; 0.894; 0.006; 0.179; 0.009;              ;245.865440;-26.534710
245.86602889;-26.50203000; 7816;17.017; 0.003; 0.866; 0.004; 0.128; 0.006;              ;245.866029;-26.502030
245.86624806;-26.49053000; 7819;16.819; 0.003; 0.842; 0.004; 0.127; 0.005;              ;245.866248;-26.490530
245.86635194;-26.48488000; 7820;21.367; 0.028; 1.817; 0.062;      ;      ;              ;245.866352;-26.484880
245.86578500;-26.51765000; 7821;16.833; 0.004; 0.859; 0.005; 0.123; 0.006;              ;245.865785;-26.517650
245.86622389;-26.49334000; 7825;19.599; 0.009; 1.252; 0.015;      ;      ;              ;245.866224;-26.493340
245.86516389;-26.55348000; 7826;21.500; 0.026; 1.676; 0.065;      ;      ;              ;245.865164;-26.553480
245.86503806;-26.56127000; 7828;14.551; 0.002; 1.193; 0.004; 0.642; 0.006;              ;245.865038;-26.561270
245.86486194;-26.57264000; 7831;20.842; 0.013; 0.945; 0.021; 0.313; 0.051;              ;245.864862;-26.572640
245.86582389;-26.51909000; 7835;15.608; 0.004; 1.085; 0.006; 0.473; 0.006;              ;245.865824;-26.519090
245.86630500;-26.49252000; 7838;17.622; 0.003; 0.892; 0.004; 0.117; 0.007;              ;245.866305;-26.492520
245.86533389;-26.54889000; 7840;18.479; 0.007; 1.030; 0.010; 0.297; 0.013;              ;245.865334;-26.548890
245.86581000;-26.52257000; 7841;21.311; 0.021; 1.564; 0.051;      ;      ;              ;245.865810;-26.522570
245.86634389;-26.49301000; 7843;17.757; 0.004; 0.894; 0.005; 0.128; 0.009;              ;245.866344;-26.493010
245.86573111;-26.52823000; 7844;22.321; 0.055; 1.653; 0.127;      ;      ;              ;245.865731;-26.528230
245.86625194;-26.49898000; 7847;16.800; 0.003; 0.851; 0.004; 0.115; 0.005;              ;245.866252;-26.498980
245.86575389;-26.52729000; 7849;19.270; 0.007; 1.146; 0.011; 0.587; 0.022;              ;245.865754;-26.527290
245.86615194;-26.50547000; 7851;17.254; 0.004; 0.873; 0.006; 0.113; 0.007;              ;245.866152;-26.505470
245.86574306;-26.52887000; 7852;21.659; 0.032; 1.656; 0.074;      ;      ;              ;245.865743;-26.528870
245.86691694;-26.46266000; 7854;19.569; 0.006; 1.228; 0.010; 0.824; 0.030;              ;245.866917;-26.462660
245.86503194;-26.57007000; 7855;20.113; 0.009; 1.319; 0.015; 1.043; 0.061;              ;245.865032;-26.570070
245.86585389;-26.52441000; 7858;16.975; 0.004; 0.874; 0.004; 0.131; 0.005;              ;245.865854;-26.524410
245.86576694;-26.52985000; 7861;16.593; 0.008; 0.889; 0.010; 0.176; 0.007;              ;245.865767;-26.529850
245.86571111;-26.53434000; 7863;18.074; 0.006; 0.867; 0.013; 0.265; 0.014;              ;245.865711;-26.534340
245.86615889;-26.50917000; 7864;14.086; 0.004; 1.213; 0.006; 0.599; 0.006;              ;245.866159;-26.509170
245.86668111;-26.47965000; 7865;19.584; 0.014; 1.242; 0.022; 0.751; 0.039;              ;245.866681;-26.479650
245.86681389;-26.47444000; 7867;18.500; 0.005; 1.019; 0.006; 0.259; 0.012;              ;245.866814;-26.474440
245.86547611;-26.55058000; 7869;19.043; 0.015; 1.220; 0.022; 0.456; 0.028;              ;245.865476;-26.550580
245.86689194;-26.47116000; 7871;20.281; 0.012; 1.382; 0.018; 1.098; 0.064;              ;245.866892;-26.471160
245.86520806;-26.56617000; 7872;13.663; 0.005; 0.902; 0.006; 0.362; 0.004;              ;245.865208;-26.566170
245.86661111;-26.48790000; 7877;17.444; 0.004; 0.869; 0.005; 0.118; 0.006;              ;245.866611;-26.487900
245.86486611;-26.58696000; 7879;20.665; 0.012; 1.466; 0.022;      ;      ;              ;245.864866;-26.586960
245.86659500;-26.49008000; 7880;19.252; 0.008; 1.146; 0.013; 0.580; 0.028;              ;245.866595;-26.490080
245.86647806;-26.49768000; 7883;17.603; 0.005; 0.881; 0.006; 0.154; 0.006;              ;245.866478;-26.497680
245.86586500;-26.53239000; 7887;16.802; 0.005; 0.871; 0.006; 0.140; 0.006;              ;245.865865;-26.532390
245.86637611;-26.50365000; 7889;18.863; 0.006; 1.090; 0.008; 0.378; 0.013;              ;245.866376;-26.503650
245.86682500;-26.47827000; 7891;13.500; 0.003; 0.450; 0.004; 0.362; 0.004;              ;245.866825;-26.478270
245.86617000;-26.51715000; 7897;18.178; 0.005; 0.963; 0.007; 0.190; 0.013;              ;245.866170;-26.517150
245.86639306;-26.50533000; 7899;18.976; 0.009; 1.073; 0.016;      ;      ;              ;245.866393;-26.505330
245.86673194;-26.48714000; 7901;17.645; 0.004; 0.880; 0.005; 0.146; 0.007;              ;245.866732;-26.487140
245.86564194;-26.54954000; 7903;20.762; 0.017; 1.498; 0.031;      ;      ;              ;245.865642;-26.549540
245.86561611;-26.55393000; 7906;20.011; 0.010; 1.297; 0.018; 1.019; 0.055;              ;245.865616;-26.553930
245.86630806;-26.51519000; 7907;19.425; 0.007; 1.202; 0.012; 0.689; 0.028;              ;245.866308;-26.515190
245.86677389;-26.48926000; 7910;17.517; 0.004; 0.869; 0.005; 0.099; 0.006;              ;245.866774;-26.489260
245.86612694;-26.52603000; 7912;17.025; 0.004; 0.879; 0.005; 0.139; 0.006;              ;245.866127;-26.526030
245.86733389;-26.45743000; 7914;20.211; 0.008; 1.026; 0.018; 0.473; 0.036;              ;245.867334;-26.457430
245.86646194;-26.50757000; 7916;20.403; 0.016; 1.498; 0.022;      ;      ;              ;245.866462;-26.507570
245.86705000;-26.47484000; 7918;18.015; 0.003; 0.937; 0.004; 0.188; 0.007;              ;245.867050;-26.474840
245.86560694;-26.55637000; 7921;16.989; 0.003; 0.901; 0.004; 0.170; 0.005;              ;245.865607;-26.556370
245.86642111;-26.51200000; 7922;21.147; 0.015; 1.700; 0.040;      ;      ;              ;245.866421;-26.512000
245.86646806;-26.51023000; 7923;19.285; 0.012; 1.191; 0.019; 0.589; 0.025;              ;245.866468;-26.510230
245.86665194;-26.50014000; 7924;21.860; 0.029; 1.789; 0.066;      ;      ;              ;245.866652;-26.500140
245.86629694;-26.52042000; 7926;19.561; 0.008; 1.197; 0.012; 0.859; 0.037;              ;245.866297;-26.520420
245.86519306;-26.58254000; 7927;13.545; 0.003; 0.477; 0.004; 0.390; 0.004;              ;245.865193;-26.582540
245.86636000;-26.51968000; 7935;18.514; 0.010; 1.022; 0.017; 0.271; 0.019;              ;245.866360;-26.519680
245.86623889;-26.52732000; 7938;18.741; 0.006; 1.082; 0.008; 0.340; 0.014;              ;245.866239;-26.527320
245.86676806;-26.49864000; 7941;17.149; 0.003; 0.858; 0.004; 0.114; 0.006;              ;245.866768;-26.498640
245.86541194;-26.57483000; 7942;20.319; 0.011; 1.388; 0.017; 1.148; 0.073;              ;245.865412;-26.574830
245.86567500;-26.56029000; 7944;19.613; 0.012; 1.229; 0.019; 0.737; 0.042;              ;245.865675;-26.560290
245.86688000;-26.49448000; 7946;18.386; 0.005; 1.012; 0.006; 0.240; 0.012;              ;245.866880;-26.494480
245.86625306;-26.53090000; 7949;20.556; 0.016; 1.441; 0.026; 1.241; 0.107;              ;245.866253;-26.530900
245.86726000;-26.47401000; 7951;20.310; 0.012; 1.397; 0.020; 1.170; 0.085;              ;245.867260;-26.474010
245.86723500;-26.47578000; 7952;21.560; 0.022; 1.700; 0.055;      ;      ;              ;245.867235;-26.475780
245.86545111;-26.57828000; 7953;19.151; 0.006; 1.113; 0.008; 0.579; 0.020;              ;245.865451;-26.578280
245.86660389;-26.51435000; 7956;17.216; 0.004; 0.855; 0.006; 0.106; 0.008;              ;245.866604;-26.514350
245.86572806;-26.56383000; 7957;17.322; 0.004; 0.902; 0.005; 0.166; 0.006;              ;245.865728;-26.563830
245.86640194;-26.52663000; 7960;17.005; 0.005; 0.848; 0.006; 0.139; 0.007;              ;245.866402;-26.526630
245.86611306;-26.54311000; 7963;17.798; 0.004; 0.895; 0.005; 0.168; 0.008;              ;245.866113;-26.543110
245.86567889;-26.56869000; 7965;18.524; 0.004; 1.008; 0.006; 0.309; 0.011;              ;245.865679;-26.568690
245.86744806;-26.47119000; 7967;21.266; 0.018; 1.614; 0.034;      ;      ;              ;245.867448;-26.471190
245.86728389;-26.48134000; 7968;18.655; 0.004; 1.035; 0.006; 0.346; 0.012;              ;245.867284;-26.481340
245.86666500;-26.51779000; 7972;17.786; 0.004; 0.930; 0.006; 0.166; 0.008;              ;245.866665;-26.517790
245.86706806;-26.49530000; 7976;19.237; 0.008; 1.179; 0.012; 0.585; 0.020;              ;245.867068;-26.495300
245.86726889;-26.48393000; 7977;20.051; 0.012; 1.350; 0.019; 0.981; 0.063;              ;245.867269;-26.483930
245.86569611;-26.57266000; 7979;18.008; 0.005; 0.932; 0.006; 0.190; 0.009;              ;245.865696;-26.572660
245.86633806;-26.53760000; 7980;18.444; 0.006; 1.005; 0.010; 0.249; 0.015;              ;245.866338;-26.537600
245.86682111;-26.51168000; 7985;22.177; 0.042; 2.388; 0.178;      ;      ;              ;245.866821;-26.511680
245.86552889;-26.58485000; 7986;18.855; 0.007; 1.066; 0.010; 0.434; 0.015;              ;245.865529;-26.584850
245.86669389;-26.52247000; 7988;19.146; 0.007; 1.140; 0.010; 0.557; 0.018;              ;245.866694;-26.522470
245.86548389;-26.59010000; 7991;20.025; 0.010; 1.298; 0.014; 0.987; 0.054;              ;245.865484;-26.590100
245.86628889;-26.54544000; 7993;17.551; 0.004; 0.892; 0.005; 0.161; 0.007;              ;245.866289;-26.545440
245.86730389;-26.48924000; 7995;17.941; 0.004; 0.918; 0.005; 0.190; 0.007;              ;245.867304;-26.489240
245.86644194;-26.53845000; 7997;18.484; 0.006; 0.986; 0.007; 0.245; 0.012;              ;245.866442;-26.538450
245.86684889;-26.51626000; 7999;16.444; 0.003; 0.917; 0.004; 0.160; 0.006;              ;245.866849;-26.516260
245.86631611;-26.54794000; 8003;18.099; 0.004; 0.954; 0.006; 0.211; 0.009;              ;245.866316;-26.547940
245.86693389;-26.51407000; 8005;18.375; 0.008; 1.007; 0.013; 0.244; 0.016;              ;245.866934;-26.514070
245.86676389;-26.52382000; 8007;19.444; 0.010; 1.322; 0.014; 0.925; 0.040;              ;245.866764;-26.523820
245.86724500;-26.49731000; 8010;16.870; 0.007; 0.862; 0.012; 0.128; 0.014;              ;245.867245;-26.497310
245.86715611;-26.50266000; 8011;19.737; 0.009; 1.205; 0.013; 0.886; 0.036;              ;245.867156;-26.502660
245.86583194;-26.57728000; 8013;17.492; 0.004; 0.883; 0.005; 0.160; 0.008;              ;245.865832;-26.577280
245.86741306;-26.49009000; 8018;17.390; 0.004; 0.856; 0.005; 0.127; 0.005;              ;245.867413;-26.490090
245.86652889;-26.54026000; 8019;21.747; 0.035; 2.073; 0.110;      ;      ;              ;245.866529;-26.540260
245.86635806;-26.55040000; 8022;16.563; 0.003; 0.955; 0.004; 0.222; 0.004;              ;245.866358;-26.550400
245.86630194;-26.55387000; 8025;18.672; 0.005; 1.048; 0.007; 0.324; 0.013;              ;245.866302;-26.553870
245.86678889;-26.52723000; 8029;18.136; 0.005; 0.949; 0.006; 0.228; 0.007;              ;245.866789;-26.527230
245.86742000;-26.49206000; 8031;18.252; 0.006; 0.966; 0.008; 0.228; 0.011;              ;245.867420;-26.492060
245.86614389;-26.56402000; 8032;16.627; 0.003; 0.916; 0.004; 0.185; 0.005;              ;245.866144;-26.564020
245.86663694;-26.53795000; 8038;16.733; 0.004; 0.886; 0.005; 0.159; 0.006;              ;245.866637;-26.537950
245.86621389;-26.56250000; 8040;19.787; 0.008; 1.266; 0.012; 0.825; 0.038;              ;245.866214;-26.562500
245.86656194;-26.54370000; 8041;17.846; 0.004; 0.917; 0.005; 0.161; 0.008;              ;245.866562;-26.543700
245.86630611;-26.55886000; 8045;17.790; 0.004; 0.940; 0.005; 0.181; 0.008;              ;245.866306;-26.558860
245.86670694;-26.53732000; 8050;17.776; 0.004; 0.904; 0.005; 0.169; 0.007;              ;245.866707;-26.537320
245.86806194;-26.46054000; 8052;20.299; 0.008; 1.403; 0.015; 1.077; 0.061;              ;245.868062;-26.460540
245.86699889;-26.52111000; 8054;19.064; 0.006; 1.102; 0.008; 0.558; 0.019;              ;245.866999;-26.521110
245.86701694;-26.52044000; 8055;20.284; 0.012; 1.459; 0.018; 0.971; 0.096;              ;245.867017;-26.520440
245.86729111;-26.50523000; 8056;18.862; 0.006; 1.115; 0.014; 0.431; 0.019;              ;245.867291;-26.505230
245.86775306;-26.47974000; 8061;19.910; 0.009; 1.288; 0.015; 0.939; 0.043;              ;245.867753;-26.479740
245.86637389;-26.55761000; 8063;17.956; 0.004; 1.003; 0.010; 0.437; 0.015;              ;245.866374;-26.557610
245.86648806;-26.55156000; 8064;17.318; 0.008; 0.915; 0.011; 0.190; 0.009;              ;245.866488;-26.551560
245.86807500;-26.46320000; 8067;18.188; 0.006; 0.996; 0.007; 0.239; 0.009;              ;245.868075;-26.463200
245.86676000;-26.53818000; 8068;18.352; 0.009; 0.957; 0.013; 0.270; 0.019;              ;245.866760;-26.538180
245.86659806;-26.54854000; 8070;19.077; 0.007; 1.114; 0.010; 0.577; 0.016;              ;245.866598;-26.548540
245.86648306;-26.55504000; 8074;17.557; 0.007; 0.937; 0.008; 0.190; 0.006;              ;245.866483;-26.555040
245.86738500;-26.50442000; 8076;18.982; 0.006; 1.146; 0.015; 0.436; 0.022;              ;245.867385;-26.504420
245.86755806;-26.49461000; 8077;20.905; 0.016; 1.624; 0.039;      ;      ;              ;245.867558;-26.494610
245.86667806;-26.54493000; 8079;17.818; 0.003; 0.907; 0.006; 0.174; 0.007;              ;245.866678;-26.544930
245.86765694;-26.49064000; 8080;18.396; 0.005; 0.985; 0.006; 0.261; 0.012;              ;245.867657;-26.490640
245.86771500;-26.48745000; 8083;18.950; 0.004; 1.083; 0.006; 0.498; 0.018;              ;245.867715;-26.487450
245.86719611;-26.51713000; 8085;19.216; 0.009; 1.129; 0.012; 0.594; 0.019;              ;245.867196;-26.517130
245.86628889;-26.56830000; 8086;21.250; 0.020; 1.647; 0.039;      ;      ;              ;245.866289;-26.568300
245.86659611;-26.55271000; 8091;19.050; 0.007; 1.118; 0.010; 0.472; 0.020;              ;245.866596;-26.552710
245.86715694;-26.52158000; 8094;20.565; 0.012; 1.491; 0.025;      ;      ;              ;245.867157;-26.521580
245.86797111;-26.47552000; 8096;18.989; 0.006; 1.098; 0.008; 0.496; 0.018;              ;245.867971;-26.475520
245.86782111;-26.48492000; 8097;21.369; 0.023; 1.224; 0.043; 0.420; 0.109;              ;245.867821;-26.484920
245.86605389;-26.58691000; 8101;17.523; 0.005; 0.874; 0.006; 0.151; 0.008;              ;245.866054;-26.586910
245.86790806;-26.48315000; 8104;19.635; 0.008; 1.231; 0.012; 0.800; 0.021;              ;245.867908;-26.483150
245.86776389;-26.49216000; 8106;17.190; 0.004; 0.854; 0.005; 0.115; 0.006;              ;245.867764;-26.492160
245.86809389;-26.47465000; 8107;20.744; 0.014; 1.318; 0.032;      ;      ;              ;245.868094;-26.474650
245.86722806;-26.52465000; 8108;19.697; 0.010; 1.241; 0.014;      ;      ;              ;245.867228;-26.524650
245.86694500;-26.54077000; 8110;19.999; 0.015; 1.371; 0.020; 0.997; 0.046;              ;245.866945;-26.540770
245.86708306;-26.53393000; 8113;18.939; 0.004; 1.083; 0.006; 0.466; 0.014;              ;245.867083;-26.533930
245.86749000;-26.51117000; 8115;17.944; 0.005; 0.937; 0.006; 0.165; 0.008;              ;245.867490;-26.511170
245.86747806;-26.51186000; 8116;21.065; 0.020; 1.698; 0.048;      ;      ;              ;245.867478;-26.511860
245.86607389;-26.59094000; 8117;21.544; 0.020; 1.689; 0.053;      ;      ;              ;245.866074;-26.590940
245.86795111;-26.48601000; 8120;19.074; 0.006; 1.126; 0.008; 0.533; 0.020;              ;245.867951;-26.486010
245.86655889;-26.56441000; 8123;16.736; 0.003; 0.889; 0.004; 0.186; 0.004;              ;245.866559;-26.564410
245.86776694;-26.49677000; 8125;13.636; 0.003; 0.360; 0.005; 0.293; 0.006;              ;245.867767;-26.496770
245.86675889;-26.55377000; 8127;19.023; 0.008; 1.132; 0.011; 0.469; 0.016;              ;245.866759;-26.553770
245.86665500;-26.55982000; 8131;18.028; 0.004; 0.962; 0.005; 0.202; 0.009;              ;245.866655;-26.559820
245.86730389;-26.52348000; 8132;20.925; 0.017; 1.644; 0.033;      ;      ;              ;245.867304;-26.523480
245.86811806;-26.47737000; 8133;16.286; 0.005; 1.025; 0.006; 0.367; 0.006;              ;245.868118;-26.477370
245.86856889;-26.45159000; 8135;22.060; 0.033; 1.666; 0.088;      ;      ;              ;245.868569;-26.451590
245.86771389;-26.50056000; 8138;16.865; 0.004; 0.851; 0.005; 0.123; 0.007;              ;245.867714;-26.500560
245.86759889;-26.50723000; 8140;19.665; 0.010; 1.223; 0.015; 0.705; 0.038;              ;245.867599;-26.507230
245.86722000;-26.52916000; 8143;18.711; 0.005; 1.049; 0.007; 0.392; 0.012;              ;245.867220;-26.529160
245.86699111;-26.54282000; 8144;19.726; 0.009; 1.248; 0.014; 0.894; 0.035;              ;245.866991;-26.542820
245.86606389;-26.59612000; 8146;17.451; 0.003; 0.854; 0.004; 0.154; 0.007;              ;245.866064;-26.596120
245.86620806;-26.58850000; 8148;20.928; 0.015; 1.001; 0.021; 0.403; 0.055;              ;245.866208;-26.588500
245.86780889;-26.49902000; 8150;17.572; 0.005; 0.878; 0.006; 0.141; 0.006;              ;245.867809;-26.499020
245.86759306;-26.51230000; 8151;20.899; 0.015; 1.563; 0.035;      ;      ;              ;245.867593;-26.512300
245.86824194;-26.47580000; 8152;18.129; 0.006; 0.962; 0.008; 0.162; 0.015;              ;245.868242;-26.475800
245.86654000;-26.57190000; 8154;20.065; 0.021; 1.306; 0.026; 1.063; 0.056;              ;245.866540;-26.571900
245.86802194;-26.48879000; 8155;18.993; 0.005; 1.083; 0.007; 0.522; 0.019;              ;245.868022;-26.488790
245.86681111;-26.55738000; 8159;17.656; 0.004; 0.874; 0.008; 0.194; 0.012;              ;245.866811;-26.557380
245.86664694;-26.56683000; 8161;18.362; 0.005; 0.984; 0.006; 0.242; 0.008;              ;245.866647;-26.566830
245.86772194;-26.50822000; 8165;17.659; 0.005; 0.909; 0.006; 0.154; 0.009;              ;245.867722;-26.508220
245.86624500;-26.59319000; 8168;21.195; 0.017; 1.651; 0.034;      ;      ;              ;245.866245;-26.593190
245.86765611;-26.51470000; 8170;18.072; 0.005; 0.951; 0.006; 0.202; 0.011;              ;245.867656;-26.514700
245.86726611;-26.53701000; 8172;16.724; 0.004; 0.886; 0.004; 0.154; 0.004;              ;245.867266;-26.537010
245.86807000;-26.49323000; 8175;20.004; 0.010; 1.311; 0.015; 1.128; 0.057;              ;245.868070;-26.493230
245.86751389;-26.52565000; 8177;18.765; 0.008; 1.062; 0.012; 0.378; 0.014;              ;245.867514;-26.525650
245.86754611;-26.52395000; 8179;17.891; 0.006; 0.895; 0.011; 0.153; 0.013;              ;245.867546;-26.523950
245.86719500;-26.54379000; 8181;18.350; 0.008; 1.008; 0.011; 0.283; 0.018;              ;245.867195;-26.543790
245.86760389;-26.52167000; 8182;20.361; 0.010; 1.419; 0.021; 1.149; 0.085;              ;245.867604;-26.521670
245.86712306;-26.55043000; 8185;18.104; 0.004; 0.970; 0.006; 0.210; 0.012;              ;245.867123;-26.550430
245.86739694;-26.53536000; 8187;19.087; 0.007; 1.091; 0.010; 0.551; 0.021;              ;245.867397;-26.535360
245.86758389;-26.52495000; 8188;16.931; 0.005; 0.883; 0.006; 0.156; 0.007;              ;245.867584;-26.524950
245.86744500;-26.53323000; 8191;17.638; 0.004; 0.990; 0.005; 0.288; 0.008;              ;245.867445;-26.533230
245.86835806;-26.48178000; 8193;18.095; 0.005; 0.951; 0.006; 0.193; 0.008;              ;245.868358;-26.481780
245.86784889;-26.51117000; 8196;17.862; 0.005; 0.944; 0.006; 0.160; 0.009;              ;245.867849;-26.511170
245.86636111;-26.59465000; 8198;19.191; 0.008; 1.115; 0.012; 0.535; 0.023;              ;245.866361;-26.594650
245.86750000;-26.53150000; 8201;16.629; 0.004; 0.730; 0.005; 0.127; 0.006;              ;245.867500;-26.531500
245.86793111;-26.50794000; 8204;17.533; 0.004; 0.910; 0.006; 0.120; 0.007;              ;245.867931;-26.507940
245.86842806;-26.47993000; 8205;18.399; 0.005; 0.989; 0.006; 0.287; 0.011;              ;245.868428;-26.479930
245.86682889;-26.57075000; 8207;21.559; 0.026; 1.710; 0.059;      ;      ;              ;245.866829;-26.570750
245.86740694;-26.53879000; 8208;20.171; 0.015; 1.307; 0.024; 1.089; 0.072;              ;245.867407;-26.538790
245.86714000;-26.55534000; 8209;21.354; 0.024; 1.859; 0.062;      ;      ;              ;245.867140;-26.555340
