#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-11T00:58:41 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-11T00:58:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/382/899/table3&-order=I&-out=FBC&-out=IDT2&-out=Bmag&-out=Vmag&-out=Imag&-out=n_Imag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33820899
#Name: J/A+A/382/899
#Title: BVI photometry in M67 (Stassun+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/382/899	    IVOID of underlying data collection
#INFO	creator=Stassun K.G.	    First author or institution
#INFO	cites=bibcode:2002A&A...382..899S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/382/899	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33820899	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_382_899_table3:
#Name: J/A+A/382/899/table3
#Title: BVI photometry for all sources included in study
#Column	FBC	(I4)	? Star identification number as in table 1 (1)	[ucd=meta.id;meta.main]
#Column	IDT2	(A1)	Star identification as in table2 (1)	[ucd=meta.id;meta.main]
#Column	Bmag	(F5.2)	? Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F5.2)	? Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Imag	(F5.2)	? Cousins I or Gunn i magnitude (2)	[ucd=phot.mag;em.opt.I]
#Column	n_Imag	(I1)	[1]? 1: Cousins I magnitude, else Gunn i	[ucd=meta.code;instr.filter]
FBC;IDT2;Bmag;Vmag;Imag;n_Imag
3887; ;     ;     ;17.47;
3880; ;16.01;15.24;14.29;
3889; ;13.86;13.25;12.46;
3891; ;     ;18.20;16.40;
3896; ;14.85;14.23;13.45;
3907; ;17.17;16.48;15.52;
3902; ;     ;17.67;16.42;
3903; ;14.28;13.74;13.02;
3904; ;13.42;12.89;12.18;
3911; ;     ;     ;17.19;
3901; ;15.84;15.00;13.99;
3905; ;11.27;10.98;10.70;1
3912; ;16.50;15.55;14.39;
3910; ;15.30;14.64;13.82;
3917; ;     ;18.05;16.17;
3922; ;     ;     ;16.75;
3926; ;16.14;15.36;14.41;
3929; ;     ;     ;17.13;
3928; ;17.43;16.75;15.89;
3931; ;     ;     ;17.29;
3935; ;13.57;12.84;11.96;
3940; ;     ;     ;16.48;
3949; ;13.27;12.31;11.33;1
3950; ;14.23;13.65;12.90;
3951; ;13.40;12.72;11.86;
3953; ;15.17;14.51;13.70;
3955; ;     ;     ;17.84;
3959; ;     ;     ;17.02;
3960; ;14.61;14.03;13.27;
3961; ;     ;17.38;15.58;
3965; ;     ;18.45;16.59;
3963; ;16.04;15.25;14.30;
3964; ;     ;18.59;17.22;
3967; ;16.41;15.58;14.59;
3968; ;     ;     ;16.15;
3973; ;     ;18.80;16.73;
3972; ;16.40;15.57;14.58;
3977; ;13.83;13.25;12.51;
3974; ;     ;     ;17.04;
3985; ;14.34;13.76;13.04;
3981; ;14.67;14.06;13.25;
3987; ;15.76;15.22;14.47;
3986; ;13.21;12.62;11.87;
3991; ;15.14;14.48;13.67;
3990; ;     ;     ;16.85;
3992; ;     ;     ;16.94;
3988; ;     ;18.01;16.86;
3998; ;13.87;12.93;11.81;
3994; ;14.06;13.54;12.78;
4002; ;13.64;13.04;12.28;
4001; ;     ;18.25;17.41;
4006; ;     ;17.40;16.07;
4008; ;14.44;13.86;13.09;
4009; ;     ;     ;16.65;
4016; ;     ;     ;18.06;
4020; ;14.86;14.21;     ;
4027; ;     ;     ;17.30;
4031; ;     ;18.28;16.82;
4029; ;16.49;15.58;14.43;
4028; ;14.41;13.76;12.95;
4034; ;12.85;12.28;     ;
4040; ;15.33;14.67;13.84;
4035; ;     ;17.30;15.79;
4045; ;     ;18.07;17.15;
4039; ;13.14;12.15;     ;
4036; ;17.54;16.54;15.31;
4050; ;16.73;15.86;14.78;
4046; ;16.16;15.37;14.42;
4053; ;     ;     ;17.47;
4051; ;15.13;14.45;     ;
4057; ;14.43;13.84;13.10;
4064; ;16.32;15.52;14.55;
4058; ;     ;     ;17.18;
4069; ;13.22;12.69;11.99;
4071; ;14.46;13.88;13.14;
4074; ;18.11;16.89;15.30;
4078; ;     ;16.70;     ;
4080; ;16.97;15.97;14.71;
4083; ;16.73;16.22;15.49;
4077; ;14.42;13.84;13.10;
4085; ;17.31;16.47;15.44;
4094; ;     ;     ;17.34;
4091; ;13.40;12.83;12.10;
4092; ;15.67;14.96;14.08;
4101; ;     ;18.66;16.60;
4098; ;14.77;14.15;13.35;
4102; ;     ;     ;17.97;
4110; ;17.87;17.01;15.96;
4106; ;15.73;15.01;14.12;
4115; ;     ;     ;17.54;
4109; ;13.31;12.75;12.01;
4112; ;16.75;16.10;15.25;
4116; ;     ;18.02;16.90;
4118; ;12.33;     ;     ;
4117; ;12.67;11.81;     ;
4122; ;13.17;12.59;11.83;
4121; ;     ;17.46;16.32;
4128; ;16.91;16.00;14.91;
4125; ;16.61;15.59;14.41;
4132; ;14.71;14.10;13.33;
4130; ;     ;17.48;15.93;
4129; ;13.01;12.44;     ;
4137; ;     ;17.80;15.82;
4146; ;17.35;16.36;     ;
4143; ;     ;17.21;16.08;
4150; ;     ;18.47;17.27;
4147; ;16.67;15.79;14.75;
4151; ;14.26;13.65;12.85;
4157; ;     ;     ;17.48;
4149; ;11.99;10.92;     ;
4153; ;13.68;13.13;12.42;
4160; ;17.08;16.29;15.32;
4162; ;13.53;12.81;11.94;
4168; ;16.08;15.42;     ;
4172; ;     ;18.13;16.09;
4178; ;13.88;13.01;11.98;
4179; ;13.96;13.40;12.68;
4174; ;13.88;13.28;     ;
4181; ;     ;18.40;16.50;
4189; ;16.81;16.01;15.05;
4187; ;12.54;11.75;     ;
4192; ;14.17;13.62;12.90;
4199; ;18.30;17.04;15.39;
4197; ;     ;18.86;16.47;
4202; ;     ;     ;17.19;
4205; ;18.24;17.00;15.34;
4213; ;     ;     ;17.68;
4218; ;     ;17.92;     ;
4214; ;13.98;13.42;12.70;
4220; ;16.60;16.00;15.24;
4228; ;15.61;14.96;14.13;
4225; ;     ;18.05;17.09;
4230; ;14.00;13.43;12.70;
4238; ;13.40;12.90;12.22;
4244; ;     ;     ;16.47;
4257; ;     ;     ;16.59;
4258; ;15.13;14.38;13.44;
4256; ;15.41;14.75;13.90;
4263; ;17.85;17.18;16.29;
4277; ;     ;18.05;16.16;
4267; ;     ;     ;17.62;
4276; ;     ;18.81;16.72;
4282; ;16.03;15.24;14.24;
4286; ;13.21;12.56;11.75;
4291; ;14.75;14.12;     ;
4299; ;11.30;11.18;     ;
4302; ;16.35;15.43;14.22;
4297; ;     ;17.27;15.77;
4300; ;15.57;14.84;13.93;
4305; ;13.86;12.95;11.90;
4303; ;16.85;15.55;13.73;
4309; ;15.20;14.55;13.73;
4311; ;16.14;15.35;14.41;
4314; ;13.32;12.73;11.98;
4316; ;18.16;17.33;16.31;
4319; ;18.08;17.49;16.72;
4330; ;     ;     ;16.88;
4334; ;16.83;15.96;14.95;
4336; ;     ;18.39;17.52;
4338; ;18.43;17.44;16.13;
4335; ;13.26;12.66;11.90;
4337; ;14.18;13.63;12.86;
4342; ;11.81;10.92;     ;
4341; ;13.99;13.41;12.65;
4350; ;16.42;15.79;14.96;
4354; ;17.80;16.74;15.22;
4357; ;16.84;15.94;14.86;
4360; ;17.07;15.97;14.55;
4369; ;     ;18.38;16.43;
4368; ;17.43;16.82;16.00;
4362; ;     ;17.28;15.61;
4366; ;18.42;17.88;17.11;
4375; ;13.40;12.84;12.10;
4379; ;     ;18.33;17.56;
4383; ;     ;     ;17.95;
4385; ;14.11;13.53;12.80;
4381; ;15.77;14.90;13.83;
4388; ;17.17;16.10;14.77;
4400; ;     ;     ;17.69;
4398; ;     ;     ;16.88;
4402; ;     ;     ;16.74;
4412; ;     ;     ;16.76;
4408; ;     ;17.30;15.24;
4415; ;13.34;12.76;12.01;
4413; ;     ;18.13;16.34;
4414; ;15.95;15.38;14.60;
4421; ;17.08;16.05;14.76;
4420; ;16.54;15.72;14.72;
4429; ;14.58;13.99;13.23;
4428; ;17.01;16.11;15.04;
4433; ;15.36;14.58;13.65;
4432; ;15.32;14.65;13.81;
4431; ;     ;18.17;16.22;
4434; ;13.33;12.76;12.04;
4443; ;     ;     ;16.94;
4440; ;16.26;15.46;14.49;
4454; ;     ;     ;16.58;
4452; ;17.27;16.33;15.14;
4475; ;16.72;15.84;14.79;
4486; ;     ;     ;17.45;
4494; ;     ;     ;17.60;
4488; ;17.82;16.99;15.96;
4489; ;14.62;13.95;13.13;
4493; ;     ;     ;16.88;
4491; ;17.09;16.15;14.92;
4499; ;17.66;16.35;14.60;
4504; ;16.54;15.64;14.47;
4505; ;13.90;12.97;11.88;
4508; ;15.86;15.11;14.21;
4516; ;14.93;14.32;13.52;
4513; ;14.61;14.01;13.27;
4515; ;15.07;14.44;13.65;
4524; ;     ;     ;16.76;
4518; ;17.81;16.71;15.26;
4530; ;18.33;17.55;16.59;
4534; ;     ;17.87;16.51;
4535; ;     ;     ;16.60;
4540; ;     ;18.12;16.30;
4548; ;     ;     ;16.90;
4554; ;     ;     ;18.07;
4559; ;14.44;13.85;13.10;
4558; ;     ;17.35;15.56;
4552; ;16.42;15.55;14.41;
4557; ;     ;     ;17.51;
4564; ;15.41;14.83;14.09;
4555; ;     ;     ;15.98;
4560; ;17.15;16.15;14.88;
4571; ;     ;     ;16.84;
4581; ;     ;     ;17.30;
4578; ;16.13;15.34;14.40;
4575; ;13.09;12.50;11.72;
4588; ;16.52;15.68;14.68;
4587; ;15.04;14.38;13.53;
4586; ;     ;17.81;16.54;
4594; ;16.55;15.70;14.68;
4590; ;16.46;15.62;14.63;
4598; ;     ;17.89;16.75;
4595; ;16.01;15.24;14.31;
4593; ;17.65;     ;     ;
4596; ;15.53;     ;     ;
4597; ;17.53;16.81;     ;
4614; ;     ;17.84;17.05;
4616; ;13.44;12.86;12.12;
4619; ;13.45;12.88;12.14;
4618; ;     ;18.15;16.14;
4621; ;     ;     ;16.93;
4628; ;15.07;14.42;13.62;
4627; ;     ;17.55;16.54;
4633; ;16.08;15.31;14.38;
4632; ;     ;17.54;15.29;
4635; ;     ;     ;17.46;
4641; ;     ;     ;17.42;
4647; ;     ;     ;17.34;
4654; ;15.41;14.56;13.52;
4656; ;14.93;14.30;13.51;
4655; ;     ;     ;17.33;
4649; ;     ;     ;17.59;
4662; ;     ;     ;17.32;
4669; ;17.60;16.59;15.35;
4672; ;     ;17.83;16.07;
4677; ;     ;     ;17.70;
4679; ;12.09;     ;     ;
4676; ;13.98;13.41;12.67;
4683; ;     ;     ;16.62;
4682; ;15.55;14.84;13.98;
4689; ;13.79;13.23;12.50;
4696; ;16.77;16.08;15.18;
4700; ;14.67;14.07;13.30;
4705; ;13.59;13.05;12.33;
4702; ;     ;     ;17.22;
4701; ;     ;15.29;     ;
4706; ;15.27;14.63;13.83;
4712; ;17.68;16.73;15.45;
4714; ;16.79;16.13;15.26;
4721; ;17.85;17.26;16.48;
4717; ;     ;     ;15.95;
4728; ;17.23;16.62;15.84;
4730; ;18.35;17.79;16.97;
4735; ;16.67;15.80;14.75;
4736; ;13.33;12.69;11.90;
4737; ;     ;     ;16.81;
4741; ;     ;17.62;15.92;
4749; ;     ;17.55;15.51;
4738; ;15.83;15.09;14.20;
4750; ;     ;     ;16.70;
4751; ;15.57;14.86;13.96;
4760; ;     ;     ;17.08;
4759; ;16.39;15.66;14.78;
4773; ;16.95;16.05;14.95;
4795; ;16.80;16.17;15.36;
4788; ;14.03;13.46;12.73;
4794; ;     ;     ;17.24;
4792; ;15.42;14.82;14.05;
4799; ;     ;17.68;15.47;
4798; ;13.87;13.28;12.53;
4804; ;16.72;16.14;15.39;
4808; ;14.48;13.91;13.16;
4807; ;17.09;16.43;     ;
4814; ;     ;     ;17.16;
4818; ;17.65;16.63;15.35;
4825; ;13.87;13.16;12.27;
4820; ;15.44;14.76;13.92;
4828; ;14.37;13.83;13.10;
4842; ;14.68;14.10;13.35;
4858; ;     ;17.41;14.58;
4859; ;13.34;12.23;     ;
4854; ;     ;17.55;15.98;
4855; ;     ;17.27;     ;
4865; ;     ;     ;16.36;
4864; ;17.55;16.28;14.49;
4886; ;     ;     ;17.27;
4881; ;     ;16.49;14.93;
4888; ;     ;17.28;15.89;
4884; ;13.72;     ;     ;
4889; ;     ;     ;16.59;
4893; ;15.26;14.70;13.93;
4898; ;16.52;15.66;14.59;
4899; ;16.66;15.86;14.86;
4901; ;     ;17.42;15.89;
4908; ;14.87;14.19;13.33;
4910; ;16.00;15.42;14.66;
4915; ;     ;     ;17.02;
4932; ;13.99;     ;     ;

